Running Env Steps,Running Update Time,Running Forward KL,Itration,Real Det Return,Real Sto Return,Reward Loss,Running Reverse KL
0,0,33.9638,0,136.74,138.38,15.216201782226562,28.5543
5000,1,31.817,1,256.88,246.52,-54.42424774169922,53.9472
10000,2,30.8483,2,258.66,260.28,-14.651395797729492,28.8593
15000,3,31.3895,3,248.01,263.11,-82.45690155029297,52.7487
20000,4,30.9741,4,324.91,320.0,-59.129547119140625,34.8869
25000,5,31.9386,5,330.49,300.59,-100.17823791503906,46.5148
30000,6,30.2812,6,347.34,346.72,-141.4944305419922,43.7314
35000,7,29.0544,7,381.19,377.8,-287.1203918457031,62.9789
40000,8,29.7005,8,389.37,379.5,-236.75425720214844,62.5008
45000,9,29.0763,9,432.61,426.92,-228.4117889404297,79.4567
50000,10,30.2519,10,394.08,389.8,-70.65999603271484,50.3916
55000,11,34.8104,11,978.33,1020.92,-181.08901977539062,23.8955
60000,12,35.6742,12,1025.14,1023.7,-144.6707000732422,39.7462
65000,13,37.0531,13,1023.53,1022.29,-188.3646240234375,35.8097
70000,14,37.8181,14,64.53,63.44,-143.49807739257812,45.1533
75000,15,37.243,15,52.43,52.29,-98.95454406738281,82.1474
80000,16,31.5166,16,319.42,322.62,-138.77615356445312,50.6096
85000,17,33.6828,17,240.2,239.9,-176.3908233642578,28.6656
90000,18,28.467,18,427.5,476.88,-156.34327697753906,33.349
95000,19,33.0393,19,297.41,290.5,-137.4404754638672,32.7525
100000,20,36.8719,20,985.6,983.04,-229.757080078125,35.9628
105000,21,37.5785,21,1005.57,1005.31,-250.99053955078125,41.3745
110000,22,37.1982,22,985.05,943.94,-246.00921630859375,37.9752
115000,23,33.2393,23,899.57,630.06,-177.78604125976562,20.791
120000,24,32.5969,24,225.33,256.85,-230.5924072265625,24.2549
125000,25,34.213,25,193.14,327.92,-277.89776611328125,24.5933
130000,26,32.6717,26,853.6,409.87,-254.91526794433594,36.5419
135000,27,28.2607,27,276.38,275.56,-186.94224548339844,27.4309
140000,28,28.8221,28,359.47,370.51,-198.63113403320312,42.3439
145000,29,37.949,29,976.39,976.0,-310.7063903808594,47.8971
150000,30,38.6427,30,1008.47,1008.3,-335.485107421875,34.3082
155000,31,34.7668,31,1013.74,1014.81,-314.0623474121094,36.5531
160000,32,33.477,32,1029.14,1007.11,-337.28216552734375,35.5075
165000,33,32.3798,33,899.66,822.36,-317.5168151855469,23.7144
170000,34,36.1782,34,1026.74,687.26,-347.2814025878906,32.8835
175000,35,31.3114,35,77.51,80.04,-271.12799072265625,21.1693
180000,36,38.4134,36,975.34,976.74,-378.2934265136719,51.6513
185000,37,30.4681,37,162.68,179.33,-314.6775207519531,37.4976
190000,38,34.9913,38,1021.0,1021.53,-424.7124938964844,43.8837
195000,39,31.6799,39,77.3,80.94,-284.47442626953125,52.1364
200000,40,38.9345,40,968.66,787.03,-412.56243896484375,56.1015
205000,41,36.7213,41,162.08,163.9,-429.8354797363281,30.9035
210000,42,34.2082,42,217.79,217.42,-339.3351745605469,47.6877
215000,43,30.7411,43,254.07,279.36,-431.84405517578125,63.5604
220000,44,32.7197,44,251.35,253.43,-405.43524169921875,29.7792
225000,45,33.6488,45,217.62,218.53,-436.1726379394531,28.3561
230000,46,34.7981,46,1047.99,958.27,-464.767333984375,26.3174
235000,47,36.5394,47,1018.09,1017.79,-490.867919921875,35.2673
240000,48,37.2193,48,1024.52,1023.3,-520.7708129882812,33.365
245000,49,37.0156,49,1024.76,1024.72,-499.220458984375,38.8845
250000,50,36.1987,50,1030.29,1028.21,-526.0751953125,35.733
255000,51,35.2209,51,1003.69,1006.69,-531.6452026367188,33.0119
260000,52,39.1411,52,1004.09,1004.72,-562.6864013671875,48.1721
265000,53,34.1372,53,1041.09,1040.39,-556.9879760742188,33.5807
270000,54,35.1523,54,1008.43,1008.74,-560.7058715820312,40.9999
275000,55,36.4797,55,174.12,476.14,-568.1593017578125,38.5613
280000,56,35.8824,56,1022.4,1024.19,-591.093017578125,39.0076
285000,57,35.4963,57,972.98,972.44,-593.430419921875,46.5993
290000,58,35.767,58,1020.01,1021.25,-608.0169677734375,29.3323
295000,59,37.8113,59,1002.32,1001.35,-639.93701171875,51.9499
300000,60,37.2958,60,1016.49,1016.38,-629.04296875,38.2218
305000,61,35.4834,61,1031.92,1031.42,-648.3309326171875,40.6605
310000,62,35.5602,62,1003.88,969.36,-660.4725952148438,45.8137
315000,63,35.0308,63,1019.94,1020.52,-694.71435546875,47.1299
320000,64,32.7662,64,166.23,167.11,-454.0240783691406,26.3112
325000,65,29.8369,65,173.19,173.0,-138.5023651123047,21.546
330000,66,30.2321,66,130.25,128.64,-364.6578674316406,18.9872
335000,67,29.3845,67,164.49,150.75,-467.3671875,46.7365
340000,68,30.8451,68,602.95,777.65,-561.3310546875,40.0825
345000,69,38.5447,69,978.05,978.1,-730.2495727539062,50.4922
350000,70,37.7211,70,1009.72,1009.73,-765.0755004882812,51.2627
355000,71,31.0355,71,149.79,147.38,-675.751953125,41.3842
360000,72,38.5901,72,976.57,976.71,-759.605712890625,48.1789
365000,73,31.9484,73,68.49,68.83,-723.6561279296875,34.0917
370000,74,32.1758,74,318.41,317.32,-740.8161010742188,53.6028
375000,75,32.7824,75,155.46,156.16,-677.7987060546875,30.3665
380000,76,31.822,76,214.7,214.42,-440.0936279296875,36.3464
385000,77,38.0849,77,987.67,987.67,-818.715087890625,49.3376
390000,78,41.0358,78,975.38,976.64,-818.5836791992188,46.569
395000,79,37.6503,79,1012.69,1012.69,-859.0197143554688,47.4282
400000,80,38.8158,80,1026.56,1026.53,-866.5076904296875,37.6834
405000,81,36.0282,81,108.04,107.56,-892.5398559570312,42.4626
410000,82,36.8189,82,276.55,271.52,-903.572998046875,47.8218
415000,83,39.2698,83,976.99,976.69,-881.5423583984375,44.3194
420000,84,31.8422,84,379.5,374.43,-827.3677368164062,57.3324
