Running Reverse KL,Real Sto Return,Itration,Real Det Return,Running Forward KL
28.7422,201.14,0,191.33,39.5695
18.6849,265.5,1,252.21,36.4015
25.2372,1000.42,2,463.69,44.22
35.6798,348.01,3,359.98,36.4301
23.2323,1066.8,4,1069.81,43.4996
25.183,1017.75,5,1015.65,42.0725
62.3991,57.86,6,57.99,45.2884
23.0587,211.34,7,211.68,39.105
35.8756,1038.25,8,1038.17,43.5938
31.044,385.76,9,391.98,39.785
25.1505,633.1,10,1063.37,38.7415
22.6421,874.39,11,1056.23,38.8954
37.3494,307.95,12,312.45,37.6305
56.3864,689.97,13,896.43,42.5893
35.2232,994.1,14,995.32,43.9801
45.5088,594.69,15,882.05,44.2094
27.8906,229.49,16,167.55,39.4782
30.3126,295.22,17,299.32,38.419
61.2143,225.62,18,226.99,38.8187
35.7708,273.19,19,250.7,36.4466
40.4249,996.55,20,996.59,45.2584
32.15,989.37,21,990.64,43.2575
23.3102,1023.59,22,1019.69,42.7696
25.125,1044.92,23,1029.66,41.8514
113.6455,563.35,24,601.72,37.5966
98.5528,456.01,25,422.79,37.0144
25.4866,402.68,26,423.28,38.3741
32.5764,1033.42,27,1035.05,41.0321
37.3232,585.9,28,719.33,37.4536
47.3682,972.6,29,973.44,45.8688
100.247,339.15,30,376.95,35.7461
38.2681,288.75,31,303.04,38.8304
32.8969,154.98,32,112.79,36.6582
23.1125,1029.09,33,1025.82,40.4279
