Running Update Time,Running Forward KL,Itration,Reward Loss,Real Sto Return,Running Env Steps,Real Det Return,Running Reverse KL
0,39.9108,0,0.6350152492523193,10.98,0,8.83,13.8168
1,37.5332,1,3.1707963943481445,22.18,90,15.61,11.7573
2,37.9743,2,4.026307582855225,25.55,180,25.12,11.034
3,38.1315,3,4.1085076332092285,22.25,270,28.45,10.7947
4,37.6316,4,3.714548110961914,29.91,360,35.82,9.009
