Real Det Return,Running Forward KL,Real Sto Return,Running Reverse KL,Reward Loss,Itration,Running Update Time,Running Env Steps
179.38,30.9287,185.84,15.3669,331.20989990234375,0,0,0
295.48,29.2727,320.63,16.1305,244.93283081054688,1,1,5000
319.77,29.9228,316.33,25.7019,128.68690490722656,2,2,10000
372.64,28.2449,386.31,17.4183,169.23681640625,3,3,15000
440.79,27.6584,425.07,25.4328,49.00672912597656,4,4,20000
144.47,27.4144,502.99,16.3552,110.01172637939453,5,5,25000
285.74,27.6782,345.06,23.3089,16.402437210083008,6,6,30000
339.32,31.8412,332.44,35.1445,-151.565673828125,7,7,35000
258.77,29.6997,274.15,16.7292,-176.48800659179688,8,8,40000
305.4,33.3172,307.57,48.6232,-235.0878448486328,9,9,45000
188.66,34.4715,197.16,29.5441,-151.2123260498047,10,10,50000
48.13,32.0242,49.28,33.2949,-251.98410034179688,11,11,55000
241.22,32.2259,253.3,35.0233,-352.2666931152344,12,12,60000
1037.17,37.5646,940.41,35.9174,-299.7811584472656,13,13,65000
6.85,32.9786,6.93,198.0897,-397.92889404296875,14,14,70000
248.85,32.046,250.9,68.8871,-4.039463043212891,15,15,75000
265.82,28.746,267.31,24.4664,-140.07797241210938,16,16,80000
235.53,31.24,235.61,63.6781,-214.30593872070312,17,17,85000
1012.63,37.9781,1011.31,30.5656,-552.4312133789062,18,18,90000
1037.94,35.9368,1036.5,24.4817,-583.5306396484375,19,19,95000
407.99,28.8022,392.43,79.5679,-171.6619110107422,20,20,100000
1015.28,37.934,1013.44,39.5366,-673.9073486328125,21,21,105000
847.09,31.4356,687.38,26.4475,-530.837646484375,22,22,110000
1021.4,39.0248,1019.79,37.6725,-790.4803466796875,23,23,115000
991.52,38.5318,991.36,50.4946,-792.8882446289062,24,24,120000
984.23,39.4385,983.88,43.7615,-851.5020751953125,25,25,125000
971.25,39.9223,970.56,49.1201,-908.6574096679688,26,26,130000
1060.54,35.8152,1058.67,33.456,-979.44873046875,27,27,135000
121.98,33.1166,136.45,22.6117,-943.8767700195312,28,28,140000
2.35,39.3475,2.45,63.6629,-1135.4312744140625,29,29,145000
202.89,32.9216,207.59,33.4882,-667.5621337890625,30,30,150000
378.27,33.288,772.59,48.4753,-953.7933959960938,31,31,155000
299.05,31.0235,249.67,91.7758,-707.2715454101562,32,32,160000
492.64,30.8017,483.37,53.9115,-945.5125732421875,33,33,165000
1030.66,36.552,1030.25,33.4863,-1399.8328857421875,34,34,170000
700.57,32.971,718.16,30.1318,-1439.3193359375,35,35,175000
1045.99,38.236,1046.68,26.4252,-1480.5020751953125,36,36,180000
977.48,39.3938,977.24,53.9914,-1482.361083984375,37,37,185000
94.37,33.4117,96.01,33.1409,-1317.243896484375,38,38,190000
523.05,32.8399,512.65,27.9138,-1346.888671875,39,39,195000
1040.92,38.4918,1038.9,33.8621,-1664.3607177734375,40,40,200000
975.13,33.3261,655.3,35.7473,-1476.381591796875,41,41,205000
1055.85,35.5508,609.86,32.3615,-1746.3057861328125,42,42,210000
1042.78,35.1664,1043.69,41.9389,-1845.286865234375,43,43,215000
109.44,32.4641,254.61,23.2324,-1390.8831787109375,44,44,220000
424.57,35.8121,350.94,33.341,-1915.996826171875,45,45,225000
1011.43,38.4628,1007.42,39.8575,-1981.050048828125,46,46,230000
1047.03,36.5718,1047.35,37.3471,-2068.19091796875,47,47,235000
1028.79,37.1881,1028.18,30.8724,-2118.851806640625,48,48,240000
1021.88,38.1202,1021.53,40.3349,-2189.080810546875,49,49,245000
91.59,36.251,90.57,37.2696,-2217.018310546875,50,50,250000
1049.59,37.906,944.76,30.7853,-2249.221923828125,51,51,255000
977.94,33.611,887.74,34.0893,-2224.86767578125,52,52,260000
1050.38,37.7808,1049.37,33.3108,-2372.8759765625,53,53,265000
990.83,31.8949,442.64,25.9218,-2255.944580078125,54,54,270000
1007.09,38.8293,1005.52,43.7702,-2493.36376953125,55,55,275000
1031.5,35.3437,1035.82,31.7654,-2577.84716796875,56,56,280000
1048.82,31.6989,957.79,35.1744,-2481.8876953125,57,57,285000
1050.76,38.2556,1038.8,28.8688,-2690.861083984375,58,58,290000
1048.26,37.0639,1047.92,41.5244,-2679.573974609375,59,59,295000
1026.46,36.4897,681.1,28.7342,-2645.799072265625,60,60,300000
1045.68,33.907,1036.87,36.5459,-2763.2080078125,61,61,305000
856.38,35.2043,798.7,35.4077,-2892.251708984375,62,62,310000
1041.74,38.6146,1040.92,31.3139,-2904.999755859375,63,63,315000
912.12,31.1614,838.91,33.2134,-2415.4794921875,64,64,320000
1049.55,33.9119,1049.64,46.0561,-3066.93310546875,65,65,325000
656.02,27.8842,617.13,21.2234,-2165.107177734375,66,66,330000
1030.6,35.3519,1031.15,24.0316,-2995.1318359375,67,67,335000
1029.64,37.21,1028.38,24.9968,-3187.13623046875,68,68,340000
1043.92,35.9812,646.24,25.2283,-3214.26611328125,69,69,345000
88.71,33.788,93.75,38.4897,-3219.958251953125,70,70,350000
1053.0,38.4265,1053.23,38.5324,-3356.5263671875,71,71,355000
1035.95,35.7313,1036.61,33.0132,-3473.20068359375,72,72,360000
991.45,37.746,1007.49,29.1296,-3478.9091796875,73,73,365000
977.06,39.0482,976.06,50.5818,-3562.169921875,74,74,370000
1004.92,40.139,999.85,45.4524,-3599.18798828125,75,75,375000
1044.77,35.8427,1045.59,24.3269,-3461.935791015625,76,76,380000
1042.22,35.1505,1043.88,27.0867,-3741.074951171875,77,77,385000
1047.1,34.8155,1047.53,26.9189,-3752.620361328125,78,78,390000
1024.76,37.8397,1031.54,24.8027,-3855.60302734375,79,79,395000
189.96,34.767,193.89,38.6788,-3811.803466796875,80,80,400000
1054.14,37.9043,1053.97,46.3964,-3964.2880859375,81,81,405000
145.15,35.8405,137.88,49.8876,-3769.02685546875,82,82,410000
279.82,30.9404,292.34,43.0877,-3622.581787109375,83,83,415000
308.1,28.6933,304.11,28.4096,-3043.05859375,84,84,420000
993.34,39.274,993.65,37.0027,-4279.228515625,85,85,425000
1018.76,39.592,1018.76,38.185,-4278.2314453125,86,86,430000
1002.42,38.4862,1001.24,32.341,-4317.841796875,87,87,435000
990.74,38.5198,989.4,45.2372,-4367.666015625,88,88,440000
1002.66,39.9752,1004.06,36.6012,-4422.765625,89,89,445000
1014.66,39.9539,1013.73,38.1638,-4516.90966796875,90,90,450000
1007.41,39.445,1008.2,36.7104,-4611.7666015625,91,91,455000
996.48,39.7273,996.49,31.2943,-4655.595703125,92,92,460000
983.8,39.7107,983.4,54.2187,-4711.107421875,93,93,465000
859.95,38.6113,844.18,53.4069,-4815.51708984375,94,94,470000
995.42,40.1588,995.76,43.5925,-4869.74169921875,95,95,475000
1052.17,36.2555,1052.03,46.3579,-4833.701171875,96,96,480000
1059.18,33.7383,1059.49,34.7635,-4739.04052734375,97,97,485000
1056.81,34.8846,1056.48,37.2764,-5012.42529296875,98,98,490000
1039.6,35.2104,1038.09,37.8165,-5092.26904296875,99,99,495000
1043.8,36.4018,1042.14,33.7116,-5112.58984375,100,100,500000
1009.63,34.0722,943.84,37.7308,-5240.576171875,101,101,505000
984.62,39.2352,984.37,44.0542,-5346.17333984375,102,102,510000
989.77,33.8649,1024.51,35.4663,-5304.4677734375,103,103,515000
