Running Forward KL,Real Det Return,Real Sto Return,Itration,Running Reverse KL
49.4997,298.8,337.28,0,13.2914
49.5063,295.63,283.92,1,13.4398
49.8393,341.05,269.11,2,30.8306
49.6977,313.91,213.85,3,14.659
49.1134,370.25,374.16,4,13.1743
49.3035,498.14,400.5,5,16.6903
49.3752,450.41,432.96,6,19.1932
47.8403,518.8,573.34,7,13.6326
47.4747,538.65,562.03,8,14.3747
49.5903,469.17,407.56,9,31.4596
49.1969,79.42,336.57,10,30.8351
48.2378,1157.45,528.21,11,18.751
47.0047,768.52,660.72,12,31.1377
50.331,711.79,287.97,13,40.0851
51.9551,798.6,623.32,14,26.065
50.7689,484.69,491.84,15,21.7348
48.2356,1345.8,1035.4,16,17.1076
46.8991,716.61,590.99,17,14.3324
46.3348,974.61,895.06,18,16.1021
50.6493,114.23,166.88,19,33.0815
47.7466,967.04,980.92,20,18.0549
47.3826,854.79,687.55,21,15.6097
47.2322,761.6,931.96,22,27.1449
47.3471,924.3,674.75,23,19.4856
47.9156,1017.36,878.37,24,16.8116
47.7563,2259.61,1993.36,25,16.3595
47.202,2024.47,1248.54,26,17.32
50.6274,593.06,1062.11,27,17.1144
49.7137,1296.21,1137.19,28,15.0757
47.8753,1205.96,987.7,29,14.6103
48.1929,1008.28,1085.92,30,16.1267
50.3652,1024.07,952.93,31,16.7295
53.1951,1001.56,995.33,32,20.1339
53.266,1004.82,1007.57,33,18.8806
53.6326,1000.52,992.03,34,22.8426
54.5909,996.9,987.92,35,29.8478
49.605,995.63,937.18,36,28.1134
50.2102,1043.23,1083.69,37,21.062
53.2962,1024.16,1024.2,38,24.5319
52.912,1030.0,1028.4,39,17.8116
52.0101,121.48,92.42,40,39.8641
52.0813,2.55,8.55,41,33.0772
54.4493,45.29,32.92,42,54.1186
51.9454,252.76,253.93,43,53.0319
52.2751,1046.62,1253.01,44,29.7884
52.0282,66.08,80.63,45,33.6337
51.6465,398.49,396.12,46,19.6454
55.1206,1014.2,1009.06,47,41.805
53.921,1038.17,1034.94,48,26.6994
50.3012,429.0,449.45,49,32.7461
53.7138,1035.77,1036.54,50,32.8395
54.5106,1028.38,1027.31,51,37.0432
47.8039,674.33,660.94,52,19.5593
47.2922,619.03,674.65,53,15.9994
48.4157,496.79,425.76,54,19.5866
48.4443,871.32,549.78,55,20.3234
53.0802,1010.8,978.94,56,28.1653
53.1623,1011.97,1011.15,57,18.8021
53.1765,1008.31,1006.8,58,21.8759
54.3792,992.86,985.63,59,29.0524
54.1683,995.79,989.23,60,28.9642
54.8039,994.1,990.61,61,33.5058
