Running Reverse KL,Itration,Real Det Return,Real Sto Return,Running Forward KL
276.7509,0,234.38,240.32,439.9813
413.4702,1,318.81,304.78,442.3115
315.6719,2,314.82,330.51,431.3389
270.2415,3,408.8,366.66,422.1852
266.6869,4,632.99,423.17,409.6261
246.0503,5,472.65,495.8,411.8058
239.3403,6,509.74,503.5,399.9277
287.5099,7,518.59,502.6,396.9614
260.2361,8,542.71,519.28,397.7133
283.5651,9,525.93,543.12,387.2271
248.8954,10,719.27,541.41,381.0412
297.7064,11,637.85,575.29,395.3926
252.9596,12,659.35,629.59,396.9356
248.2347,13,849.57,702.73,378.2249
229.9947,14,1084.21,730.64,374.8481
237.151,15,727.88,832.28,366.6617
236.9656,16,661.04,795.42,357.2629
247.4995,17,964.02,897.6,376.4387
245.6464,18,707.96,727.1,364.3755
277.2837,19,1210.86,774.38,365.1294
305.1654,20,754.56,932.1,365.9437
286.2685,21,1117.15,863.49,334.8275
267.0998,22,1223.77,1279.63,348.6772
233.9615,23,759.22,1007.79,343.0048
261.8741,24,994.64,1176.6,322.1252
203.4399,25,982.13,1653.68,323.3566
176.7347,26,1284.57,1779.98,321.2148
144.157,27,999.36,2268.71,310.5869
207.2545,28,817.24,1380.79,322.0665
205.1191,29,744.71,2051.75,319.6785
196.7847,30,636.42,2177.37,323.6568
242.5176,31,944.23,1565.46,314.03
241.6696,32,917.44,1272.26,338.2891
206.9856,33,1468.05,1899.56,319.5254
216.8965,34,926.01,1933.35,315.199
120.685,35,803.24,2673.76,300.0635
115.4754,36,1860.8,3128.49,287.5271
161.2124,37,1226.79,2436.47,305.8624
134.5773,38,2279.63,3824.72,287.4208
104.8264,39,2458.75,3529.89,284.8406
106.4734,40,1643.53,4423.14,270.8069
164.6475,41,1741.47,3044.04,296.3178
95.3152,42,1410.71,2671.53,271.4981
116.288,43,724.05,4137.58,282.5044
81.5402,44,1900.68,3989.26,274.7055
84.4563,45,1856.57,3798.08,269.773
92.0822,46,1714.9,3591.45,267.7458
101.6032,47,2313.22,3221.61,274.517
82.3008,48,4074.33,4118.15,260.8736
115.3583,49,5087.42,4358.43,269.2761
60.6633,50,4477.12,4988.75,258.8954
89.3682,51,3468.44,4314.4,261.336
79.6994,52,2988.33,4276.77,258.1239
68.3981,53,1181.24,5010.04,256.3991
83.7354,54,3047.65,4388.93,260.4205
143.375,55,859.25,2389.52,277.304
79.9764,56,1481.69,3605.92,255.5108
192.6606,57,1353.4,2709.57,281.1235
60.3459,58,4283.91,4270.04,265.2277
77.897,59,3343.7,3463.44,243.5096
72.6356,60,1630.26,3947.8,257.013
44.9293,61,1752.42,3854.56,240.938
86.8053,62,3023.33,3959.11,264.4662
54.3367,63,5185.96,5012.82,259.1422
79.1545,64,4879.23,4211.01,263.292
51.1707,65,3419.27,4063.47,255.5221
70.1403,66,2727.49,4570.24,265.2852
62.5256,67,2313.61,4803.62,258.2842
127.6058,68,2186.85,4796.74,268.4766
50.4922,69,4507.99,4848.79,254.9578
63.9689,70,4716.0,5107.63,256.9542
57.5742,71,4949.65,5130.1,254.5846
58.0396,72,4435.57,5081.81,251.9045
59.8252,73,4957.64,5054.95,253.8479
56.1921,74,2358.7,4831.46,253.4421
68.3397,75,2834.49,3436.57,261.1813
57.7103,76,5208.58,4987.63,259.4387
64.1705,77,3132.07,5037.21,260.0223
74.7598,78,3239.21,4508.25,259.6379
56.0349,79,4830.56,5095.71,256.1171
64.4879,80,4630.72,4823.69,257.188
