Running Reverse KL,Reward Loss,Itration,Running Update Time,Running Forward KL,Real Det Return,Real Sto Return,Running Env Steps
11.9455,210.3898468017578,0,0,158.5789,-39.32,-192.86,0
11.874,167.53677368164062,1,1,158.4484,-0.6,-110.23,5000
11.699,126.74735260009766,2,2,158.1221,287.9,39.57,10000
12.4202,73.91925048828125,3,3,158.2895,430.13,214.35,15000
13.4025,10.79121208190918,4,4,157.9511,628.7,413.92,20000
13.4591,-25.026023864746094,5,5,158.0668,824.74,526.25,25000
13.3558,-33.8515625,6,6,158.0212,920.01,559.64,30000
14.593,-48.11510467529297,7,7,158.0673,1138.27,699.9,35000
15.3431,-88.1386947631836,8,8,158.1554,1209.85,848.06,40000
15.8422,-86.06077575683594,9,9,158.0454,1420.35,979.02,45000
16.1283,-124.39130401611328,10,10,158.0393,1435.62,1079.37,50000
16.584,-145.4319610595703,11,11,158.1149,1528.69,1127.72,55000
16.4078,-177.79019165039062,12,12,158.0968,1545.62,1152.73,60000
16.4875,-208.59259033203125,13,13,158.1451,1536.73,1133.02,65000
15.93,-234.92794799804688,14,14,158.1282,-98.37,1017.56,70000
16.4197,-266.04705810546875,15,15,158.1837,1551.0,1162.19,75000
16.2596,-286.15887451171875,16,16,157.9549,1588.59,1189.86,80000
16.305,-322.1355895996094,17,17,157.9216,1658.78,1249.98,85000
16.1702,-348.20489501953125,18,18,157.8179,1686.95,1292.77,90000
16.055,-386.64208984375,19,19,157.6284,1702.4,1294.28,95000
16.3455,-418.1427307128906,20,20,157.722,1756.48,1320.59,100000
16.4279,-428.9153747558594,21,21,157.9399,1785.81,1359.73,105000
16.4706,-454.4760437011719,22,22,157.8327,1752.63,1360.42,110000
16.1983,-503.5694274902344,23,23,157.7286,1838.82,1419.28,115000
15.86,-529.5042724609375,24,24,157.6598,1807.02,1390.81,120000
16.4419,-548.9951782226562,25,25,157.7925,1806.55,1414.34,125000
16.2393,-584.5250854492188,26,26,157.7978,1815.62,1473.98,130000
16.5218,-619.64794921875,27,27,157.8795,1902.87,1508.5,135000
16.0116,-661.9010620117188,28,28,157.7261,1845.94,1472.15,140000
15.9923,-683.5238037109375,29,29,157.4876,1911.68,1519.39,145000
15.954,-722.8151245117188,30,30,157.702,1840.43,1505.22,150000
15.8855,-742.0692138671875,31,31,157.7054,1842.5,1497.15,155000
16.2155,-771.4937744140625,32,32,157.6719,1840.69,1529.01,160000
16.1411,-802.3746948242188,33,33,157.2962,1895.31,1521.19,165000
16.0614,-825.4573974609375,34,34,157.5201,1963.27,1569.32,170000
16.4572,-854.5442504882812,35,35,157.671,1956.01,1574.57,175000
16.1921,-898.3529052734375,36,36,157.4877,1960.43,1549.54,180000
16.1561,-923.35546875,37,37,157.6105,1901.95,1575.91,185000
16.2223,-953.5826416015625,38,38,157.5161,1942.73,1571.99,190000
16.4375,-986.7996826171875,39,39,157.6109,1970.72,1572.93,195000
16.4241,-1015.5531005859375,40,40,157.476,1920.64,1604.99,200000
16.0321,-1046.059326171875,41,41,157.2644,1976.09,1620.85,205000
15.8718,-1080.6055908203125,42,42,157.3518,1917.43,1599.66,210000
16.1789,-1116.8587646484375,43,43,157.3308,1973.85,1642.55,215000
16.6271,-1141.820556640625,44,44,157.3473,2020.1,1632.16,220000
16.115,-1171.114013671875,45,45,157.2821,2002.93,1659.75,225000
16.227,-1212.5833740234375,46,46,157.2687,1998.01,1621.49,230000
15.9234,-1237.262939453125,47,47,157.4362,1972.01,1601.9,235000
16.5663,-1257.0528564453125,48,48,157.4113,2027.31,1657.52,240000
16.0896,-1296.229736328125,49,49,157.4976,2017.71,1654.11,245000
16.3907,-1328.5650634765625,50,50,157.4222,2028.83,1688.09,250000
16.6895,-1364.7252197265625,51,51,157.4219,2041.31,1684.52,255000
16.0451,-1393.9407958984375,52,52,157.2611,2062.97,1705.32,260000
16.3303,-1431.673095703125,53,53,157.3331,2048.78,1686.07,265000
16.1993,-1452.98193359375,54,54,157.3228,2018.96,1673.03,270000
16.0974,-1492.1854248046875,55,55,157.3586,2024.8,1689.96,275000
16.0582,-1519.2916259765625,56,56,157.2071,2019.49,1640.44,280000
16.091,-1549.507080078125,57,57,157.2436,2044.22,1701.55,285000
16.2738,-1581.9376220703125,58,58,157.281,2041.28,1695.31,290000
16.167,-1607.4554443359375,59,59,157.1222,2056.48,1716.59,295000
16.5079,-1652.8558349609375,60,60,157.2243,2082.14,1709.3,300000
15.874,-1683.579833984375,61,61,157.2635,2043.83,1701.14,305000
15.8492,-1713.54931640625,62,62,156.9682,2031.11,1714.43,310000
15.9558,-1733.6192626953125,63,63,157.067,2070.19,1694.73,315000
15.8689,-1777.043701171875,64,64,157.0029,2069.34,1698.06,320000
16.0908,-1811.2684326171875,65,65,157.303,2053.34,1664.23,325000
15.8151,-1834.55224609375,66,66,156.9789,2032.57,1738.31,330000
15.7014,-1857.2939453125,67,67,156.8578,2065.54,1691.65,335000
15.6854,-1893.4769287109375,68,68,156.9688,2068.26,1722.98,340000
15.437,-1931.1695556640625,69,69,156.965,2098.34,1721.63,345000
15.4147,-1953.6561279296875,70,70,156.8881,2054.71,1718.05,350000
15.8,-2001.94384765625,71,71,156.9257,2098.93,1735.0,355000
15.4463,-2028.1116943359375,72,72,157.1828,2043.56,1705.74,360000
15.5668,-2057.9619140625,73,73,156.769,2126.29,1740.1,365000
15.8825,-2087.959228515625,74,74,156.8767,2149.21,1755.92,370000
15.9183,-2129.9619140625,75,75,157.1451,2135.98,1784.13,375000
15.4679,-2151.761474609375,76,76,156.8158,2099.45,1741.9,380000
15.6639,-2198.641357421875,77,77,156.9547,2136.44,1777.22,385000
15.5247,-2226.403076171875,78,78,156.8775,2081.67,1724.3,390000
15.8247,-2259.004150390625,79,79,157.027,2131.05,1727.92,395000
15.2716,-2303.268310546875,80,80,156.852,2109.79,1736.27,400000
15.4145,-2334.956298828125,81,81,157.103,2143.54,1756.99,405000
15.4537,-2363.74169921875,82,82,157.0538,2079.28,1763.36,410000
15.8586,-2403.1416015625,83,83,156.9494,2154.43,1774.18,415000
15.5735,-2425.55517578125,84,84,156.8585,2109.41,1756.55,420000
15.6471,-2447.510498046875,85,85,156.7973,2101.8,1776.15,425000
15.8021,-2495.353271484375,86,86,156.8716,2106.92,1776.29,430000
15.5613,-2545.322509765625,87,87,156.9382,2064.88,1747.78,435000
15.9101,-2554.70166015625,88,88,156.8311,2108.81,1768.57,440000
15.8119,-2601.315185546875,89,89,156.8095,2148.92,1783.01,445000
15.7488,-2636.60791015625,90,90,156.774,2130.78,1767.76,450000
15.6551,-2674.2802734375,91,91,156.94,2165.71,1794.08,455000
15.6061,-2705.492919921875,92,92,157.0468,2114.58,1775.02,460000
15.513,-2745.046142578125,93,93,156.9967,2136.14,1788.56,465000
15.5515,-2767.510498046875,94,94,156.8564,2115.31,1780.19,470000
15.4475,-2799.693115234375,95,95,156.9949,2128.15,1784.79,475000
15.6627,-2842.583740234375,96,96,156.8092,2147.39,1787.64,480000
15.3448,-2888.281494140625,97,97,156.9058,2084.36,1764.78,485000
15.6048,-2912.10400390625,98,98,156.7999,2155.95,1794.4,490000
15.8817,-2948.5458984375,99,99,156.8915,2164.47,1836.96,495000
15.4929,-2994.05029296875,100,100,156.8204,2133.19,1809.46,500000
15.5696,-3039.1279296875,101,101,156.7052,2201.49,1798.04,505000
15.5406,-3064.610595703125,102,102,156.8612,2162.14,1817.13,510000
15.9372,-3111.661376953125,103,103,157.0108,2185.8,1809.53,515000
15.551,-3138.8662109375,104,104,156.7451,2119.68,1817.83,520000
15.3318,-3177.94384765625,105,105,156.9327,2125.2,1778.7,525000
15.8274,-3209.0302734375,106,106,156.9975,2199.77,1840.78,530000
15.6443,-3257.95556640625,107,107,156.7985,2188.13,1804.92,535000
15.7391,-3285.04736328125,108,108,156.8889,2201.42,1811.65,540000
15.1448,-3323.216796875,109,109,156.8405,2103.28,1773.12,545000
15.5333,-3353.09033203125,110,110,156.9514,2167.16,1811.64,550000
15.2226,-3408.235107421875,111,111,156.8077,2091.23,1762.26,555000
15.4197,-3425.81396484375,112,112,156.6919,2161.34,1809.43,560000
15.3335,-3495.80029296875,113,113,156.9801,2078.22,1727.97,565000
15.6568,-3506.31005859375,114,114,156.8137,2173.13,1835.77,570000
15.5175,-3551.0703125,115,115,156.7655,2192.15,1836.11,575000
15.4775,-3589.069091796875,116,116,156.8333,2169.93,1812.48,580000
15.4478,-3629.9453125,117,117,156.8958,2140.0,1810.28,585000
15.906,-3681.24658203125,118,118,156.8,2191.55,1831.74,590000
15.5922,-3707.14990234375,119,119,156.7665,2178.03,1819.02,595000
15.5557,-3751.328857421875,120,120,156.7947,2226.38,1852.65,600000
15.5315,-3800.38525390625,121,121,157.0393,2172.44,1808.39,605000
15.6398,-3844.5244140625,122,122,156.9758,2165.9,1828.37,610000
15.2987,-3880.929931640625,123,123,156.8137,2124.86,1781.97,615000
15.3993,-3905.458984375,124,124,156.6514,2183.23,1806.72,620000
15.1295,-3930.677978515625,125,125,156.6765,2169.66,1789.91,625000
15.4479,-4011.083984375,126,126,156.989,2115.94,1766.13,630000
15.5563,-4042.1787109375,127,127,156.7054,2224.51,1842.94,635000
15.3538,-4068.74609375,128,128,156.984,2128.2,1769.48,640000
15.3687,-4103.142578125,129,129,156.7934,2177.87,1811.84,645000
15.2289,-4156.826171875,130,130,156.7029,2191.66,1819.72,650000
15.5241,-4223.74853515625,131,131,157.0187,2119.67,1797.8,655000
15.626,-4236.576171875,132,132,156.8546,2199.27,1817.5,660000
15.6275,-4290.849609375,133,133,156.7361,2160.07,1825.02,665000
15.6069,-4327.33544921875,134,134,156.9333,2191.23,1840.28,670000
15.3488,-4366.74755859375,135,135,156.6283,2162.96,1823.59,675000
15.4637,-4420.89013671875,136,136,156.8615,2207.25,1830.73,680000
16.0839,-4469.98095703125,137,137,156.9615,2223.76,1863.99,685000
15.263,-4509.5927734375,138,138,156.6945,2208.51,1848.06,690000
15.4832,-4562.4453125,139,139,156.9053,2180.55,1832.39,695000
15.4155,-4582.259765625,140,140,156.7806,2232.89,1860.78,700000
15.5772,-4657.2919921875,141,141,156.9389,2219.12,1848.28,705000
15.146,-4683.71484375,142,142,156.6165,2156.8,1804.84,710000
15.2746,-4729.09326171875,143,143,156.6671,2172.57,1828.04,715000
15.3234,-4777.8203125,144,144,156.8565,2229.24,1854.97,720000
15.4846,-4801.21630859375,145,145,156.7274,2205.99,1847.44,725000
15.3359,-4877.41552734375,146,146,156.7002,2195.82,1851.64,730000
15.1989,-4929.9150390625,147,147,156.8593,2184.62,1822.23,735000
15.2091,-4968.98095703125,148,148,156.8333,2182.48,1807.67,740000
15.5489,-5024.18408203125,149,149,156.7546,2241.85,1866.83,745000
