Real Det Return,Running Reverse KL,Itration,Running Forward KL,Running Env Steps,Running Update Time,Reward Loss,Real Sto Return
393.38,250.2122,0,427.8081,0,0,18825.470703125,327.03
320.28,290.274,1,438.2492,5000,1,20440.619140625,342.18
379.08,261.6267,2,438.0332,10000,2,18451.76953125,385.36
379.05,289.1142,3,424.9943,15000,3,17493.681640625,392.85
407.11,303.7251,4,412.6107,20000,4,17984.05078125,376.62
398.86,262.0922,5,420.7595,25000,5,13714.66015625,390.66
404.16,266.9809,6,421.0077,30000,6,12918.2470703125,397.99
527.63,277.4588,7,419.0149,35000,7,13338.5400390625,427.2
443.32,259.1616,8,418.2951,40000,8,10384.3564453125,437.83
517.69,252.6815,9,400.951,45000,9,10528.71875,539.06
506.53,276.7597,10,400.3267,50000,10,8755.328125,564.15
517.29,270.0465,11,401.7069,55000,11,8171.01416015625,510.95
355.49,311.6156,12,417.4916,60000,12,6699.4150390625,366.56
472.01,286.8647,13,385.4418,65000,13,6521.95703125,502.88
471.61,279.6551,14,391.3097,70000,14,4315.87060546875,531.78
600.93,274.4341,15,387.8851,75000,15,3430.4599609375,482.13
598.79,277.5498,16,381.433,80000,16,2846.180908203125,572.72
487.57,280.1142,17,383.3944,85000,17,3304.076904296875,472.4
470.56,296.2666,18,383.554,90000,18,2428.0888671875,548.63
513.6,326.9669,19,382.5499,95000,19,608.162353515625,553.44
559.06,268.465,20,390.5346,100000,20,307.1310729980469,638.5
350.63,268.9842,21,376.5035,105000,21,-1117.5673828125,593.3
715.07,299.311,22,374.9571,110000,22,-3546.42431640625,600.87
658.93,298.414,23,372.3455,115000,23,-4940.1337890625,671.67
811.22,272.0426,24,366.4917,120000,24,-7516.6376953125,765.04
784.54,301.3278,25,370.5661,125000,25,-7665.927734375,623.7
811.29,299.3563,26,374.5216,130000,26,-9189.1494140625,750.0
645.89,286.2219,27,366.0121,135000,27,-10599.525390625,839.64
687.49,312.9042,28,360.7883,140000,28,-11615.5810546875,824.28
649.93,302.9896,29,362.401,145000,29,-12355.169921875,853.22
648.38,305.0577,30,353.918,150000,30,-12914.501953125,852.58
651.38,276.8354,31,379.6222,155000,31,-13767.8408203125,986.52
1010.4,299.5096,32,348.4024,160000,32,-15183.19921875,1127.89
843.73,271.7576,33,363.234,165000,33,-16183.986328125,997.68
847.12,260.4497,34,356.9259,170000,34,-18459.0078125,932.83
763.89,253.4297,35,376.6864,175000,35,-17479.548828125,982.52
616.29,231.8235,36,375.0501,180000,36,-19140.326171875,781.56
843.95,278.5108,37,358.5221,185000,37,-20465.8359375,1129.1
959.58,283.223,38,348.6456,190000,38,-20310.23828125,1068.65
1056.79,304.755,39,349.347,195000,39,-24077.314453125,1061.02
1126.78,235.4209,40,343.1995,200000,40,-23401.05859375,1423.88
1123.93,284.9212,41,338.5219,205000,41,-23197.345703125,1752.46
1193.87,302.8646,42,330.5045,210000,42,-23251.033203125,2362.87
1113.65,244.9281,43,331.4103,215000,43,-23004.54296875,2391.44
2555.98,157.0217,44,315.2171,220000,44,-18738.478515625,3370.05
809.65,231.9931,45,330.1,225000,45,-25735.314453125,1752.7
1302.92,168.1227,46,325.6224,230000,46,-20329.556640625,3145.39
2870.48,190.0494,47,330.8098,235000,47,-24095.310546875,3183.28
