Running Update Time,Itration,Running Env Steps,Reward Loss,Running Reverse KL,Real Sto Return,Real Det Return,Running Forward KL
0,0,0,-22.62440299987793,25.3688,-55.49,397.13,75.1738
1,1,5000,-41.25720977783203,25.4898,-54.88,326.96,75.1825
2,2,10000,-50.336219787597656,27.6408,-26.85,407.85,76.21
3,3,15000,-57.31224822998047,28.6671,-6.76,514.3,72.9248
4,4,20000,-79.60800170898438,30.4028,18.23,448.2,75.1316
5,5,25000,-94.09304809570312,29.899,49.95,664.03,74.1864
6,6,30000,-104.00405883789062,30.8749,68.97,385.0,74.4471
7,7,35000,-118.48823547363281,33.1626,98.34,622.57,75.9981
8,8,40000,-129.1857147216797,31.0048,98.54,664.7,74.2348
9,9,45000,-141.5731201171875,32.2711,125.84,444.92,73.9612
10,10,50000,-151.25755310058594,32.3442,152.42,702.92,73.8834
11,11,55000,-168.75100708007812,32.2509,166.73,574.31,74.6545
12,12,60000,-178.10179138183594,32.1057,178.83,561.66,73.2049
13,13,65000,-196.7754669189453,32.2786,124.23,708.25,75.2433
14,14,70000,-205.0951385498047,31.3442,140.23,424.16,74.2856
15,15,75000,-215.46559143066406,32.1434,119.38,591.37,74.4112
16,16,80000,-230.7430877685547,32.3292,144.35,675.19,73.591
17,17,85000,-239.08518981933594,31.3667,178.83,873.73,73.1034
18,18,90000,-250.5702362060547,31.7272,258.31,736.04,72.4964
19,19,95000,-253.19837951660156,32.3708,205.69,731.91,72.0479
20,20,100000,-272.5309143066406,30.6427,191.89,763.28,71.1807
21,21,105000,-290.2895202636719,32.3578,246.68,994.63,73.5648
22,22,110000,-300.5230712890625,32.0797,196.31,920.44,73.0117
23,23,115000,-310.697265625,31.0956,264.08,781.15,71.4604
24,24,120000,-318.8562927246094,30.6365,212.43,703.6,71.3259
25,25,125000,-339.1102600097656,31.7262,243.84,969.52,72.8879
26,26,130000,-350.97113037109375,31.3663,239.94,914.27,72.4748
27,27,135000,-353.5147399902344,30.4585,214.9,796.68,70.9263
28,28,140000,-368.5187072753906,31.1082,292.22,1121.19,71.2323
29,29,145000,-384.7446594238281,30.7927,217.33,951.59,71.7416
30,30,150000,-407.3578796386719,31.9909,254.45,1063.18,73.1439
31,31,155000,-420.69146728515625,32.0314,348.11,1071.73,72.7175
32,32,160000,-428.130859375,31.6861,272.41,788.3,72.4194
33,33,165000,-442.538818359375,30.7094,340.72,900.59,71.7212
34,34,170000,-443.5855712890625,30.5147,278.41,633.96,70.9604
35,35,175000,-451.7904052734375,30.1555,339.78,941.52,70.0187
36,36,180000,-460.73681640625,29.3517,393.16,920.89,68.5769
37,37,185000,-475.2485046386719,29.8252,437.49,995.82,68.3768
38,38,190000,-488.6658935546875,30.2978,414.94,1360.01,68.8408
39,39,195000,-508.33612060546875,29.6936,379.23,1177.91,69.0131
40,40,200000,-493.7003173828125,27.996,446.59,1230.53,67.0713
41,41,205000,-476.64508056640625,28.7494,736.22,1998.09,65.9977
42,42,210000,-457.5621337890625,29.8482,865.78,1943.57,65.8296
43,43,215000,-522.8787841796875,28.0753,430.82,1726.03,66.4706
44,44,220000,-533.97412109375,28.0842,605.79,1002.18,66.8572
45,45,225000,-523.679443359375,27.8275,735.32,2062.32,65.5467
46,46,230000,-528.416748046875,27.6861,943.79,1547.72,64.7505
47,47,235000,-460.9307556152344,31.0204,1135.97,2388.59,63.8191
48,48,240000,-506.5953674316406,30.5541,1540.01,2393.09,64.6976
49,49,245000,-531.4201049804688,27.5907,794.83,1597.0,63.8724
50,50,250000,-487.67645263671875,31.6497,931.52,2258.97,65.8302
51,51,255000,-536.5310668945312,28.6552,1297.59,1953.93,64.2344
52,52,260000,-567.99072265625,28.5834,1310.74,2001.34,66.2005
53,53,265000,-515.4863891601562,28.5343,1039.87,2304.41,62.8961
54,54,270000,-648.2095947265625,27.9312,1156.17,1658.28,66.8977
55,55,275000,-670.4417724609375,27.2986,781.61,1634.9,66.9471
56,56,280000,-590.0614013671875,30.4191,1936.2,2113.11,66.34
57,57,285000,-678.3400268554688,27.4043,706.21,1769.81,67.0785
58,58,290000,-526.6946411132812,37.9963,2220.76,2405.57,66.6233
59,59,295000,-563.0380859375,32.585,1926.62,2747.14,66.4764
60,60,300000,-700.8560180664062,26.1248,553.24,847.35,65.7222
61,61,305000,-645.4093627929688,29.7685,992.98,1403.64,67.6389
62,62,310000,-570.3914184570312,36.2663,2631.79,3068.68,66.8843
63,63,315000,-497.2913818359375,41.1936,2520.05,3559.55,66.7996
64,64,320000,-589.6407470703125,31.743,1136.16,1401.85,66.2439
65,65,325000,-677.2333984375,31.4125,1240.67,1657.38,66.1761
66,66,330000,-761.8087158203125,27.624,707.4,1082.82,66.6348
67,67,335000,-673.4436645507812,30.8935,1921.37,2488.12,66.5056
68,68,340000,-583.6522216796875,38.1355,2284.14,3162.96,66.7758
69,69,345000,-554.9838256835938,45.2103,2669.28,3486.83,70.7793
70,70,350000,-541.5221557617188,41.1877,1985.3,3287.49,68.0589
71,71,355000,-613.1668090820312,44.3219,2372.25,3323.8,69.4326
72,72,360000,-590.2102661132812,37.7581,2520.49,3285.93,65.306
73,73,365000,-719.141357421875,32.3677,2069.03,3339.88,66.2197
74,74,370000,-614.6649169921875,45.7962,2507.48,3434.83,68.2797
75,75,375000,-613.61669921875,47.8815,2885.03,3605.43,69.3757
76,76,380000,-696.7694702148438,38.1212,2325.9,2587.08,68.2628
77,77,385000,-608.9031372070312,49.2513,2211.47,3203.17,73.8902
78,78,390000,-612.5272216796875,42.4332,2454.32,3149.85,68.8528
79,79,395000,-779.5071411132812,34.3081,2758.23,2852.21,66.183
80,80,400000,-659.1788330078125,44.8492,2539.27,3500.49,68.7041
81,81,405000,-714.1094360351562,46.0463,3002.29,3794.07,68.8548
82,82,410000,-725.8898315429688,44.0911,2931.66,3505.99,69.7167
83,83,415000,-865.4110717773438,32.4203,2555.21,3382.58,66.5711
84,84,420000,-817.9092407226562,37.4467,2038.61,2997.1,68.5144
85,85,425000,-772.2835083007812,52.5087,3319.55,3868.37,72.9103
86,86,430000,-874.738037109375,34.2348,2522.74,3229.11,67.4916
87,87,435000,-727.4149169921875,48.1727,3149.15,4127.46,69.8703
88,88,440000,-803.79345703125,52.0705,2795.02,3215.19,77.3346
89,89,445000,-796.71435546875,42.1682,1703.14,2576.34,68.2213
90,90,450000,-778.2562255859375,47.4634,3316.11,4119.06,70.5898
91,91,455000,-843.2674560546875,48.4101,3588.29,4393.02,70.2568
92,92,460000,-761.2097778320312,54.3785,3381.37,4426.86,73.493
93,93,465000,-889.5050048828125,41.7691,2386.93,3353.43,68.4503
94,94,470000,-822.0084838867188,58.9547,3622.26,4056.77,79.6895
95,95,475000,-920.8997192382812,49.7992,3774.77,4533.6,69.6562
96,96,480000,-946.5029296875,48.7395,2931.51,4258.66,70.1865
97,97,485000,-843.96435546875,58.569,3716.94,4621.15,77.9067
98,98,490000,-981.0202026367188,60.0102,1759.76,3872.33,73.5087
99,99,495000,-957.8285522460938,59.9933,3921.73,4586.87,73.7768
100,100,500000,-962.520263671875,73.861,3331.34,4761.79,77.2546
101,101,505000,-934.7460327148438,65.3275,3970.2,4771.43,78.2192
102,102,510000,-970.8314208984375,52.6449,4172.61,4491.07,71.7345
103,103,515000,-1054.3843994140625,73.8489,2812.07,3962.42,79.4459
104,104,520000,-1037.1046142578125,60.8471,3826.93,4469.76,74.4933
105,105,525000,-1029.2137451171875,63.7627,3908.24,4887.73,77.5177
106,106,530000,-1032.94580078125,60.0002,3551.67,3936.61,73.3203
107,107,535000,-1044.632568359375,62.9056,4021.18,4890.85,75.467
108,108,540000,-1036.4173583984375,69.1557,4439.41,5149.87,78.9795
109,109,545000,-1095.9722900390625,60.7385,4229.39,4688.88,75.1648
110,110,550000,-1239.8626708984375,48.0521,3392.11,2698.32,70.3064
111,111,555000,-1143.7979736328125,65.4356,3145.37,4035.71,76.1335
112,112,560000,-1136.490478515625,80.4295,2912.47,3751.73,85.6181
113,113,565000,-1259.3526611328125,53.3607,3759.71,4697.32,70.3523
114,114,570000,-1283.2325439453125,64.9706,3971.28,4509.9,74.6494
115,115,575000,-1280.5506591796875,59.7491,3705.75,4628.73,74.5204
116,116,580000,-1315.119873046875,45.4828,3913.32,4677.81,68.8963
117,117,585000,-1331.2044677734375,59.7015,3893.12,4200.97,77.7285
118,118,590000,-1341.2022705078125,57.637,4150.37,5179.93,73.0548
119,119,595000,-1312.43798828125,60.7256,3908.87,4621.21,74.5728
120,120,600000,-1394.8192138671875,60.9225,3393.02,4855.56,74.9661
121,121,605000,-1405.1246337890625,55.8238,3915.51,4836.64,71.9847
122,122,610000,-1453.885498046875,54.8728,3186.86,3817.28,71.8
123,123,615000,-1459.46142578125,52.3076,2327.63,3931.49,71.2267
124,124,620000,-1491.963623046875,73.7366,4239.91,4968.64,84.5111
125,125,625000,-1550.5504150390625,59.1029,4181.01,4748.11,74.0464
126,126,630000,-1525.142578125,61.2114,3840.75,4556.28,72.8401
127,127,635000,-1540.859619140625,69.7914,3829.77,4860.56,80.9863
128,128,640000,-1591.8299560546875,66.7387,2484.15,3998.54,75.1085
129,129,645000,-1619.275390625,56.1557,4127.33,4810.22,71.8563
130,130,650000,-1617.2542724609375,73.0449,3668.33,5059.35,81.5165
131,131,655000,-1574.900146484375,57.205,4126.52,4242.89,75.5229
132,132,660000,-1628.7064208984375,55.4346,4254.96,4541.55,72.0944
133,133,665000,-1693.694091796875,69.8725,3514.03,5077.04,77.4447
134,134,670000,-1661.71728515625,58.7423,4529.67,5175.96,75.2592
135,135,675000,-1704.4249267578125,70.3548,3943.12,5067.67,79.3161
136,136,680000,-1770.09033203125,68.4755,4073.17,4977.7,75.1327
137,137,685000,-1729.2017822265625,55.8342,3827.4,4845.0,73.0878
138,138,690000,-1843.12744140625,75.2703,3818.61,4448.08,78.3401
139,139,695000,-1784.0821533203125,69.0313,4266.66,4899.39,79.3491
140,140,700000,-1854.407470703125,62.7168,4477.09,4818.16,77.4439
141,141,705000,-1894.1287841796875,67.5025,3919.35,4260.12,78.1938
142,142,710000,-1959.0262451171875,58.4665,3416.85,4859.98,75.9307
143,143,715000,-1979.2620849609375,64.914,4505.45,4909.53,74.1341
144,144,720000,-1959.75927734375,51.8217,3532.15,5121.57,69.9764
145,145,725000,-1968.1273193359375,75.9359,3833.44,4802.57,80.0735
146,146,730000,-2098.705810546875,65.6579,4421.26,5271.5,79.2573
147,147,735000,-2091.723876953125,72.0431,3948.83,4705.42,78.1011
148,148,740000,-2103.02880859375,69.3374,3634.02,3612.73,74.0527
149,149,745000,-2117.83349609375,69.3966,4144.5,4703.82,79.1755
150,150,750000,-2153.94873046875,74.9854,4314.42,4778.09,78.8809
151,151,755000,-2282.1357421875,83.5447,3644.49,4776.73,83.8387
152,152,760000,-2318.428955078125,83.9682,3945.42,4425.64,84.553
153,153,765000,-2292.892822265625,78.502,4696.98,5138.98,79.3809
154,154,770000,-2385.152587890625,65.2639,3735.92,4804.93,78.4507
155,155,775000,-2339.005615234375,65.5575,3955.82,5385.92,74.782
156,156,780000,-2455.0810546875,74.9473,4130.34,4985.67,82.3215
157,157,785000,-2490.486328125,70.275,3921.51,4638.45,76.7401
158,158,790000,-2385.099365234375,62.8068,2214.73,5263.76,73.2845
159,159,795000,-2574.039306640625,73.6941,4749.67,5058.63,82.5133
160,160,800000,-2574.33056640625,74.0666,3856.15,4713.89,76.4709
161,161,805000,-2610.418701171875,83.1464,4042.25,5033.26,83.3884
162,162,810000,-2603.55126953125,61.6469,4178.57,5238.86,72.4816
163,163,815000,-2602.880859375,70.1355,3539.23,5016.25,75.8344
164,164,820000,-2791.162109375,76.9195,4007.1,5317.74,85.2012
165,165,825000,-2754.653564453125,78.5362,4217.1,4681.96,82.0553
166,166,830000,-2831.04736328125,80.3996,4311.85,4882.59,82.2804
167,167,835000,-2840.63525390625,71.3281,3937.96,4779.58,76.1839
168,168,840000,-2957.3173828125,79.8649,4825.99,5145.91,84.6244
169,169,845000,-3007.849609375,77.4059,4019.28,5087.48,83.6586
170,170,850000,-2979.486328125,70.1551,3712.05,4553.08,77.7775
171,171,855000,-3047.077392578125,77.2008,4717.67,4953.14,77.2937
172,172,860000,-3101.915771484375,70.362,3354.1,4964.47,75.729
173,173,865000,-3135.28076171875,76.0917,3966.6,4963.65,78.3947
174,174,870000,-3031.626220703125,62.2226,4388.28,4294.3,73.3088
175,175,875000,-3151.576904296875,72.8337,3801.68,5117.66,79.5748
176,176,880000,-3276.26904296875,82.919,4789.16,5299.36,85.6667
