Running Reverse KL,Real Det Return,Running Env Steps,Real Sto Return,Itration,Running Update Time,Running Forward KL,Reward Loss
21.0119,4931.84,1885000,4864.93,377,377,42.8602,-3756.63330078125
21.5924,4928.47,1890000,4696.63,378,378,43.629,-3832.018310546875
22.2223,4896.21,1895000,4861.9,379,379,43.1078,-3836.10693359375
21.4831,4983.38,1900000,4878.74,380,380,43.689,-3877.13916015625
21.4276,4976.12,1905000,4718.03,381,381,43.1616,-3942.83349609375
21.8351,4981.89,1910000,4852.51,382,382,42.8691,-3989.330322265625
21.6452,4992.0,1915000,4901.06,383,383,43.293,-3956.8251953125
21.0481,4974.38,1920000,4880.39,384,384,43.1764,-3966.884765625
20.9286,4979.63,1925000,4879.55,385,385,42.7496,-3916.131103515625
21.151,4981.11,1930000,4905.51,386,386,42.9749,-3977.085693359375
21.9806,4995.75,1935000,4881.82,387,387,43.244,-4148.65673828125
21.9875,4991.77,1940000,4911.86,388,388,43.2649,-4096.35400390625
21.2455,4630.02,1945000,4670.78,389,389,42.8244,-4046.864990234375
21.0797,4824.97,1950000,4862.89,390,390,43.0813,-4093.7880859375
22.4706,4916.74,1955000,4854.46,391,391,43.3338,-4201.5556640625
22.4659,4786.43,1960000,4905.91,392,392,43.3662,-4148.29150390625
22.2386,4994.22,1965000,4914.81,393,393,43.3924,-4238.83349609375
20.9568,3949.26,1970000,4831.11,394,394,42.8384,-4137.82861328125
21.338,4865.08,1975000,4798.16,395,395,42.3048,-4209.94921875
21.4603,4922.07,1980000,4852.73,396,396,43.6781,-4273.39013671875
21.7981,4856.4,1985000,4842.99,397,397,43.2064,-4290.169921875
21.4206,4857.86,1990000,4888.02,398,398,42.942,-4337.880859375
22.1529,5016.97,1995000,4902.21,399,399,43.1476,-4429.7822265625
21.2987,4934.17,2000000,4872.61,400,400,43.0745,-4395.08935546875
21.2858,4929.95,2005000,4865.06,401,401,42.8342,-4425.359375
20.9503,4965.63,2010000,4855.85,402,402,43.6346,-4569.69287109375
20.7607,4839.99,2015000,4814.7,403,403,42.6568,-4457.78564453125
22.0295,4893.49,2020000,4850.87,404,404,43.8632,-4555.35498046875
21.3023,4918.39,2025000,4858.73,405,405,43.3539,-4578.93505859375
21.2699,4797.79,2030000,4726.18,406,406,43.6847,-4552.091796875
21.2383,4931.5,2035000,4668.82,407,407,42.9441,-4611.57958984375
22.0279,4705.52,2040000,4855.68,408,408,43.9978,-4727.5361328125
21.6092,4896.74,2045000,4822.6,409,409,43.2674,-4662.95703125
21.2677,4918.04,2050000,4867.83,410,410,42.9988,-4649.828125
21.7877,4961.22,2055000,4853.38,411,411,43.6464,-4773.24658203125
21.2192,4910.67,2060000,4837.45,412,412,42.9924,-4741.48095703125
21.1185,4958.35,2065000,4868.34,413,413,42.4929,-4727.6494140625
21.3944,4921.12,2070000,4837.56,414,414,43.3431,-4811.71435546875
20.9458,4402.98,2075000,4797.21,415,415,43.5341,-4766.572265625
20.5057,4814.51,2080000,4757.98,416,416,42.5082,-4874.3251953125
