Real Det Return,Running Forward KL,Running Env Steps,Reward Loss,Real Sto Return,Running Update Time,Running Reverse KL,Itration
249.79,31.916,0,404.6311950683594,237.81,0,18.9263,0
231.94,30.5961,5000,351.3367004394531,249.49,1,17.0462,1
47.49,29.6302,10000,756.9872436523438,202.6,2,17.7761,2
280.23,27.8789,15000,335.81988525390625,338.61,3,14.0795,3
283.17,28.6877,20000,330.6831970214844,301.93,4,13.8725,4
324.96,27.7179,25000,327.7210388183594,338.33,5,17.6869,5
356.45,29.5348,30000,172.06385803222656,351.32,6,18.6363,6
390.65,27.8285,35000,168.81808471679688,392.04,7,16.6827,7
395.75,28.6828,40000,246.61846923828125,418.33,8,25.3782,8
407.84,27.5805,45000,104.20953369140625,391.67,9,17.642,9
409.63,27.8889,50000,102.94406127929688,401.0,10,22.5096,10
452.77,27.181,55000,146.67800903320312,436.99,11,38.3573,11
490.22,27.4375,60000,113.22775268554688,463.09,12,42.0755,12
483.55,27.29,65000,149.7008056640625,450.23,13,16.5801,13
490.58,27.6143,70000,78.43721771240234,502.31,14,17.4827,14
365.19,27.9234,75000,-55.37957763671875,396.04,15,32.9094,15
494.07,27.6843,80000,42.61211013793945,521.43,16,21.1429,16
511.89,27.6086,85000,-96.99359130859375,525.82,17,21.389,17
542.29,27.1363,90000,-113.23641204833984,550.41,18,23.3604,18
586.88,27.1937,95000,-61.23095703125,573.92,19,39.0941,19
649.38,27.479,100000,-226.21595764160156,642.62,20,101.2592,20
495.19,27.5924,105000,-343.61309814453125,516.95,21,53.6233,21
529.63,27.8574,110000,-437.02838134765625,515.88,22,51.0901,22
653.51,27.5919,115000,-556.0358276367188,615.54,23,54.8798,23
216.36,30.9248,120000,-357.0972900390625,301.17,24,48.0637,24
645.52,32.462,125000,-652.3714599609375,617.61,25,16.7873,25
254.87,32.3558,130000,-474.468994140625,252.52,26,25.8814,26
1038.04,32.4179,135000,-789.1996459960938,1027.33,27,21.3849,27
380.55,31.6894,140000,-765.4107666015625,385.83,28,30.8046,28
1028.8,34.5538,145000,-896.8895874023438,1029.82,29,20.5591,29
1039.03,34.7135,150000,-936.9761962890625,1041.02,30,23.6343,30
1021.2,35.5124,155000,-981.3897705078125,1022.39,31,26.831,31
543.88,28.5279,160000,-962.9281616210938,555.58,32,41.0079,32
1013.48,37.1958,165000,-1119.617919921875,1013.88,33,36.4729,33
1055.36,37.0636,170000,-1160.197998046875,1056.41,34,36.0748,34
995.0,40.1672,175000,-1198.7171630859375,994.75,35,48.7654,35
1031.31,37.2788,180000,-1194.049072265625,1032.83,36,24.2232,36
25.51,37.1717,185000,-1336.2545166015625,24.16,37,131.8409,37
1045.76,37.4575,190000,-1355.568115234375,1047.86,38,35.5673,38
1017.94,38.7346,195000,-1401.4432373046875,1017.45,39,35.5837,39
1019.52,38.4174,200000,-1457.9967041015625,1017.51,40,31.8191,40
311.26,30.6602,205000,-1260.3336181640625,449.74,41,24.0171,41
294.01,30.0965,210000,-1054.62646484375,292.92,42,23.5221,42
1017.17,36.6501,215000,-1602.6182861328125,1018.22,43,34.55,43
1011.3,40.1676,220000,-1693.735595703125,1011.28,44,32.2744,44
1003.16,37.4337,225000,-1725.6978759765625,1003.05,45,39.4596,45
460.21,27.5813,230000,-1353.052490234375,477.4,46,30.6851,46
480.3,27.3826,235000,-849.1396484375,467.4,47,18.1856,47
538.74,27.7588,240000,-1265.4388427734375,574.86,48,16.1348,48
496.88,26.8348,245000,-824.4512329101562,509.19,49,13.6442,49
612.35,26.1003,250000,-1261.25244140625,580.91,50,16.915,50
538.66,27.2577,255000,-1730.08544921875,549.92,51,26.2154,51
611.85,26.8279,260000,-1354.9940185546875,593.05,52,16.9441,52
588.48,26.591,265000,-988.9923095703125,602.7,53,12.2898,53
629.11,26.8426,270000,-1585.294189453125,639.13,54,15.8183,54
624.21,25.9233,275000,-1770.80419921875,634.07,55,19.8928,55
670.14,26.4684,280000,-1432.8446044921875,649.11,56,14.3662,56
666.77,27.2616,285000,-2181.711669921875,643.62,57,35.1201,57
648.75,25.8694,290000,-2067.69091796875,643.3,58,40.2335,58
698.44,26.2366,295000,-2091.680908203125,692.05,59,56.9649,59
680.37,26.4609,300000,-2156.277099609375,664.19,60,48.6554,60
646.57,26.5613,305000,-2231.3603515625,643.82,61,68.2003,61
681.47,26.1746,310000,-2202.07763671875,683.41,62,38.2438,62
683.44,27.0803,315000,-2316.8447265625,673.2,63,33.2424,63
691.14,26.4836,320000,-2100.500732421875,702.38,64,23.3376,64
698.34,26.3966,325000,-2430.741943359375,700.08,65,34.7058,65
901.15,25.8765,330000,-2300.000244140625,824.27,66,32.0751,66
838.73,25.7889,335000,-2442.64990234375,803.81,67,33.5429,67
918.95,25.3035,340000,-1958.8392333984375,871.7,68,19.483,68
888.87,25.3852,345000,-2412.698974609375,943.55,69,26.773,69
849.29,24.8864,350000,-2305.070556640625,925.1,70,21.2323,70
881.24,24.1989,355000,-1851.5728759765625,906.06,71,14.821,71
801.15,25.2167,360000,-2210.06884765625,890.29,72,19.2452,72
932.73,24.7258,365000,-2017.9935302734375,970.08,73,15.3416,73
1503.37,24.5944,370000,-1866.9654541015625,1294.51,74,19.0006,74
1417.65,23.9784,375000,-1778.5826416015625,1683.58,75,18.136,75
2177.19,25.1613,380000,-2032.091796875,1145.67,76,21.2457,76
2706.39,24.1234,385000,-1515.4520263671875,1871.37,77,17.0388,77
2709.63,24.7283,390000,-658.8446044921875,2200.54,78,14.707,78
2843.82,24.5074,395000,-907.0125122070312,2576.43,79,15.184,79
1782.95,24.4043,400000,-1575.29052734375,1839.91,80,16.7014,80
