Itration,Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return
0,28.7051,76.4518,363.99,-72.16
1,27.2499,74.1447,650.5,-30.46
2,28.4837,73.67,759.8,10.39
3,30.7369,73.1929,704.45,34.92
4,30.1972,73.0367,710.62,75.58
5,30.1114,73.7893,575.17,79.05
6,32.3756,72.485,650.87,110.82
7,31.6269,71.9412,666.01,135.21
8,32.9615,71.2074,700.95,166.62
9,31.6056,71.577,730.25,146.07
10,31.1708,70.1542,819.66,206.02
11,30.9905,69.0671,897.39,213.72
12,30.5761,66.9199,702.38,195.61
13,31.389,67.8507,861.49,183.37
14,32.231,68.6385,550.06,261.11
15,30.3386,68.1067,591.39,168.47
16,30.2489,65.6532,806.13,221.56
17,29.3777,65.3141,797.63,346.0
18,31.7999,68.2148,592.95,235.53
19,29.7902,65.2995,788.61,293.83
20,30.4681,66.9141,808.34,194.26
21,31.0624,68.7609,862.44,267.36
22,30.2946,66.8964,898.03,223.85
23,29.1603,64.0926,842.95,221.66
24,29.4731,65.503,913.14,207.25
25,29.7139,65.8452,1035.35,246.4
26,30.3478,65.7616,842.3,265.76
27,28.7907,64.3186,1047.58,298.07
28,28.112,61.0201,1004.51,232.74
29,27.9627,63.1269,828.45,271.31
30,30.3824,68.6729,723.43,237.53
31,28.5834,63.8128,821.93,274.09
32,29.5723,66.6994,824.02,232.62
33,28.0684,62.7886,941.42,266.28
34,28.9656,64.6588,1025.05,317.84
35,26.8192,60.0406,1140.12,291.4
36,29.1648,65.004,758.85,397.2
37,27.6048,61.4254,954.91,301.39
38,25.5283,56.6787,941.69,437.84
39,27.169,60.4694,1078.56,345.36
40,28.0913,61.7767,1318.01,444.24
41,25.5658,56.0811,1121.44,684.86
42,26.863,58.4175,1409.88,672.78
43,24.0928,54.16,1364.73,585.56
44,28.4974,62.7212,1134.22,707.67
45,24.9741,56.264,1420.91,451.06
46,25.2255,56.4728,1450.33,795.34
47,23.1192,53.5087,1396.03,523.92
48,24.7509,55.9561,1256.6,687.8
49,24.8051,56.2976,1405.06,549.34
50,24.1811,54.7996,1180.13,937.12
51,21.5713,51.2197,1135.8,616.05
52,23.1211,54.3099,1320.35,711.33
53,20.9385,51.6397,1771.99,918.87
54,25.6604,59.5849,1016.08,583.27
55,22.5195,53.4733,1652.92,889.8
56,20.5362,49.0507,1812.86,1188.34
57,24.1773,57.106,990.09,657.4
58,24.5944,56.9101,1501.39,701.11
59,21.2216,52.9894,1430.96,786.11
60,17.9287,48.9042,1516.35,682.27
61,18.3653,48.1388,1327.89,999.44
