Running Forward KL,Real Sto Return,Running Update Time,Itration,Reward Loss,Real Det Return,Running Reverse KL,Running Env Steps
466.2038,322.85,0,0,-1238.10986328125,305.06,323.5361,0
454.3975,346.96,1,1,-1392.175048828125,343.82,293.787,5000
439.3534,358.63,2,2,-1253.8192138671875,294.15,268.8993,10000
439.1122,414.61,3,3,-1413.3372802734375,300.07,248.5925,15000
426.9062,409.14,4,4,-1368.7017822265625,303.76,245.7559,20000
446.1485,436.59,5,5,-1646.0635986328125,283.25,253.9039,25000
446.3001,425.05,6,6,-1955.39599609375,422.48,231.3481,30000
426.0337,513.75,7,7,-2313.65380859375,588.43,254.3763,35000
433.804,405.53,8,8,-2352.12060546875,369.64,261.0885,40000
433.8045,464.02,9,9,-2885.789794921875,514.19,262.1741,45000
428.7683,519.27,10,10,-2756.105224609375,459.04,256.988,50000
422.1404,523.84,11,11,-2490.147705078125,461.03,237.5283,55000
429.1221,460.71,12,12,-3074.74658203125,377.2,261.9641,60000
