Real Det Return,Running Forward KL,Running Env Steps,Reward Loss,Real Sto Return,Itration,Running Reverse KL,Running Update Time
180.99,75.888,0,88.40773010253906,-41.65,0,26.6057,0
244.53,75.2436,5000,1.2750152349472046,-115.08,1,26.7355,1
322.11,73.3754,10000,-73.47953033447266,-64.42,2,25.3977,2
222.96,73.4533,15000,-123.65901184082031,-3.71,3,27.2174,3
394.03,73.9604,20000,-194.0306396484375,-8.77,4,27.0365,4
367.46,73.4045,25000,-242.1036376953125,-15.96,5,28.3531,5
377.26,68.139,30000,-306.7915344238281,-3.68,6,26.8899,6
549.81,73.308,35000,-388.3348693847656,13.42,7,28.8707,7
533.44,70.3163,40000,-428.179931640625,89.87,8,28.343,8
693.06,72.335,45000,-516.31787109375,69.03,9,28.9399,9
600.04,71.6521,50000,-554.996826171875,112.71,10,28.7148,10
544.68,70.8162,55000,-614.1451416015625,93.31,11,29.1796,11
719.44,70.6115,60000,-701.0969848632812,117.05,12,29.8993,12
581.84,67.1236,65000,-727.0059204101562,166.48,13,27.7352,13
766.89,68.374,70000,-784.68505859375,102.26,14,27.3345,14
843.73,67.0864,75000,-842.7998657226562,205.9,15,27.7231,15
912.94,68.9663,80000,-928.3355712890625,141.81,16,29.1044,16
833.87,70.8703,85000,-981.9494018554688,162.15,17,29.6886,17
909.87,72.3435,90000,-1074.992919921875,153.14,18,29.556,18
727.12,71.3692,95000,-1122.1756591796875,137.7,19,30.4315,19
759.1,70.5611,100000,-1184.045654296875,170.91,20,29.5625,20
861.59,67.2916,105000,-1232.574951171875,144.6,21,28.2019,21
646.26,68.3389,110000,-1287.201904296875,210.47,22,28.8778,22
750.93,69.34,115000,-1380.779052734375,163.69,23,29.3464,23
897.55,67.7407,120000,-1421.1353759765625,170.94,24,28.8998,24
884.31,68.848,125000,-1496.0067138671875,176.69,25,28.7233,25
814.12,68.7701,130000,-1552.7794189453125,148.77,26,28.8321,26
823.16,68.2731,135000,-1627.788818359375,187.16,27,29.1955,27
737.23,66.5527,140000,-1659.117919921875,203.41,28,29.2715,28
955.83,70.6844,145000,-1757.0740966796875,200.73,29,29.4261,29
819.57,68.0278,150000,-1794.5028076171875,211.71,30,28.6156,30
800.57,68.0863,155000,-1883.1732177734375,293.29,31,29.2481,31
873.63,67.7435,160000,-1935.5626220703125,266.05,32,28.3396,32
945.68,66.7304,165000,-2005.00927734375,247.26,33,28.3628,33
869.88,67.2897,170000,-2038.468017578125,216.51,34,29.0369,34
911.31,66.9658,175000,-2103.295166015625,274.61,35,28.601,35
897.04,69.5892,180000,-2257.935546875,178.29,36,30.1409,36
793.39,68.5826,185000,-2306.39208984375,211.95,37,29.8397,37
713.7,69.0214,190000,-2366.98681640625,245.87,38,29.5291,38
915.33,64.297,195000,-2362.7099609375,285.62,39,28.5454,39
977.28,64.0732,200000,-2308.683349609375,352.29,40,27.4283,40
634.18,64.9537,205000,-2454.70849609375,318.14,41,27.4375,41
986.2,64.9306,210000,-2568.516357421875,356.63,42,29.1334,42
869.7,65.1726,215000,-2663.892822265625,329.39,43,28.7167,43
997.2,64.0776,220000,-2681.07373046875,234.81,44,27.7784,44
953.45,67.1577,225000,-2832.814208984375,289.37,45,30.1549,45
932.4,66.4661,230000,-2900.10595703125,284.71,46,28.6967,46
905.04,65.271,235000,-2952.14208984375,280.92,47,28.2739,47
781.67,62.5457,240000,-2942.222900390625,322.7,48,27.4963,48
892.75,66.3233,245000,-3109.9521484375,297.39,49,29.1067,49
758.66,66.9937,250000,-3203.15625,327.89,50,28.5487,50
975.22,69.0136,255000,-3353.56982421875,248.21,51,29.5328,51
1074.01,66.1201,260000,-3351.09765625,360.69,52,29.3643,52
921.56,66.0985,265000,-3398.987548828125,314.34,53,28.7763,53
918.21,66.0488,270000,-3509.751953125,325.51,54,28.8932,54
945.08,64.3063,275000,-3521.561279296875,240.56,55,28.1702,55
788.65,67.6332,280000,-3706.025634765625,390.01,56,28.8348,56
955.29,65.335,285000,-3729.832275390625,334.66,57,29.0012,57
914.56,65.9908,290000,-3816.1650390625,365.09,58,28.6314,58
1043.68,64.4164,295000,-3814.442138671875,389.6,59,28.0192,59
918.45,62.9763,300000,-3873.96337890625,330.88,60,27.2948,60
826.86,62.0553,305000,-3787.2255859375,381.35,61,27.1065,61
940.87,64.1672,310000,-4078.1162109375,410.77,62,28.5033,62
951.32,62.2877,315000,-4153.38525390625,367.42,63,27.9323,63
741.33,62.5993,320000,-4190.98291015625,426.07,64,27.523,64
1006.93,62.7741,325000,-4300.91015625,342.54,65,27.6953,65
946.66,61.7303,330000,-4392.78759765625,268.86,66,27.8035,66
869.34,63.558,335000,-4538.12109375,332.33,67,28.7006,67
1047.58,61.5678,340000,-4476.88037109375,464.82,68,26.4255,68
729.87,56.543,345000,-4262.2451171875,503.5,69,24.6206,69
963.35,62.7952,350000,-4738.90234375,442.87,70,27.7316,70
1276.28,59.3229,355000,-4657.4228515625,546.12,71,26.3618,71
932.41,62.1438,360000,-4930.97119140625,430.63,72,27.5367,72
911.01,67.4537,365000,-5277.37890625,368.48,73,29.8725,73
1171.46,61.8675,370000,-5073.177734375,624.95,74,27.6444,74
1289.39,56.0858,375000,-4674.59912109375,604.16,75,23.9965,75
1524.14,55.7289,380000,-4582.97216796875,781.8,76,23.9824,76
1364.42,58.0635,385000,-5038.73828125,522.09,77,24.8232,77
1250.89,62.5306,390000,-5468.4853515625,559.95,78,27.9696,78
1317.54,57.7358,395000,-5106.0419921875,659.81,79,25.0682,79
1018.01,58.3895,400000,-5350.2119140625,430.17,80,25.7036,80
1305.89,61.9395,405000,-5822.07666015625,560.66,81,27.7276,81
1311.02,55.7491,410000,-5258.47265625,616.09,82,23.6163,82
1072.58,58.35,415000,-5610.81689453125,400.63,83,25.135,83
935.19,59.4471,420000,-5944.81396484375,543.82,84,26.2877,84
1223.82,55.9198,425000,-5473.92431640625,437.03,85,24.2663,85
1058.84,58.8501,430000,-5988.57373046875,403.47,86,26.1653,86
1006.01,54.2768,435000,-5687.4248046875,663.45,87,22.8814,87
