Reward Loss,Running Forward KL,Running Reverse KL,Running Env Steps,Itration,Running Update Time,Real Det Return,Real Sto Return
-35.76310729980469,75.904,26.0329,0,0,0,226.07,-74.13
-54.69572067260742,75.3895,25.8632,5000,1,1,396.78,-107.03
-72.2853012084961,75.5167,27.9691,10000,2,2,405.38,-51.57
-80.58793640136719,73.5287,27.5693,15000,3,3,581.64,-6.45
-95.3113021850586,73.8769,29.0665,20000,4,4,479.53,11.47
-106.16067504882812,72.6529,29.0085,25000,5,5,768.31,54.79
-127.25089263916016,73.9451,29.528,30000,6,6,645.81,112.05
-135.9253692626953,72.5201,29.1919,35000,7,7,410.49,78.07
-144.3966064453125,71.4944,29.9067,40000,8,8,589.87,163.96
-156.6284942626953,71.3324,29.908,45000,9,9,590.56,164.43
-171.6996612548828,71.5798,30.7896,50000,10,10,951.56,157.59
-190.00784301757812,73.4203,31.082,55000,11,11,728.24,192.95
-205.1946258544922,73.7389,31.8514,60000,12,12,598.73,152.6
-212.19996643066406,71.9242,30.4332,65000,13,13,680.32,191.29
-225.1585235595703,70.5209,30.8103,70000,14,14,946.2,327.65
-229.64938354492188,69.4139,28.818,75000,15,15,824.66,165.99
-247.2733612060547,69.4283,29.5118,80000,16,16,834.26,267.53
-258.8314514160156,70.1301,30.8048,85000,17,17,1073.71,330.63
-276.8539733886719,73.0075,31.7418,90000,18,18,284.88,43.36
-298.7197570800781,75.8741,33.3787,95000,19,19,34.19,-18.52
-307.76519775390625,74.8879,31.9575,100000,20,20,425.53,-62.95
-300.064697265625,76.338,47.3354,105000,21,21,52.35,-110.07
-351.9739990234375,73.9577,38.885,110000,22,22,17.04,-118.44
-363.37060546875,74.8992,33.5669,115000,23,23,251.92,2.83
-353.5958251953125,71.9912,27.9658,120000,24,24,202.26,-36.74
