Reward Loss,Running Env Steps,Running Reverse KL,Real Det Return,Running Forward KL,Real Sto Return,Itration,Running Update Time
-717.32080078125,0,260.9575,390.85,441.4488,346.69,0,0
-675.7022094726562,5000,285.3364,292.37,442.5932,314.3,1,1
-1403.80419921875,10000,234.8762,422.91,407.1443,393.17,2,2
-1437.56640625,15000,260.546,400.47,432.7474,416.82,3,3
-1696.462890625,20000,270.3585,445.15,408.77,402.59,4,4
-1484.1512451171875,25000,251.6944,432.28,425.3602,436.62,5,5
-1330.9261474609375,30000,270.9327,357.47,421.0178,395.0,6,6
-2035.67333984375,35000,256.119,372.12,404.2114,450.71,7,7
-2365.292236328125,40000,267.3214,461.42,420.4213,418.12,8,8
-2492.108154296875,45000,268.4585,481.76,420.8639,527.88,9,9
-2665.519287109375,50000,254.893,506.8,403.505,510.08,10,10
-2926.684326171875,55000,274.4663,537.26,396.9038,499.83,11,11
-3039.1962890625,60000,259.877,659.12,411.8828,564.96,12,12
-3133.58154296875,65000,269.5957,462.67,405.2977,456.04,13,13
-3363.860107421875,70000,260.4898,525.83,398.6832,524.07,14,14
-4167.99169921875,75000,316.865,540.25,395.6199,517.52,15,15
-4189.7060546875,80000,289.4552,546.09,403.2333,542.59,16,16
-4148.62646484375,85000,278.7094,547.67,398.4582,564.36,17,17
-4530.1845703125,90000,305.7614,599.6,382.8762,493.44,18,18
-4421.189453125,95000,265.819,573.18,387.258,569.74,19,19
-4362.484375,100000,254.9515,558.18,380.448,579.12,20,20
-4647.6728515625,105000,248.7137,514.14,374.6938,600.48,21,21
-4858.7177734375,110000,257.0318,543.0,380.7738,560.5,22,22
-5412.34423828125,115000,275.168,542.25,372.5113,602.13,23,23
-5582.45556640625,120000,268.266,555.22,384.5365,575.16,24,24
-5220.18310546875,125000,247.8787,434.67,387.3575,522.83,25,25
-5178.28173828125,130000,252.7364,471.16,387.0863,477.03,26,26
-5957.509765625,135000,256.3896,470.55,384.0024,517.9,27,27
-6157.6708984375,140000,248.1378,581.49,371.751,589.1,28,28
-6175.9111328125,145000,262.7528,560.83,374.1187,640.13,29,29
-6641.02490234375,150000,257.9938,557.83,367.9604,566.88,30,30
-7093.0224609375,155000,291.0332,576.94,372.2806,647.5,31,31
-7239.20263671875,160000,263.8338,570.31,361.3227,623.83,32,32
-7351.765625,165000,264.7559,603.52,346.7018,707.1,33,33
-7739.13037109375,170000,256.7106,601.94,339.8968,718.5,34,34
-7425.06689453125,175000,247.6782,580.18,352.4498,666.93,35,35
-6994.11962890625,180000,239.7335,606.54,328.5737,763.97,36,36
