Reward Loss,Running Env Steps,Real Det Return,Running Update Time,Itration,Running Reverse KL,Real Sto Return,Running Forward KL
201.52920532226562,0,7.93,0,0,11.6588,-199.05,158.5577
167.29859924316406,5000,502.37,1,1,11.9092,-30.55,158.3805
116.14969635009766,10000,866.32,2,2,12.1938,191.22,157.9212
81.5426254272461,15000,904.4,3,3,13.1078,391.59,158.0325
47.73236846923828,20000,914.31,4,4,13.6458,543.26,158.0135
24.305776596069336,25000,948.24,5,5,13.3817,575.58,157.9394
-13.360738754272461,30000,923.49,6,6,14.11,661.03,157.7831
-37.11397171020508,35000,1231.84,7,7,14.6151,808.85,158.027
-66.53118133544922,40000,1312.08,8,8,15.1632,908.88,158.0866
-92.7762222290039,45000,1294.05,9,9,15.4154,981.97,157.9063
-110.1246337890625,50000,1426.81,10,10,15.9787,1011.5,158.2084
-154.2060546875,55000,1588.93,11,11,16.502,1106.07,157.9664
-176.2383270263672,60000,1567.17,12,12,16.7117,1157.63,158.0478
-217.69886779785156,65000,1539.8,13,13,16.5979,1143.11,157.9237
-227.8269805908203,70000,1527.68,14,14,16.3257,1199.99,157.8448
-254.87905883789062,75000,1641.07,15,15,16.4543,1221.46,157.6552
-297.0715026855469,80000,1717.74,16,16,16.3656,1263.41,157.8259
-300.5702819824219,85000,1678.6,17,17,16.1642,1239.73,157.8445
-340.0923767089844,90000,1694.94,18,18,16.2557,1276.9,157.7817
-378.687744140625,95000,1758.69,19,19,16.169,1338.62,157.6542
-407.6855773925781,100000,1765.27,20,20,16.1788,1368.49,157.6465
-435.20062255859375,105000,1780.44,21,21,16.3506,1393.44,157.7344
-470.866943359375,110000,1807.78,22,22,16.3106,1389.58,157.9815
-502.3968200683594,115000,1790.63,23,23,16.4799,1418.42,157.6691
-522.6976928710938,120000,1846.07,24,24,16.4437,1460.2,157.7052
-558.206298828125,125000,1830.6,25,25,16.3993,1473.83,157.9595
-593.0458374023438,130000,1871.47,26,26,16.3297,1495.63,157.8645
-628.0838012695312,135000,1859.34,27,27,16.077,1507.59,157.5956
-670.908203125,140000,1815.5,28,28,15.7653,1471.18,157.8072
-693.2678833007812,145000,1861.02,29,29,16.2074,1521.03,157.6518
-696.76513671875,150000,1897.86,30,30,15.9786,1509.34,157.642
-738.4473266601562,155000,1956.63,31,31,16.2305,1574.74,157.6568
-765.7201538085938,160000,1986.63,32,32,16.5141,1584.8,157.6475
-796.6800537109375,165000,1930.56,33,33,15.9654,1583.6,157.5276
-838.9517822265625,170000,1945.91,34,34,16.0057,1611.09,157.3692
-867.0535888671875,175000,1879.64,35,35,15.977,1567.14,157.571
-892.7595825195312,180000,1964.31,36,36,15.8629,1603.34,157.3667
-931.6631469726562,185000,2024.71,37,37,16.0447,1633.47,157.3891
-953.3330688476562,190000,1978.99,38,38,16.4989,1639.33,157.5765
-989.7852172851562,195000,2028.87,39,39,16.7729,1683.44,157.5434
-1009.7893676757812,200000,1970.36,40,40,16.1319,1655.17,157.3852
-1053.0848388671875,205000,2038.05,41,41,16.1251,1666.15,157.2571
-1078.2987060546875,210000,2008.13,42,42,16.2866,1660.88,157.3373
-1110.16259765625,215000,1931.31,43,43,15.8583,1645.32,157.34
-1136.0621337890625,220000,1958.4,44,44,16.1969,1651.68,157.3348
-1167.8275146484375,225000,1961.29,45,45,16.0637,1663.17,157.2606
-1207.7098388671875,230000,2000.69,46,46,15.9591,1665.93,157.2323
-1237.0394287109375,235000,1987.7,47,47,15.8404,1659.98,157.3016
-1273.92138671875,240000,2020.41,48,48,16.0407,1689.9,157.333
-1302.9111328125,245000,2022.04,49,49,16.1459,1699.56,157.4236
-1319.7615966796875,250000,2051.82,50,50,15.8324,1725.87,156.9572
-1368.39794921875,255000,1977.32,51,51,16.1671,1695.48,157.262
-1382.5885009765625,260000,2096.2,52,52,15.663,1712.3,156.9511
-1434.80517578125,265000,1996.59,53,53,15.9926,1685.8,157.29
-1458.5654296875,270000,2053.43,54,54,16.0288,1706.08,157.1364
-1481.7742919921875,275000,2062.09,55,55,15.6711,1701.31,157.0944
-1521.5125732421875,280000,2007.79,56,56,15.6621,1686.54,157.0787
-1544.45703125,285000,2036.76,57,57,15.7954,1690.83,157.1314
-1569.04638671875,290000,2062.63,58,58,15.6537,1725.8,156.9505
-1608.62548828125,295000,2091.33,59,59,15.8941,1722.07,157.0804
-1640.04296875,300000,2083.77,60,60,16.0324,1758.55,157.0131
-1668.0574951171875,305000,2053.79,61,61,15.85,1720.29,157.1286
-1698.3935546875,310000,2092.39,62,62,15.8029,1736.98,157.1104
-1743.317626953125,315000,2088.16,63,63,15.9695,1761.61,157.1284
-1781.5419921875,320000,2114.86,64,64,15.8447,1784.73,157.0432
-1803.4580078125,325000,2107.18,65,65,15.7103,1750.22,156.9572
-1827.4915771484375,330000,2108.05,66,66,15.9105,1747.35,157.172
-1870.607177734375,335000,2150.15,67,67,15.8603,1754.41,157.0672
-1891.5673828125,340000,2119.08,68,68,15.5817,1719.15,156.9082
-1931.4141845703125,345000,2125.6,69,69,15.7307,1778.41,156.9498
-1954.681884765625,350000,2141.02,70,70,15.9278,1797.15,156.8516
-1983.7269287109375,355000,2101.48,71,71,15.5817,1745.99,156.926
