Running Forward KL,Itration,Reward Loss,Running Update Time,Running Reverse KL,Running Env Steps,Real Det Return,Real Sto Return
33.2427,0,409.576416015625,0,21.2991,0,188.94,180.21
31.4232,1,326.4840393066406,1,28.13,5000,257.04,248.19
25.6866,2,521.6438598632812,2,38.2215,10000,523.52,411.55
30.931,3,689.3534545898438,3,112.6488,15000,288.67,284.72
27.5964,4,456.7219543457031,4,49.1035,20000,361.68,491.61
25.3941,5,231.3289031982422,5,19.2075,25000,1137.59,872.18
25.5505,6,-49.20214080810547,6,44.302,30000,803.91,779.16
24.5217,7,146.4296417236328,7,37.1293,35000,668.79,818.09
30.0115,8,221.85743713378906,8,23.0415,40000,167.48,284.58
28.519,9,346.0415954589844,9,34.4609,45000,530.68,381.95
26.5994,10,-39.63887405395508,10,16.3047,50000,483.78,672.02
27.4019,11,-15.502413749694824,11,32.4003,55000,929.07,883.21
26.3298,12,220.98912048339844,12,31.2872,60000,625.57,688.09
26.4502,13,245.11489868164062,13,27.9168,65000,605.99,623.59
32.7201,14,-274.6054992675781,14,32.1631,70000,112.33,112.86
28.2533,15,44.063472747802734,15,26.3649,75000,272.41,262.28
31.0774,16,-1.964235782623291,16,20.9791,80000,82.71,82.69
38.9707,17,-355.9093933105469,17,39.8349,85000,996.69,994.77
30.8065,18,-333.5833435058594,18,35.3668,90000,607.71,553.59
26.2631,19,-247.72027587890625,19,19.8643,95000,1471.92,1440.0
33.041,20,-327.08026123046875,20,23.2514,100000,24.69,23.73
38.1433,21,-523.13916015625,21,39.6008,105000,1015.16,1015.65
31.0234,22,-96.2520751953125,22,19.2318,110000,839.88,629.22
39.4394,23,-621.9985961914062,23,37.6894,115000,1011.11,1010.46
33.2931,24,-656.693603515625,24,32.5455,120000,1017.99,1046.65
38.4315,25,-713.9557495117188,25,37.2429,125000,1016.92,1017.38
39.6856,26,-756.1244506835938,26,38.4227,130000,1000.06,1000.31
39.4081,27,-799.7822875976562,27,38.0732,135000,1001.45,1001.54
38.5067,28,-868.2402954101562,28,38.2732,140000,1004.26,1003.58
39.5803,29,-908.72119140625,29,33.132,145000,1000.57,999.72
37.8345,30,-954.9385986328125,30,31.6033,150000,1013.25,1012.49
