Real Det Return,Itration,Real Sto Return,Running Forward KL,Running Reverse KL
330.26,0,287.53,36.1104,16.0261
275.99,1,285.9,35.1944,18.5196
395.23,2,385.72,34.4346,63.368
558.04,3,528.23,32.729,27.7951
789.51,4,754.08,32.4212,18.7231
1140.28,5,960.41,31.5381,18.4209
2626.87,6,2410.3,30.1312,15.3072
1247.07,7,1285.47,31.5296,28.6898
2986.84,8,2018.13,30.4517,16.3844
3172.98,9,1480.06,30.8069,18.8661
868.07,10,930.04,31.5393,17.5542
2360.19,11,1175.21,30.5939,17.1442
3200.82,12,2173.11,29.8112,16.1494
3001.35,13,1471.83,30.8815,19.732
1027.52,14,1170.65,31.2902,26.743
2796.5,15,2262.02,30.9749,18.0195
2503.67,16,2785.27,29.5792,15.4223
3250.51,17,2439.92,29.5755,16.3965
3254.99,18,1485.2,31.3887,17.5838
3329.43,19,1489.98,30.4431,17.0987
3223.84,20,3241.93,29.275,16.7687
3297.64,21,2863.27,29.0732,14.9135
3225.73,22,3161.87,29.1686,15.9161
3385.39,23,2580.68,28.6788,15.0809
3238.48,24,3273.51,28.7734,15.6049
3309.4,25,3194.56,28.9644,16.3575
3398.21,26,2636.95,28.689,14.7925
3394.94,27,2890.17,28.2828,13.6622
3356.92,28,2462.26,28.9561,14.8758
3389.32,29,2799.42,29.1553,14.3717
3301.44,30,3314.57,29.7113,17.6745
3343.58,31,3314.04,28.7451,15.2429
3399.69,32,3324.63,28.2135,15.4623
3206.06,33,2365.2,29.0444,14.3672
3298.71,34,3334.64,29.0032,16.8683
3435.34,35,3176.02,28.6723,16.3457
3188.41,36,2379.15,28.936,14.9612
3408.7,37,3303.79,28.7512,15.3903
3361.52,38,3350.79,28.6042,15.8926
3340.28,39,3341.6,28.9992,16.2482
3369.02,40,3363.07,28.5496,16.2954
3412.2,41,3373.07,28.135,16.2848
3367.08,42,3340.89,29.0044,16.4462
3420.78,43,3366.88,28.4854,15.9813
3397.36,44,3382.99,27.8615,15.0626
3356.01,45,3345.95,28.4453,16.3041
3344.31,46,3395.64,28.3995,15.9689
3408.95,47,3132.37,28.6661,16.1232
3398.88,48,3375.34,28.0328,15.4719
3391.63,49,3272.25,27.8431,15.7687
3368.75,50,3404.69,28.3415,15.7018
3383.18,51,3369.09,27.8594,16.5592
3424.33,52,3009.24,28.17,15.2839
3416.33,53,3299.7,28.3419,15.9509
3400.54,54,3256.53,28.0479,15.3285
3402.28,55,3379.13,28.0979,15.3234
3408.88,56,3291.78,27.608,14.8784
3422.1,57,3381.05,28.4248,16.6318
3435.66,58,3406.7,27.3957,15.6213
3467.29,59,3215.23,28.1774,15.2893
3388.54,60,3276.26,27.7927,15.7783
3458.65,61,3124.69,28.2128,15.2522
3408.46,62,3376.41,27.4115,14.9076
3458.8,63,3431.02,27.9395,16.1937
3456.62,64,3421.94,27.6034,15.5649
3402.7,65,3365.22,27.373,15.4191
3448.56,66,3417.25,28.0887,16.3236
3436.56,67,3402.15,27.5486,15.7728
3428.94,68,3389.29,27.0683,15.1441
3463.34,69,3412.08,27.7457,15.632
3447.56,70,3407.45,27.5876,15.7291
3451.28,71,3415.53,26.996,15.0995
3461.61,72,3423.08,27.1815,15.5483
3464.35,73,3420.72,27.8796,15.8134
3455.86,74,3416.92,27.1069,14.7517
3443.38,75,3396.99,27.322,15.0564
3426.48,76,3399.72,27.254,15.613
3487.93,77,3453.44,27.0684,14.552
3434.05,78,3376.82,27.5708,14.94
3449.88,79,3418.82,26.9859,14.7805
3440.72,80,3405.1,27.6772,15.8804
3469.64,81,3437.54,27.4488,15.5818
3447.34,82,3401.04,27.417,15.118
3419.43,83,3387.23,27.5709,15.0747
3458.57,84,3274.53,27.1991,14.6403
3483.57,85,3349.05,27.2093,14.3162
3483.24,86,3461.01,27.3129,14.8349
3470.22,87,3300.38,26.881,15.4419
3446.96,88,3281.29,27.2826,15.487
3479.54,89,3364.88,27.5602,15.4465
3420.97,90,3347.34,26.7332,14.6334
3475.2,91,3330.3,26.9289,14.7707
3414.86,92,3396.1,27.3415,14.9825
3489.24,93,3424.15,27.2496,14.7175
3439.75,94,3386.92,27.2855,15.0601
3447.23,95,3388.71,27.2397,14.9097
3474.36,96,3432.32,27.9137,15.2756
3444.21,97,3371.44,27.402,14.943
3483.91,98,3433.83,27.3978,15.0754
3469.29,99,3430.13,27.0966,14.8517
3446.12,100,3408.5,27.1393,15.4089
3445.81,101,3414.67,27.4734,14.6426
3433.36,102,3414.88,27.3126,15.0857
3453.28,103,3294.06,27.3513,15.0094
3462.35,104,3377.09,27.3411,14.8305
3459.08,105,3227.23,27.6566,17.9577
3482.58,106,3431.14,27.2635,15.2801
3444.02,107,3369.12,26.5806,13.9484
3433.16,108,3392.1,26.6695,14.7129
3395.43,109,3251.44,26.7299,14.2805
3479.2,110,3433.82,27.5485,15.4897
3446.84,111,3392.0,26.8464,14.5469
3462.52,112,3336.32,26.8887,14.6252
3474.79,113,3418.9,27.521,15.0547
3461.59,114,3406.18,26.9872,15.0243
3409.96,115,3366.69,26.071,14.0796
3454.74,116,3318.83,27.2295,15.3476
3464.61,117,3393.72,27.3347,14.757
3458.71,118,3413.4,26.7332,14.5363
3443.67,119,3277.77,26.4661,14.2335
3450.75,120,3396.89,27.1444,14.1102
3460.52,121,3429.04,27.1328,14.5476
3442.57,122,3386.64,27.02,14.5096
3468.02,123,3303.11,27.3626,16.4279
3464.77,124,3376.06,26.9871,15.0582
3451.66,125,3411.32,26.5046,14.2705
3479.0,126,3435.33,26.6069,15.4281
3469.0,127,3206.97,27.034,15.1027
3446.87,128,3296.97,26.7375,13.7941
3456.23,129,3411.62,26.8424,14.5637
3463.37,130,3406.22,27.0838,14.2542
3466.33,131,3176.78,26.8349,14.0488
3448.72,132,3397.78,26.8742,15.0571
3472.27,133,3428.83,27.0596,14.372
3466.74,134,3409.22,27.3885,15.2274
3473.28,135,3354.97,27.0054,15.6605
3453.57,136,3406.12,26.0718,14.0844
3435.91,137,3365.87,26.6541,14.44
3432.93,138,3320.95,26.8679,14.6012
3459.7,139,3422.09,26.6686,14.4523
3445.78,140,3415.96,26.5661,15.3672
3443.56,141,3276.69,26.836,14.214
3473.8,142,3309.56,26.9226,14.6577
3430.17,143,3391.68,25.6827,13.7225
3470.79,144,2905.45,26.9626,13.8057
3463.66,145,3347.83,27.1585,18.282
3458.24,146,3408.75,26.657,14.5679
3471.1,147,3268.95,26.2635,13.9426
3467.68,148,3358.08,27.1118,14.5774
3470.06,149,3090.37,27.1659,15.6087
3444.29,150,3264.02,26.1903,13.7189
3458.85,151,3415.48,26.2578,14.043
3448.5,152,3275.81,26.5908,14.3769
3438.92,153,3260.15,26.748,13.0909
3457.27,154,3337.47,27.2697,15.3318
3458.47,155,3352.3,26.2384,14.2617
3406.87,156,3335.21,26.1498,13.818
3462.01,157,3119.36,26.8829,14.005
3458.86,158,3409.66,26.5726,13.1756
3466.17,159,3420.49,26.412,14.1008
3456.62,160,3423.36,27.17,14.5882
3449.07,161,3299.02,26.3544,13.9382
3424.28,162,3254.82,26.7047,14.2842
3448.25,163,3304.33,26.7346,13.3503
3447.42,164,3305.26,26.9246,13.3364
3449.35,165,3399.95,26.7006,14.3451
3469.59,166,3378.65,26.8183,14.1147
3464.62,167,3303.08,27.0064,13.2481
3456.86,168,3414.19,26.0625,14.0605
3465.26,169,3345.12,26.7936,14.1258
3498.63,170,3200.56,27.1406,21.4107
3438.39,171,3299.26,26.335,13.7394
3466.58,172,3425.09,26.9112,14.2715
3464.23,173,3419.91,26.5277,13.7285
3444.61,174,3331.01,26.4924,13.9831
