Itration,Running Env Steps,Real Det Return,Running Forward KL,Running Update Time,Reward Loss,Running Reverse KL,Real Sto Return
0,0,281.46,438.7055,0,-1475.1005859375,250.5053,314.27
1,5000,296.32,454.0345,1,-1353.2099609375,231.3494,304.01
2,10000,412.39,426.6581,2,-1580.5216064453125,244.3872,352.26
3,15000,357.07,417.3891,3,-1097.6678466796875,252.1958,433.09
4,20000,366.14,425.0167,4,-939.9074096679688,241.0485,389.59
5,25000,370.83,403.7551,5,-1131.51025390625,239.5117,436.0
6,30000,483.79,400.9107,6,-1352.6766357421875,257.1286,437.62
7,35000,442.47,417.6356,7,-2591.3466796875,265.8729,426.98
8,40000,603.72,409.237,8,-2442.067626953125,257.6123,438.73
9,45000,579.52,384.0744,9,-2843.322265625,263.4981,536.7
10,50000,597.6,399.006,10,-3059.85888671875,268.5325,555.24
11,55000,609.7,387.2365,11,-3729.336181640625,266.9841,615.4
12,60000,519.67,378.9192,12,-3725.68603515625,260.2256,536.25
13,65000,497.65,386.8959,13,-3916.045166015625,261.3417,475.68
14,70000,569.17,388.7999,14,-3895.81298828125,262.6625,555.88
15,75000,576.17,376.3154,15,-4134.3125,243.9817,577.09
16,80000,533.01,378.5764,16,-3775.99853515625,248.2254,571.54
17,85000,580.53,377.7162,17,-4711.79931640625,267.8431,622.31
18,90000,586.92,373.45,18,-5198.796875,277.2,668.19
19,95000,717.65,350.8746,19,-4788.88427734375,258.4162,636.0
20,100000,598.32,357.6773,20,-4898.1962890625,243.4573,681.44
21,105000,640.24,352.2233,21,-5174.91748046875,264.663,770.09
22,110000,735.87,354.75,22,-5087.71044921875,253.5441,713.01
23,115000,814.99,357.1145,23,-5242.64111328125,254.1771,752.21
24,120000,772.91,350.8691,24,-5308.33837890625,245.6631,724.39
25,125000,689.89,362.1827,25,-5555.0615234375,256.8673,703.53
26,130000,741.33,353.622,26,-5365.755859375,249.281,853.78
27,135000,824.28,356.3199,27,-4589.6494140625,221.9983,692.09
28,140000,788.8,374.9126,28,-4898.78125,244.8016,800.39
29,145000,804.56,339.6138,29,-4598.9833984375,195.9597,1066.6
30,150000,670.42,364.4019,30,-5156.9599609375,233.8147,771.16
31,155000,674.81,336.3467,31,-5643.9853515625,227.1379,929.45
32,160000,983.53,351.1586,32,-6422.6044921875,224.0599,1016.35
33,165000,675.2,352.0191,33,-6249.87158203125,224.1221,929.6
34,170000,642.04,340.7228,34,-6416.4833984375,225.5536,809.08
35,175000,1053.01,333.8801,35,-7308.24169921875,246.8072,967.17
36,180000,1935.53,340.4795,36,-6570.41455078125,211.8917,1251.75
37,185000,1774.28,320.1314,37,-7043.0771484375,209.6464,1316.8
38,190000,2723.93,310.3984,38,-5866.763671875,175.3898,1584.65
39,195000,3641.11,298.5826,39,-5167.462890625,143.4695,2202.3
40,200000,3396.46,299.6627,40,-5552.19775390625,154.4147,1892.25
41,205000,1061.66,312.5777,41,-6715.25927734375,185.5563,2501.09
42,210000,581.77,327.4785,42,-7211.7998046875,214.4623,1766.34
43,215000,503.33,340.2207,43,-8627.0546875,237.2477,987.18
44,220000,1006.4,322.9404,44,-6493.779296875,185.1889,1195.89
45,225000,585.34,300.7452,45,-5505.90673828125,133.6882,1656.0
46,230000,519.04,357.4003,46,-8656.8955078125,228.0723,1001.41
47,235000,2218.68,304.3693,47,-6087.0322265625,149.2002,2840.56
48,240000,3142.23,289.7319,48,-5113.1591796875,122.3847,3943.12
49,245000,2948.34,272.5971,49,-2218.510986328125,81.8371,4311.74
50,250000,2240.58,285.586,50,-4763.919921875,119.9213,3824.2
51,255000,3555.31,287.5459,51,-2722.0751953125,103.7235,3358.46
52,260000,1963.19,297.4321,52,-5314.0234375,141.1151,2198.01
53,265000,2277.5,321.4139,53,-6003.40283203125,175.4952,2139.62
54,270000,2245.01,287.8363,54,-6672.32958984375,148.9656,2020.65
55,275000,3575.02,292.5418,55,-6847.16943359375,147.081,3180.42
56,280000,2022.38,287.6681,56,-4842.1220703125,112.4428,1577.93
57,285000,3220.92,299.1857,57,-6329.23779296875,147.3635,2602.79
58,290000,2389.78,284.5661,58,-4148.67626953125,100.2605,2908.23
59,295000,1411.41,295.1329,59,-5451.1640625,138.0802,1606.15
60,300000,2728.48,297.1322,60,-5555.88720703125,145.5798,2827.87
61,305000,1592.77,307.1963,61,-6341.33935546875,171.5548,1656.34
62,310000,2289.83,277.8317,62,-3508.166259765625,91.6892,2349.74
63,315000,2098.73,283.3719,63,-4653.330078125,117.0181,2440.94
64,320000,2193.26,279.1263,64,-4918.77099609375,114.2256,2592.95
65,325000,3349.33,275.8465,65,-4238.6474609375,93.1136,4490.75
66,330000,2535.81,275.6024,66,-4914.95458984375,106.5782,3746.68
67,335000,3122.71,277.1719,67,-3228.0546875,76.6412,3645.76
68,340000,1900.94,265.2539,68,-3286.346923828125,67.2435,4897.35
69,345000,1255.66,277.3927,69,-5267.15673828125,106.4046,3207.94
70,350000,2193.26,270.6405,70,-5399.89990234375,95.8639,3440.34
71,355000,4352.92,278.0422,71,-4950.080078125,98.2002,4106.03
72,360000,4199.81,292.6211,72,-7774.49072265625,157.7022,3696.09
73,365000,4721.5,284.2237,73,-5692.3447265625,114.1775,3278.24
74,370000,2188.1,270.7857,74,-4320.36474609375,81.9795,4262.96
75,375000,4068.48,265.634,75,-4270.56689453125,81.0704,4959.6
76,380000,3407.85,302.4133,76,-8255.2685546875,165.9417,2207.06
77,385000,1386.58,303.9113,77,-8469.2099609375,158.7157,2527.99
78,390000,3447.73,296.7977,78,-5089.38818359375,127.0872,4075.05
