Running Env Steps,Reward Loss,Running Reverse KL,Real Sto Return,Real Det Return,Running Forward KL,Running Update Time,Itration
0,119.31723022460938,13.3366,309.03,305.79,49.5775,0,0
5000,101.32198333740234,12.1736,344.07,337.25,49.7493,1,1
10000,151.6671905517578,16.2779,324.94,372.68,49.6663,2,2
15000,185.1973419189453,14.1463,437.19,424.0,50.3328,3,3
20000,184.19192504882812,14.1201,443.07,536.71,49.5243,4,4
25000,148.26425170898438,14.364,403.83,383.5,49.3648,5,5
30000,155.8461151123047,14.2249,360.56,429.23,49.5303,6,6
35000,136.82785034179688,12.5573,629.83,915.04,48.6021,7,7
40000,142.3882293701172,13.8442,641.82,771.13,48.3707,8,8
45000,71.38040924072266,19.5508,616.85,724.77,48.2913,9,9
50000,102.1600341796875,17.0801,5.84,-26.14,50.6776,10,10
55000,-96.25023651123047,22.2637,-39.73,-52.04,54.1842,11,11
60000,-0.3089308738708496,15.3611,634.37,941.61,51.0193,12,12
65000,-26.561378479003906,20.9823,150.58,159.04,53.5524,13,13
70000,-33.5854606628418,27.1296,471.1,370.65,51.0597,14,14
75000,-134.33575439453125,38.2537,406.12,411.61,50.4078,15,15
80000,-66.56950378417969,17.957,496.42,560.48,49.4875,16,16
85000,-55.9941520690918,24.6464,425.88,449.39,50.0648,17,17
90000,-38.99625015258789,14.4701,432.18,461.89,49.6148,18,18
95000,-14.037341117858887,16.3672,668.74,773.39,49.9313,19,19
100000,-15.088528633117676,16.0028,517.42,474.7,49.828,20,20
105000,-168.3594512939453,27.4235,903.16,1068.45,51.3177,21,21
110000,-1.764357089996338,16.7292,515.66,700.71,49.2664,22,22
115000,-243.10560607910156,19.8779,996.75,1311.15,48.5058,23,23
120000,-229.48931884765625,31.1608,920.5,305.51,54.0231,24,24
125000,-239.1407928466797,34.4687,1454.19,1426.1,53.3173,25,25
130000,-169.66322326660156,24.3029,667.62,720.88,49.283,26,26
135000,-57.93106460571289,96.6344,45.77,27.62,53.2586,27,27
140000,-325.94964599609375,43.1684,1004.32,1055.47,52.6526,28,28
145000,-257.0936584472656,56.432,208.74,210.14,52.0037,29,29
150000,-264.5511169433594,61.4552,408.14,405.39,51.0701,30,30
155000,-304.5588073730469,70.333,-5.37,0.81,53.957,31,31
160000,-153.56704711914062,63.7174,68.76,56.39,54.0669,32,32
165000,-291.7137145996094,30.5226,827.89,792.09,52.0235,33,33
170000,-119.01676940917969,28.1582,356.05,670.37,51.6522,34,34
175000,-260.36798095703125,96.5401,480.99,537.21,49.2574,35,35
180000,-327.28521728515625,53.8489,403.66,412.77,49.3018,36,36
