Running Forward KL,Running Update Time,Real Sto Return,Itration,Reward Loss,Running Reverse KL,Running Env Steps,Real Det Return
31.3977,0,199.78,0,-43.534549713134766,23.3377,0,200.03
30.5942,1,267.99,1,-84.65241241455078,28.6582,5000,263.56
29.9158,2,208.68,2,55.17734909057617,31.4238,10000,214.35
32.096,3,741.95,3,-385.41748046875,23.8467,15000,1043.06
37.5464,4,0.17,4,25.258197784423828,186.673,20000,0.27
37.7596,5,1030.37,5,-475.9347839355469,32.6394,25000,1028.98
39.1144,6,1000.29,6,-610.9961547851562,42.8084,30000,1095.73
36.9744,7,977.29,7,-639.323486328125,32.1774,35000,982.86
37.4619,8,990.56,8,-672.4806518554688,48.9244,40000,995.21
36.4179,9,964.67,9,-768.3412475585938,55.5855,45000,964.92
36.3021,10,1008.99,10,-755.60009765625,44.3123,50000,1009.54
36.8728,11,987.04,11,-813.619384765625,33.0522,55000,987.17
33.6958,12,675.56,12,-544.97900390625,48.2727,60000,646.99
33.5362,13,168.25,13,-529.9560546875,162.9064,65000,156.63
38.4755,14,974.73,14,-940.772216796875,52.8259,70000,974.61
39.9165,15,974.38,15,-989.9710693359375,57.2921,75000,974.98
37.2062,16,981.02,16,-1065.1004638671875,37.5074,80000,981.54
36.791,17,1014.0,17,-1001.031005859375,24.1672,85000,1012.63
34.004,18,996.77,18,-1099.860595703125,39.2506,90000,1003.08
33.5677,19,1041.56,19,-1025.1033935546875,23.1521,95000,1040.4
37.3711,20,1024.23,20,-1219.121826171875,34.5532,100000,1024.16
37.0609,21,1009.6,21,-1280.4423828125,26.0431,105000,1008.5
37.9824,22,1027.52,22,-1268.8717041015625,29.5673,110000,1027.52
38.3021,23,930.05,23,-1268.2757568359375,31.8614,115000,978.78
37.4085,24,984.82,24,-1410.14599609375,44.7188,120000,984.82
37.1639,25,1027.06,25,-1492.1473388671875,31.644,125000,1025.72
37.9612,26,986.97,26,-1592.72021484375,36.7004,130000,987.61
38.1269,27,985.18,27,-1642.45556640625,43.1226,135000,985.24
33.428,28,862.54,28,-1299.637939453125,19.4424,140000,857.05
38.8669,29,969.26,29,-1706.216796875,42.6633,145000,970.15
33.7757,30,1085.87,30,-1656.623779296875,27.4679,150000,1111.99
37.9182,31,968.98,31,-1799.5364990234375,52.979,155000,969.57
34.1004,32,982.05,32,-1813.45703125,28.2721,160000,976.4
36.5669,33,982.93,33,-1914.4539794921875,25.7828,165000,979.0
33.9962,34,1014.51,34,-1852.650146484375,55.668,170000,1012.59
30.5171,35,243.38,35,-1391.8916015625,57.1281,175000,238.94
30.9253,36,256.46,36,-940.7432861328125,21.8494,180000,256.47
31.1505,37,270.5,37,-1535.4613037109375,17.8009,185000,256.52
39.6301,38,1002.73,38,-1902.0791015625,29.7421,190000,1003.09
32.0743,39,463.03,39,-1466.433837890625,17.989,195000,462.14
33.1017,40,1042.33,40,-1886.4248046875,19.3282,200000,1059.52
36.6025,41,287.35,41,-2278.201171875,34.2342,205000,164.24
33.4249,42,261.78,42,-1884.284423828125,51.2034,210000,258.83
32.3164,43,257.93,43,-2024.872314453125,53.5071,215000,259.06
31.806,44,192.67,44,-867.196533203125,34.6066,220000,191.16
31.5998,45,309.81,45,-2057.393310546875,49.3978,225000,308.66
39.551,46,994.31,46,-2643.118408203125,36.614,230000,995.72
37.9655,47,1039.18,47,-2533.4580078125,34.212,235000,1039.64
32.928,48,59.53,48,-2481.872802734375,54.4017,240000,65.8
34.9699,49,79.01,49,-1707.6463623046875,26.1229,245000,79.7
38.5872,50,976.23,50,-2721.23828125,58.8152,250000,976.21
33.8973,51,864.65,51,-2288.98779296875,21.5472,255000,863.28
34.5509,52,503.81,52,-2230.57080078125,42.367,260000,505.35
38.8175,53,989.2,53,-2848.32470703125,43.3811,265000,989.76
38.0866,54,1008.91,54,-2869.912109375,35.9185,270000,1008.75
33.1582,55,970.64,55,-2789.044921875,23.0567,275000,984.01
32.6362,56,944.99,56,-2669.39306640625,22.5993,280000,875.23
32.6878,57,232.64,57,-2172.799072265625,15.8193,285000,252.26
38.0867,58,971.49,58,-3138.1826171875,40.581,290000,971.95
36.2465,59,975.57,59,-3111.082275390625,27.8007,295000,976.89
33.2598,60,723.45,60,-3076.671142578125,32.5647,300000,397.66
32.6443,61,281.2,61,-2834.156005859375,48.7008,305000,301.04
33.551,62,937.31,62,-3253.593994140625,24.6374,310000,1043.21
32.5819,63,155.27,63,-2793.636474609375,34.3886,315000,154.66
33.6768,64,32.81,64,-2640.46533203125,42.0092,320000,32.76
33.3151,65,119.1,65,-2127.03076171875,51.1269,325000,119.3
31.4952,66,276.18,66,-2763.50732421875,45.3351,330000,274.64
40.4006,67,994.81,67,-3709.56396484375,58.7999,335000,994.77
33.9611,68,202.53,68,-3062.476806640625,30.9161,340000,202.1
32.8811,69,992.88,69,-3436.73388671875,23.3117,345000,990.3
36.2256,70,1050.95,70,-3692.66455078125,28.8244,350000,1050.81
37.8703,71,1029.22,71,-3737.198974609375,28.8003,355000,1030.81
34.5802,72,1014.73,72,-3761.406494140625,37.8691,360000,1015.29
