Real Det Return,Reward Loss,Running Env Steps,Running Forward KL,Running Reverse KL,Real Sto Return,Running Update Time,Itration
528.68,338.0755920410156,0,28.1952,19.0478,445.31,0,0
308.87,267.9018249511719,5000,31.1069,28.2317,292.64,1,1
402.17,198.50015258789062,10000,28.6373,25.8274,391.74,2,2
561.14,113.95340728759766,15000,27.5093,25.5253,494.82,3,3
397.82,75.6154556274414,20000,26.4209,27.9483,531.74,4,4
1232.79,-8.539379119873047,25000,25.0934,23.7161,922.19,5,5
1386.64,-52.7196159362793,30000,25.735,28.0694,938.99,6,6
792.12,-101.14366149902344,35000,26.1371,32.3703,653.54,7,7
905.54,-118.00224304199219,40000,26.812,20.0823,933.72,8,8
777.33,-168.33689880371094,45000,26.4771,26.064,1234.92,9,9
653.37,-217.44583129882812,50000,25.7789,29.7584,631.53,10,10
583.37,-306.1799011230469,55000,26.5863,36.4628,628.78,11,11
1541.99,-271.523681640625,60000,24.8707,28.9374,1082.93,12,12
2688.13,-132.41177368164062,65000,26.5129,18.1402,2760.48,13,13
2786.52,-182.95684814453125,70000,25.9112,17.2236,2440.24,14,14
3023.86,-148.88824462890625,75000,24.5465,16.9184,2235.32,15,15
2980.52,-229.633544921875,80000,25.3968,20.1176,2088.71,16,16
819.66,-541.2296142578125,85000,25.8254,31.4139,856.22,17,17
2985.83,-368.91070556640625,90000,24.5946,21.0768,2017.2,18,18
2513.45,-477.8663330078125,95000,24.621,24.0703,1819.13,19,19
2797.21,-389.29840087890625,100000,24.6014,19.9938,2060.46,20,20
3002.09,-298.7195739746094,105000,25.2175,17.2931,2973.38,21,21
2771.67,-354.3465576171875,110000,24.9356,17.8408,2343.24,22,22
3031.47,-354.5353698730469,115000,24.9319,18.2606,2338.89,23,23
3134.7,-589.6670532226562,120000,25.5279,23.2406,2047.41,24,24
3110.86,-454.7729797363281,125000,24.7469,18.1737,1509.45,25,25
2670.14,-359.9384460449219,130000,25.3081,16.7217,2596.15,26,26
3114.14,-384.801513671875,135000,24.3639,16.87,2340.57,27,27
2777.01,-667.8428344726562,140000,24.7115,20.2677,2000.72,28,28
3101.49,-326.73724365234375,145000,24.6958,15.8558,2913.2,29,29
3080.37,-527.3735961914062,150000,24.0923,15.8027,2314.06,30,30
3061.1,-786.0298461914062,155000,25.1022,20.5591,1619.24,31,31
3088.27,-362.7793273925781,160000,25.1452,16.7422,3065.69,32,32
3146.96,-370.0574035644531,165000,24.2875,14.5108,3065.29,33,33
3010.41,-862.1858520507812,170000,25.5773,22.5878,1158.3,34,34
3082.02,-937.4354858398438,175000,25.0626,22.6929,1571.95,35,35
3111.35,-638.7750244140625,180000,23.7326,17.1634,2563.41,36,36
3184.25,-579.3201904296875,185000,24.4347,17.4802,2579.78,37,37
3181.31,-867.7822265625,190000,24.1592,21.1223,2070.03,38,38
2970.51,-875.6943359375,195000,24.2597,19.7428,1714.07,39,39
3116.06,-667.0252075195312,200000,23.8516,16.2046,2517.85,40,40
2637.79,-923.180908203125,205000,24.3509,19.6823,1495.83,41,41
3183.03,-744.3521118164062,210000,24.7175,18.1225,1816.45,42,42
3165.85,-784.9466552734375,215000,23.7091,17.986,2271.15,43,43
3136.12,-749.3057250976562,220000,24.0337,18.1832,2080.62,44,44
3092.83,-572.2781372070312,225000,25.2317,17.338,2791.28,45,45
3155.92,-588.7222290039062,230000,25.0608,17.6074,2686.53,46,46
3181.1,-544.1544799804688,235000,24.6885,16.6847,2951.56,47,47
3192.01,-542.541748046875,240000,24.6896,16.5128,3089.72,48,48
3200.01,-607.9527587890625,245000,23.904,16.3868,2894.53,49,49
3187.77,-554.4990234375,250000,24.3853,16.78,3169.99,50,50
3147.8,-565.6484985351562,255000,24.6881,17.6349,3170.12,51,51
3207.72,-674.2793579101562,260000,23.5739,16.4906,2678.68,52,52
3126.51,-536.6893920898438,265000,24.9379,17.1172,3028.19,53,53
3165.38,-628.2836303710938,270000,24.1043,16.0739,2960.55,54,54
3212.63,-611.8587036132812,275000,24.1462,16.2912,3201.25,55,55
3200.56,-643.7093505859375,280000,23.7214,15.5298,3121.57,56,56
3133.38,-790.4326782226562,285000,24.4104,17.3314,3047.82,57,57
3193.43,-716.6275634765625,290000,24.356,16.3739,3145.11,58,58
3234.18,-899.9817504882812,295000,23.7953,19.0602,2613.91,59,59
3225.72,-883.4085083007812,300000,24.0421,18.85,2848.99,60,60
3219.51,-801.2724609375,305000,23.5058,16.2475,3039.19,61,61
3268.52,-751.1778564453125,310000,23.4321,15.4407,2175.68,62,62
3228.98,-733.9803466796875,315000,24.1911,16.6087,3107.99,63,63
3245.84,-949.687255859375,320000,23.3297,16.484,2692.43,64,64
3229.95,-811.1946411132812,325000,23.3709,15.3393,2868.46,65,65
3210.26,-760.5194091796875,330000,24.5534,16.7957,3095.16,66,66
3219.68,-747.9319458007812,335000,24.1155,16.197,3192.01,67,67
3219.43,-889.2181396484375,340000,23.4094,15.7801,2987.49,68,68
3253.62,-855.7383422851562,345000,23.5685,15.4229,3250.52,69,69
3254.87,-748.5274047851562,350000,23.2355,15.2032,3228.09,70,70
3242.05,-830.54248046875,355000,23.4529,15.3692,3155.62,71,71
3258.83,-825.54931640625,360000,23.7277,15.664,3215.65,72,72
3244.58,-913.0733032226562,365000,23.6969,15.8432,3043.33,73,73
3263.45,-830.9986572265625,370000,23.4989,15.6084,3120.91,74,74
3264.94,-970.9088134765625,375000,23.9395,15.6763,3230.09,75,75
3233.71,-923.2589111328125,380000,23.2255,15.4312,3127.89,76,76
3246.73,-1030.2545166015625,385000,23.53,16.0543,3130.31,77,77
3001.28,-1005.9052124023438,390000,23.3035,14.7372,2933.97,78,78
3290.31,-973.152587890625,395000,23.499,15.8604,3251.78,79,79
3282.9,-949.4171142578125,400000,22.9781,14.9367,3250.99,80,80
3253.25,-1080.349365234375,405000,23.7483,15.4937,3254.6,81,81
3274.88,-1072.9554443359375,410000,22.8801,14.9171,3034.66,82,82
3253.02,-1005.4656372070312,415000,22.9121,14.5105,3211.34,83,83
3293.0,-964.1400146484375,420000,23.1314,15.6015,3257.31,84,84
3292.72,-1076.303466796875,425000,23.1119,15.0808,3258.24,85,85
3274.36,-1121.669677734375,430000,22.6682,15.0822,3052.22,86,86
3296.81,-1124.9395751953125,435000,23.7081,15.8236,3271.64,87,87
3259.63,-1114.5223388671875,440000,22.63,14.5917,3059.17,88,88
3278.2,-1073.925537109375,445000,23.1745,14.8097,3238.01,89,89
3277.6,-1155.7291259765625,450000,22.9448,15.0586,3251.22,90,90
3290.04,-1178.59423828125,455000,22.4023,14.3127,3173.68,91,91
3258.71,-1157.53662109375,460000,23.1443,14.8508,3222.62,92,92
3299.22,-1110.360107421875,465000,23.2987,15.2774,3277.63,93,93
3282.75,-1063.94287109375,470000,23.3055,15.1416,3248.84,94,94
3304.11,-1154.7698974609375,475000,23.0951,14.8089,3260.89,95,95
3272.52,-1259.2530517578125,480000,22.3592,14.6502,3241.06,96,96
3289.58,-1224.9486083984375,485000,22.5939,14.6513,3262.87,97,97
3308.99,-1192.2623291015625,490000,22.3275,14.3534,3282.66,98,98
3267.7,-1238.5574951171875,495000,22.2914,14.3233,3244.32,99,99
3326.73,-1271.279296875,500000,22.4717,14.5312,3301.12,100,100
3282.01,-1279.0523681640625,505000,22.1062,13.739,3239.95,101,101
3322.27,-1234.517822265625,510000,22.213,13.9106,3230.85,102,102
3335.82,-1223.3271484375,515000,22.611,14.4428,3306.99,103,103
3327.62,-1259.643310546875,520000,22.2863,14.7439,3146.53,104,104
3312.35,-1276.92626953125,525000,22.4055,14.1318,3284.19,105,105
3318.03,-1358.4654541015625,530000,22.5819,13.7764,3295.37,106,106
3291.95,-1288.22802734375,535000,22.1437,14.2158,3272.58,107,107
3319.31,-1290.6583251953125,540000,22.0058,13.2307,3141.23,108,108
3274.99,-1275.0888671875,545000,22.4713,14.0332,3255.64,109,109
3307.53,-1317.6324462890625,550000,21.8594,14.0497,3293.95,110,110
3308.64,-1302.70361328125,555000,21.912,13.8959,3284.98,111,111
3329.94,-1394.538330078125,560000,22.152,13.4423,3277.42,112,112
3318.44,-1395.86865234375,565000,22.6735,14.5847,3284.65,113,113
3260.41,-1493.5159912109375,570000,23.3778,15.4973,3260.43,114,114
3398.76,-1435.0411376953125,575000,22.5049,14.412,3353.86,115,115
