Running Update Time,Reward Loss,Itration,Real Sto Return,Running Forward KL,Running Reverse KL,Running Env Steps,Real Det Return
0,-5140.77392578125,0,355.17,420.3948,267.7013,0,484.04
1,-5415.537109375,1,394.54,417.5472,263.3887,5000,345.6
2,-5868.0498046875,2,389.56,407.344,271.8237,10000,453.77
3,-6136.29736328125,3,412.17,398.5809,244.4753,15000,403.3
4,-5578.6435546875,4,375.92,417.4484,336.5921,20000,313.96
5,-6148.4814453125,5,398.06,396.9938,266.4347,25000,379.36
6,-6642.9853515625,6,439.41,402.1091,297.3722,30000,467.26
7,-6961.595703125,7,406.11,397.7442,280.2049,35000,464.44
8,-6821.34716796875,8,473.19,382.7297,268.7335,40000,523.84
9,-6925.5947265625,9,463.69,387.7874,290.0693,45000,492.4
10,-7150.02490234375,10,473.19,392.1972,359.0203,50000,423.43
11,-7637.37109375,11,439.77,393.5107,295.321,55000,522.67
12,-7214.25634765625,12,505.54,384.0059,335.6313,60000,547.58
13,-8143.42138671875,13,517.75,387.9339,409.1457,65000,562.71
14,-7848.89599609375,14,560.65,373.6971,339.9934,70000,575.27
15,-7899.64599609375,15,532.09,382.3042,371.7588,75000,535.53
16,-7833.44091796875,16,519.57,382.5574,237.3924,80000,577.3
17,-9330.6328125,17,602.01,394.2218,460.4835,85000,645.87
18,-8932.94140625,18,561.09,389.6924,334.0265,90000,630.41
19,-8608.876953125,19,658.06,383.8745,311.5467,95000,661.01
20,-9289.296875,20,658.96,381.6561,307.0173,100000,684.13
21,-9159.7197265625,21,652.0,369.5014,272.3102,105000,667.69
22,-9230.759765625,22,608.64,366.9798,238.2613,110000,542.28
23,-9756.712890625,23,587.78,385.2274,265.0793,115000,643.36
24,-9473.5703125,24,608.24,378.4033,238.4716,120000,627.85
25,-9378.7177734375,25,657.1,383.2243,224.1012,125000,702.2
26,-9316.888671875,26,693.43,372.1789,211.5632,130000,713.04
27,-9567.8173828125,27,785.91,388.4383,227.3078,135000,760.12
28,-9636.59765625,28,738.9,384.2864,228.5533,140000,705.29
29,-9850.4130859375,29,654.78,375.1556,251.1436,145000,664.53
30,-9714.0029296875,30,753.71,370.0657,217.944,150000,565.84
31,-10210.26171875,31,676.75,361.51,237.7209,155000,643.27
32,-9752.41796875,32,820.03,361.5466,213.2357,160000,666.26
33,-10425.9794921875,33,908.34,369.3674,247.3424,165000,786.54
34,-11450.9443359375,34,848.12,367.1141,262.0884,170000,784.54
35,-10891.3154296875,35,786.37,373.259,242.0265,175000,829.29
36,-10300.7587890625,36,881.26,368.1249,227.4592,180000,984.66
37,-10391.3623046875,37,899.85,363.062,225.285,185000,1072.45
38,-10356.732421875,38,880.03,363.366,231.6911,190000,1165.34
39,-10299.8974609375,39,1075.63,359.2,213.7692,195000,796.3
40,-10511.0556640625,40,1066.64,355.1535,207.1306,200000,744.98
41,-11291.9580078125,41,1114.29,361.8906,208.7633,205000,966.61
42,-8420.505859375,42,1430.83,305.0444,152.7488,210000,2246.3
43,-9229.6142578125,43,1567.74,331.5703,170.5862,215000,1490.23
44,-10301.580078125,44,1228.39,335.8374,197.68,220000,867.21
45,-8986.462890625,45,1180.85,322.4068,185.1092,225000,1363.12
46,-10529.49609375,46,1203.35,350.0193,205.6379,230000,878.14
47,-10036.9150390625,47,1129.18,330.8515,182.589,235000,834.9
48,-10993.9169921875,48,1500.45,348.0434,207.5762,240000,1298.32
49,-10129.4541015625,49,1583.01,328.0923,203.7802,245000,1840.64
50,-10547.3330078125,50,2019.85,332.9961,205.2307,250000,1478.86
51,-10913.6240234375,51,1504.77,342.476,206.3019,255000,1332.0
52,-11426.0546875,52,970.94,353.0388,223.8511,260000,1780.57
53,-9560.708984375,53,2123.18,355.6373,190.4485,265000,1536.58
54,-9143.3505859375,54,1744.0,322.3888,190.7053,270000,1271.41
55,-10428.7509765625,55,2511.81,348.1186,201.3329,275000,2256.08
56,-8356.724609375,56,2417.43,313.9025,161.9626,280000,2287.16
57,-5546.7548828125,57,2867.71,297.076,131.3601,285000,2118.57
58,-6713.947265625,58,2143.43,298.8504,138.1948,290000,1238.5
59,-6143.521484375,59,2696.37,293.4456,125.1786,295000,1729.35
60,-7671.85888671875,60,1987.12,298.707,144.1911,300000,957.94
61,-5683.53466796875,61,2589.29,298.7161,118.8695,305000,2623.79
62,-7423.63623046875,62,3101.33,300.8316,134.7712,310000,1727.43
63,-7876.1005859375,63,2872.19,305.5018,156.1106,315000,2617.17
64,-7238.29541015625,64,2787.79,312.5198,149.869,320000,1103.0
65,-4184.5712890625,65,4025.76,293.2799,100.9627,325000,2604.47
66,-8151.51513671875,66,2518.7,289.111,156.0047,330000,1280.0
67,-5340.8369140625,67,3411.0,287.3804,109.4066,335000,2822.44
68,-6606.25537109375,68,3122.52,306.9031,128.0063,340000,3234.18
69,-5859.9775390625,69,3273.54,288.3588,111.0605,345000,2729.74
70,-5301.0576171875,70,3523.86,290.0356,107.3531,350000,2784.44
71,-8489.5693359375,71,2961.78,319.2329,144.5935,355000,2691.3
72,-8905.4755859375,72,2562.75,313.6841,158.8306,360000,1044.44
73,-3934.162841796875,73,4052.29,296.2435,96.2065,365000,2683.25
74,-5687.27197265625,74,4067.6,289.5935,104.3,370000,2660.45
75,-7562.05810546875,75,2716.46,312.2727,137.6828,375000,2588.21
76,-5439.4033203125,76,3816.27,286.0329,108.294,380000,2446.93
77,-13138.892578125,77,722.27,363.5459,241.4336,385000,757.19
78,-11204.5537109375,78,1387.38,343.1729,200.6312,390000,1587.81
79,-13072.20703125,79,404.88,427.7181,248.4705,395000,428.9
80,-13064.96875,80,443.36,399.0125,240.4651,400000,398.15
81,-13387.537109375,81,500.72,394.7361,248.5249,405000,525.76
82,-13968.3359375,82,446.54,434.9353,301.8813,410000,511.56
83,-14516.5888671875,83,313.26,416.5535,312.3395,415000,290.05
84,-13013.6962890625,84,885.29,359.2025,236.3803,420000,1004.67
85,-12315.921875,85,1097.26,318.7142,256.1508,425000,1061.14
86,-13227.6435546875,86,912.91,361.5644,251.9245,430000,1152.62
87,-13402.28125,87,1214.66,352.5163,285.7147,435000,765.82
88,-13251.6962890625,88,1242.94,355.7273,252.177,440000,1399.11
89,-12935.701171875,89,1379.23,349.7798,210.8735,445000,1183.77
90,-11697.740234375,90,1533.85,327.8157,210.8544,450000,1829.21
91,-13839.3037109375,91,1305.96,353.5193,294.1208,455000,810.34
92,-13942.78125,92,939.41,372.0598,232.1217,460000,653.29
93,-14022.552734375,93,772.01,377.9484,288.5014,465000,534.74
94,-14486.6279296875,94,771.64,390.3457,284.9141,470000,684.9
95,-14987.8154296875,95,676.96,386.7417,321.5946,475000,585.31
96,-13883.4609375,96,782.84,344.9663,266.151,480000,1028.8
97,-12995.7119140625,97,878.18,339.7206,213.4866,485000,1166.5
98,-15237.396484375,98,441.84,441.3253,284.3396,490000,310.99
99,-12911.4130859375,99,1146.39,341.7066,212.1351,495000,801.98
