Running Update Time,Running Env Steps,Reward Loss,Real Det Return,Itration,Running Reverse KL,Real Sto Return,Running Forward KL
0,0,-295.910888671875,233.74,0,22.3681,225.81,32.7247
1,5000,-162.26820373535156,258.06,1,47.9263,244.22,31.4248
2,10000,-216.10772705078125,259.61,2,42.5824,269.63,30.9411
3,15000,-205.5748291015625,315.14,3,30.4577,299.61,31.0722
4,20000,-177.0998077392578,423.34,4,40.9751,377.66,27.3477
5,25000,94.88448333740234,359.72,5,138.9066,361.25,28.1991
6,30000,-117.04075622558594,426.22,6,46.3962,420.49,26.5622
7,35000,-273.531005859375,572.34,7,39.5777,517.53,28.2089
8,40000,-253.16506958007812,593.76,8,20.6444,574.98,27.1775
9,45000,-278.8790283203125,629.92,9,27.7517,593.77,25.2584
10,50000,-210.58929443359375,649.48,10,18.5897,580.92,24.3343
11,55000,-248.13748168945312,511.0,11,18.8026,542.96,24.149
12,60000,-236.44412231445312,675.49,12,19.977,623.28,27.1463
13,65000,-233.3741455078125,636.67,13,19.0027,620.84,27.0665
14,70000,-251.19381713867188,645.71,14,19.3263,631.97,26.8478
15,75000,-320.35955810546875,684.22,15,23.8859,665.16,26.6798
16,80000,-349.9294738769531,671.64,16,27.1529,644.87,26.5412
17,85000,-320.114501953125,656.07,17,22.4303,632.18,27.0174
18,90000,-365.16339111328125,681.84,18,26.0581,666.12,26.8064
19,95000,-357.87420654296875,684.57,19,22.8804,671.11,27.2364
20,100000,-383.97418212890625,711.05,20,28.6491,677.96,25.2194
21,105000,-404.2095031738281,674.05,21,30.5045,660.84,26.9564
22,110000,-415.5990295410156,687.38,22,34.8692,685.41,25.8242
23,115000,-427.46240234375,680.03,23,36.0773,657.82,26.8853
24,120000,-402.0135498046875,797.95,24,30.5155,756.0,24.7289
25,125000,-418.01190185546875,739.71,25,32.0499,729.07,25.8405
26,130000,-422.45880126953125,829.0,26,57.0373,800.99,25.6876
27,135000,-434.4468994140625,847.9,27,34.5463,812.32,25.3548
28,140000,-444.0635070800781,880.49,28,44.5471,840.73,25.5974
29,145000,-452.2585754394531,879.88,29,37.6326,840.99,25.0235
30,150000,-453.92889404296875,874.0,30,32.4515,843.65,24.2816
31,155000,-435.14129638671875,909.77,31,33.9178,844.15,24.533
32,160000,-445.90557861328125,867.99,32,31.4505,821.64,24.8275
33,165000,-498.6580505371094,883.54,33,31.232,827.04,24.9238
34,170000,-478.8067321777344,900.37,34,21.1618,837.67,24.3417
35,175000,-387.1551818847656,1734.76,35,29.237,960.4,23.4689
36,180000,-440.80316162109375,1527.31,36,18.1102,1211.15,23.3104
37,185000,-485.8135070800781,1010.47,37,17.0862,983.53,23.8187
38,190000,-484.909423828125,1171.65,38,21.9593,1075.35,23.3661
39,195000,-269.7544250488281,3139.4,39,15.5795,2326.02,23.0545
40,200000,-290.13238525390625,3129.5,40,17.1821,2042.28,22.7238
