Running Forward KL,Itration,Running Update Time,Real Det Return,Reward Loss,Running Reverse KL,Running Env Steps,Real Sto Return
28.0872,0,0,451.82,-1030.44873046875,22.1675,0,421.43
27.7494,1,1,433.5,-1208.1656494140625,31.3489,5000,414.24
30.1235,2,2,313.05,-1432.15771484375,40.7205,10000,322.57
28.4592,3,3,599.8,-1262.742431640625,36.739,15000,614.7
28.6032,4,4,660.49,-1488.28125,38.3168,20000,624.79
27.0235,5,5,961.82,-1150.4736328125,32.0825,25000,873.99
28.3318,6,6,448.53,-1554.731201171875,34.0146,30000,545.94
28.6211,7,7,334.42,-1763.0269775390625,42.7781,35000,352.92
38.2782,8,8,27.39,-2586.650390625,144.8631,40000,29.01
30.3385,9,9,1499.49,-1380.2227783203125,17.2874,45000,1537.41
31.2585,10,10,587.36,-1987.792724609375,84.5525,50000,412.72
27.9189,11,11,457.88,-1722.3782958984375,39.143,55000,717.39
26.6889,12,12,1602.76,-1535.41162109375,18.9228,60000,1622.2
27.9655,13,13,734.5,-1898.7847900390625,47.0837,65000,761.11
26.3436,14,14,836.96,-892.0001831054688,18.7828,70000,565.87
27.9844,15,15,850.71,-2141.25146484375,27.3408,75000,603.96
32.051,16,16,424.48,-2449.7314453125,39.8361,80000,464.03
36.3018,17,17,1022.89,-2605.8525390625,26.5065,85000,1021.65
32.7076,18,18,1076.15,-2442.265380859375,26.9942,90000,889.77
31.4819,19,19,206.1,-2271.654296875,28.9037,95000,240.98
36.9765,20,20,990.81,-2733.102294921875,34.6468,100000,990.87
30.1142,21,21,122.12,-2209.66748046875,30.9116,105000,151.69
29.6963,22,22,1173.92,-1909.6363525390625,28.0847,110000,1039.14
30.6073,23,23,778.92,-2143.095703125,25.3629,115000,618.77
33.3945,24,24,134.21,-2894.278564453125,52.5262,120000,134.24
28.2222,25,25,269.79,-2271.263671875,22.5007,125000,444.95
31.5741,26,26,288.84,-2832.486572265625,31.3034,130000,291.28
35.213,27,27,1017.42,-3141.227783203125,37.7079,135000,1016.92
30.6836,28,28,996.07,-2622.4033203125,19.7554,140000,997.15
30.1096,29,29,614.2,-2780.813232421875,42.0198,145000,613.72
27.285,30,30,1226.68,-1897.0047607421875,15.0707,150000,968.15
36.2508,31,31,931.6,-3338.248779296875,48.8047,155000,790.44
35.69,32,32,1039.12,-3461.3701171875,33.4856,160000,1038.95
30.8729,33,33,1821.0,-1884.309326171875,20.1248,165000,1842.74
30.2892,34,34,1965.89,-1691.267333984375,18.4754,170000,1970.88
30.0307,35,35,1751.12,-1892.437255859375,19.7218,175000,1607.54
30.692,36,36,307.27,-1916.3692626953125,23.7759,180000,421.23
30.9903,37,37,85.32,-3090.3603515625,34.0141,185000,85.65
32.7212,38,38,248.63,-3148.90576171875,35.1306,190000,241.87
33.1296,39,39,286.89,-3640.663330078125,58.5169,195000,280.57
35.2608,40,40,372.74,-3984.150146484375,56.5322,200000,360.65
31.7696,41,41,256.82,-3812.104736328125,31.1771,205000,265.71
40.4436,42,42,75.67,-3843.6689453125,45.3963,210000,76.7
39.6854,43,43,994.65,-3865.62646484375,50.525,215000,994.39
38.0088,44,44,42.61,-4410.3095703125,46.09,220000,40.82
38.5023,45,45,1005.13,-3859.204833984375,45.6579,225000,1004.22
37.6843,46,46,993.11,-3986.1259765625,64.9086,230000,993.19
34.3295,47,47,860.7,-3716.74560546875,20.2543,235000,869.33
37.157,48,48,1020.5,-3878.00732421875,27.987,240000,892.18
28.9025,49,49,904.31,-2551.25830078125,33.9796,245000,902.23
38.6667,50,50,993.05,-4173.86083984375,27.3381,250000,992.9
38.9413,51,51,997.71,-4166.73828125,27.4312,255000,997.29
37.8652,52,52,1012.2,-4251.5712890625,50.3881,260000,1012.34
38.6385,53,53,1012.33,-4277.671875,52.6622,265000,1012.2
39.1544,54,54,992.55,-4433.0556640625,50.1671,270000,989.96
39.2233,55,55,1003.87,-4435.7939453125,55.8731,275000,1004.19
38.7839,56,56,987.44,-4532.83544921875,55.8715,280000,987.66
32.3387,57,57,323.13,-4272.419921875,45.7215,285000,323.94
33.6696,58,58,322.38,-4574.060546875,39.9581,290000,320.85
38.2101,59,59,1025.15,-4859.80810546875,39.1688,295000,1025.65
39.3214,60,60,1000.07,-4665.62060546875,50.7747,300000,999.43
38.0848,61,61,973.12,-4948.3388671875,50.6736,305000,972.06
37.8869,62,62,998.54,-4750.26220703125,29.1445,310000,994.16
34.9144,63,63,13.44,-5094.75537109375,90.901,315000,13.46
32.4953,64,64,74.59,-4448.8564453125,25.9864,320000,73.43
31.4367,65,65,65.94,-4411.087890625,28.6033,325000,156.43
32.0885,66,66,645.42,-4969.0068359375,33.3927,330000,644.05
39.3208,67,67,1007.93,-5145.43359375,41.8454,335000,1006.96
39.8591,68,68,1000.33,-5290.2265625,30.6477,340000,1002.32
40.4966,69,69,1001.18,-5400.4814453125,40.6823,345000,1000.54
39.401,70,70,75.59,-5577.37451171875,71.8226,350000,76.61
30.9766,71,71,104.24,-2928.043212890625,20.3708,355000,104.67
32.834,72,72,291.09,-5398.6298828125,36.4005,360000,291.93
39.3442,73,73,973.94,-5764.0693359375,57.3589,365000,973.76
