Running Reverse KL,Real Sto Return,Running Forward KL,Running Env Steps,Reward Loss,Real Det Return,Itration,Running Update Time
14.3978,3124.97,23.5566,380000,-1556.216552734375,3159.4,76,76
13.6083,3097.58,22.8839,385000,-1514.5103759765625,3132.3,77,77
14.4038,3122.9,23.0293,390000,-1392.5355224609375,3137.73,78,78
14.6173,3075.28,23.0937,395000,-1492.673583984375,3197.49,79,79
12.9911,2579.02,22.7245,400000,-1509.89990234375,3158.24,80,80
14.6921,3141.35,23.4233,405000,-1534.3826904296875,3172.18,81,81
14.2961,3127.46,23.2679,410000,-1507.7354736328125,3171.58,82,82
14.5535,3031.4,23.4702,415000,-1573.0228271484375,3177.8,83,83
15.5226,3143.05,23.4349,420000,-1637.6375732421875,3145.08,84,84
14.2677,3111.2,22.9766,425000,-1659.5147705078125,3194.96,85,85
14.2829,3149.59,22.9236,430000,-1547.154541015625,3193.38,86,86
15.2122,3172.85,23.146,435000,-1449.96142578125,3221.88,87,87
14.5916,3098.21,23.294,440000,-1488.700439453125,3182.49,88,88
14.3792,3139.66,22.9297,445000,-1687.3125,3156.11,89,89
15.1232,3156.03,23.6076,450000,-1592.281005859375,3178.73,90,90
14.7836,3183.45,23.163,455000,-1590.7967529296875,3203.13,91,91
14.0041,3149.54,22.776,460000,-1664.47119140625,3184.38,92,92
14.6211,3196.39,23.0726,465000,-1601.541259765625,3213.85,93,93
13.8073,3079.77,22.6129,470000,-1671.108154296875,3179.56,94,94
14.4647,3153.64,22.7602,475000,-1718.4239501953125,3189.73,95,95
15.1624,3174.86,23.16,480000,-1530.3902587890625,3192.2,96,96
14.7551,3168.31,22.606,485000,-1533.50927734375,3182.02,97,97
13.9879,3102.3,22.4269,490000,-1679.284423828125,3164.31,98,98
14.696,3068.25,23.0212,495000,-1712.2718505859375,3234.55,99,99
14.3628,3133.39,22.4663,500000,-1603.4793701171875,3234.94,100,100
14.216,3167.47,22.6996,505000,-1782.175048828125,3177.75,101,101
15.0154,3107.65,23.4474,510000,-1874.5213623046875,3117.05,102,102
14.1888,2958.78,22.2311,515000,-1758.3251953125,3233.6,103,103
14.103,3134.04,22.7208,520000,-1996.18212890625,3195.47,104,104
14.6664,3174.69,22.6217,525000,-1920.14990234375,3202.34,105,105
13.4681,3168.65,22.4658,530000,-1917.607421875,3194.57,106,106
