Running Env Steps,Itration,Real Sto Return,Running Reverse KL,Running Update Time,Real Det Return,Running Forward KL,Reward Loss
0,0,192.88,57.6556,0,178.94,32.2303,642.4896240234375
5000,1,311.93,23.5486,1,315.46,32.2506,361.5746154785156
10000,2,289.01,25.5326,2,271.34,31.149,275.0039367675781
15000,3,356.03,170.8763,3,359.53,30.1768,702.4536743164062
20000,4,411.73,22.427,4,419.04,28.0629,250.01840209960938
25000,5,484.77,25.6684,5,487.51,26.5417,186.17269897460938
30000,6,650.8,76.0887,6,718.72,27.8196,324.0823974609375
35000,7,794.81,120.3115,7,698.95,26.1745,387.7316589355469
40000,8,671.04,46.0291,8,698.56,25.3942,111.94926452636719
45000,9,1578.69,16.622,9,1481.6,25.7637,55.90555953979492
50000,10,1494.55,15.4974,10,2645.72,24.8008,49.93585205078125
55000,11,916.86,28.2601,11,997.59,25.7918,48.47930145263672
60000,12,1203.41,19.8427,12,2355.72,26.1331,46.31539535522461
65000,13,1038.93,15.2052,13,1154.96,25.3154,90.83174896240234
70000,14,1109.19,16.3459,14,2052.47,25.404,-3.16221284866333
75000,15,2145.81,15.5,15,2173.57,25.395,-11.284095764160156
80000,16,1128.87,16.9751,16,1897.61,26.0561,70.21768951416016
85000,17,1499.63,15.5769,17,3019.33,24.9283,-96.55020141601562
90000,18,1611.17,33.4371,18,3091.76,25.6949,-178.7285614013672
95000,19,2659.1,17.6809,19,3062.82,24.4541,-62.35649108886719
100000,20,1267.41,15.3553,20,1289.99,26.6495,-159.36697387695312
105000,21,2240.62,16.3677,21,1451.25,25.6533,-92.26770782470703
110000,22,918.75,14.8785,22,2301.03,25.8909,-105.48917388916016
115000,23,2629.94,15.3429,23,3033.35,26.0226,-154.6082763671875
120000,24,1817.59,21.973,24,3071.21,25.077,-134.99220275878906
125000,25,2375.76,15.8058,25,3021.19,24.4679,-131.52218627929688
130000,26,1572.39,21.6111,26,3112.02,25.9445,-284.31646728515625
135000,27,1583.86,16.5239,27,3119.83,24.7971,-179.08090209960938
140000,28,2335.55,18.7129,28,3066.38,25.7663,-215.41665649414062
145000,29,1161.81,36.5464,29,1493.08,26.7621,-525.41748046875
150000,30,1896.34,29.0386,30,3120.37,25.8787,-351.3498229980469
155000,31,1296.84,16.2935,31,1519.37,25.7939,-354.6609191894531
160000,32,1415.74,16.7549,32,2067.44,26.1467,-332.0591735839844
165000,33,1540.7,20.5787,33,3075.45,25.3073,-404.3117370605469
170000,34,1317.34,29.897,34,1854.52,25.9821,-393.4981384277344
175000,35,1362.46,16.5578,35,2109.01,25.9061,-353.72125244140625
180000,36,1504.98,25.5651,36,2985.48,25.4928,-480.94183349609375
185000,37,1783.47,19.1748,37,3154.49,25.5199,-434.45758056640625
190000,38,1622.47,18.8064,38,2621.81,25.5891,-486.04443359375
195000,39,1739.0,20.4998,39,2154.4,25.1501,-475.9350280761719
200000,40,1270.03,19.0076,40,3029.72,26.1591,-583.0208740234375
205000,41,1191.91,20.1001,41,1490.97,26.1309,-591.334228515625
210000,42,1262.78,14.2975,42,1086.23,25.9089,-546.038818359375
215000,43,1866.58,15.1997,43,3159.65,24.0518,-467.6024475097656
220000,44,1104.8,13.8243,44,1180.78,25.9643,-486.0013122558594
225000,45,3000.59,17.0045,45,3096.48,25.4165,-305.946533203125
230000,46,1398.9,13.7213,46,2548.93,25.9536,-471.5231018066406
235000,47,1858.46,14.4217,47,3164.41,25.6697,-451.85638427734375
240000,48,1758.36,13.905,48,3182.19,25.2038,-437.61700439453125
245000,49,1629.49,14.9684,49,3176.37,25.2038,-583.6903076171875
250000,50,2099.56,14.8189,50,3140.06,24.6826,-388.3092041015625
255000,51,1290.92,16.6799,51,1394.79,25.6498,-738.935546875
260000,52,1835.55,14.0886,52,3170.8,25.357,-709.0951538085938
265000,53,1227.74,14.519,53,2313.65,25.556,-807.65625
270000,54,2652.09,15.1963,54,3156.03,25.3239,-543.5261840820312
275000,55,2253.81,14.9677,55,3122.23,25.2428,-514.902099609375
280000,56,1571.02,14.2178,56,3151.08,25.0394,-734.2186889648438
285000,57,1362.88,14.2925,57,2416.49,25.7081,-863.1707763671875
290000,58,2318.36,14.3535,58,3153.96,24.9463,-634.3890991210938
295000,59,1964.06,13.6279,59,3144.17,24.8907,-807.7470703125
300000,60,2294.0,14.185,60,3163.16,25.1689,-587.2672119140625
305000,61,2000.79,13.1226,61,2315.82,24.9314,-788.53271484375
310000,62,2245.53,14.049,62,3150.85,24.9689,-660.1950073242188
315000,63,1198.57,13.0636,63,1182.85,25.9808,-954.3424072265625
320000,64,1596.44,13.5222,64,3137.28,25.2102,-886.9124145507812
325000,65,2338.07,15.0533,65,3134.18,25.1052,-689.4012451171875
330000,66,2939.22,17.0996,66,3149.95,24.96,-416.27569580078125
335000,67,1527.34,14.7387,67,2445.16,25.8465,-1034.66357421875
340000,68,1504.12,14.7234,68,3169.28,25.414,-1011.35498046875
345000,69,2236.54,16.0251,69,3163.65,25.8194,-830.8038940429688
350000,70,1979.48,15.4731,70,3141.92,24.8728,-900.722900390625
