Running Reverse KL,Reward Loss,Running Update Time,Real Det Return,Real Sto Return,Running Forward KL,Running Env Steps,Itration
19.1815,401.3717956542969,0,198.84,198.21,33.7101,0,0
18.6106,273.5446472167969,1,253.21,244.86,33.32,5000,1
28.4229,234.852294921875,2,251.82,246.76,32.8459,10000,2
20.0253,158.6437225341797,3,304.42,288.58,32.1985,15000,3
17.5864,200.63462829589844,4,366.65,324.69,31.4206,20000,4
17.3497,194.36459350585938,5,363.93,334.02,29.7213,25000,5
23.3316,91.97978210449219,6,379.11,340.08,31.6808,30000,6
18.0996,257.93670654296875,7,378.11,371.52,31.049,35000,7
17.8615,118.4681625366211,8,332.79,358.32,27.716,40000,8
22.366,-110.16516876220703,9,439.58,432.32,26.8699,45000,9
23.0142,-162.51901245117188,10,462.37,465.91,26.3121,50000,10
29.2926,-253.19403076171875,11,604.04,554.45,24.6994,55000,11
30.4231,-295.8021545410156,12,696.17,665.68,24.82,60000,12
31.2439,-355.1944580078125,13,455.18,578.01,24.9502,65000,13
15.1846,-185.54119873046875,14,479.49,848.61,23.7141,70000,14
25.8767,-350.2362365722656,15,745.85,733.54,24.1636,75000,15
20.5197,-336.0271911621094,16,720.73,837.93,24.5985,80000,16
21.7015,-329.6114807128906,17,979.37,1212.52,22.6283,85000,17
16.0641,-193.3091278076172,18,2391.99,1407.52,23.6903,90000,18
15.8668,-293.1733093261719,19,2269.81,1444.22,20.982,95000,19
11.7794,-74.31726837158203,20,2858.02,2760.39,21.1769,100000,20
13.8512,-288.1351013183594,21,953.02,1100.11,22.9929,105000,21
16.1156,-435.78997802734375,22,2136.69,1308.71,22.0784,110000,22
17.1585,-493.2257385253906,23,1353.79,1214.19,22.2991,115000,23
13.1425,-278.6781311035156,24,2299.42,1680.96,21.6263,120000,24
17.3363,-567.45556640625,25,958.23,1273.76,22.3524,125000,25
19.1143,-657.3931274414062,26,927.73,777.48,23.6892,130000,26
14.7443,-496.28057861328125,27,2974.85,1596.65,21.7819,135000,27
13.3683,-11.823320388793945,28,2947.07,2296.82,21.3686,140000,28
13.3059,-442.4308776855469,29,3032.09,1278.71,22.1766,145000,29
12.9952,-266.0609130859375,30,3057.49,1951.43,21.8863,150000,30
14.747,-242.23678588867188,31,2964.68,2193.06,22.7708,155000,31
13.7021,-290.01885986328125,32,3013.37,2425.22,21.7061,160000,32
14.5745,-607.3444213867188,33,2598.68,1698.89,21.3097,165000,33
14.2981,-440.0887145996094,34,2999.41,2144.87,21.1576,170000,34
14.0515,-76.3091049194336,35,2986.22,2731.87,21.3237,175000,35
12.955,-443.1376037597656,36,3029.03,2520.07,21.444,180000,36
13.8108,-57.88961410522461,37,3018.17,3018.42,22.0343,185000,37
14.8626,-71.24958801269531,38,2980.74,2996.7,22.4674,190000,38
14.4336,-66.79460144042969,39,2983.88,2988.76,22.311,195000,39
12.4043,-375.0615539550781,40,3037.01,2531.77,20.793,200000,40
15.121,-124.86836242675781,41,2976.24,2988.72,22.6107,205000,41
14.4385,-132.00523376464844,42,2998.71,2926.31,21.72,210000,42
14.6295,-82.92986297607422,43,2941.38,2914.89,22.7462,215000,43
16.9252,-47.468868255615234,44,3031.27,2958.29,23.8447,220000,44
14.66,-82.11661529541016,45,3064.67,3047.08,21.7581,225000,45
15.8503,-175.17706298828125,46,3049.55,3025.31,22.3752,230000,46
14.5792,-136.3453369140625,47,3070.99,3027.1,21.682,235000,47
15.2896,-149.6165771484375,48,3062.08,3024.03,22.4236,240000,48
14.6322,-139.5848388671875,49,3078.61,3060.71,22.04,245000,49
13.9451,-118.36022186279297,50,3098.2,3056.42,21.4835,250000,50
14.1194,-129.8304443359375,51,3088.82,3064.91,21.0511,255000,51
