Real Det Return,Real Sto Return,Running Reverse KL,Running Forward KL,Running Env Steps,Reward Loss,Itration,Running Update Time
228.6,226.83,17.5166,32.0496,0,-1362.4381103515625,0,0
337.82,324.21,15.4227,30.5587,5000,-779.812744140625,1,1
345.76,337.51,83.856,31.4461,10000,-1297.068603515625,2,2
403.55,361.81,40.6761,27.8287,15000,-1140.935302734375,3,3
449.55,545.75,47.1243,27.2604,20000,-1134.1424560546875,4,4
564.67,522.83,87.7614,28.737,25000,-1063.2479248046875,5,5
694.45,709.47,81.8312,25.9664,30000,-1086.5797119140625,6,6
666.62,626.43,70.7867,25.8458,35000,-1347.9796142578125,7,7
628.57,583.71,52.6094,26.6795,40000,-982.053466796875,8,8
652.45,686.9,71.2667,25.8323,45000,-1460.2821044921875,9,9
737.7,740.38,52.2239,25.4154,50000,-1445.317138671875,10,10
789.11,764.34,42.5177,25.7891,55000,-1195.27978515625,11,11
722.53,743.2,48.2925,25.8758,60000,-1127.27978515625,12,12
845.0,847.15,39.9065,24.5579,65000,-928.0227661132812,13,13
2841.11,2141.45,16.3031,23.9617,70000,-665.6424560546875,14,14
979.67,980.19,33.9961,40.2535,75000,-2400.0302734375,15,15
2858.85,2856.74,14.6574,23.8439,80000,-475.0870056152344,16,16
995.04,1891.98,18.4515,24.2079,85000,-1225.207275390625,17,17
1004.04,1002.24,47.2488,37.611,90000,-2460.78125,18,18
1020.46,1019.56,36.6787,38.0251,95000,-2536.009765625,19,19
873.85,886.03,34.473,27.9675,100000,-2042.1611328125,20,20
990.89,990.97,25.9956,37.5379,105000,-2522.56640625,21,21
26.92,26.9,166.4205,38.5054,110000,-3223.01123046875,22,22
1021.48,1027.14,22.5284,36.8696,115000,-2487.771240234375,23,23
971.07,966.01,28.5146,36.0428,120000,-2604.770751953125,24,24
1067.54,1069.81,22.9021,35.5575,125000,-2776.983154296875,25,25
769.33,762.97,36.2932,33.6075,130000,-2595.77880859375,26,26
985.86,969.24,29.225,35.3188,135000,-2894.77294921875,27,27
581.05,579.39,27.2348,29.4216,140000,-2515.94970703125,28,28
1028.37,1027.79,28.6389,35.5812,145000,-3118.51318359375,29,29
1040.38,1041.56,25.1776,34.4406,150000,-2795.003662109375,30,30
1061.6,865.48,30.0764,25.273,155000,-2363.232421875,31,31
391.45,383.46,25.0331,29.9286,160000,-2545.90234375,32,32
1042.74,1042.59,26.3619,34.0596,165000,-3116.188720703125,33,33
428.85,444.18,28.6364,31.0169,170000,-2752.715576171875,34,34
9.38,9.06,201.8145,40.8526,175000,-5671.0556640625,35,35
41.16,38.83,126.9273,35.9503,180000,-3918.09033203125,36,36
167.13,168.08,71.3332,35.4055,185000,-3364.7021484375,37,37
92.37,111.24,181.6243,35.3301,190000,-3540.874755859375,38,38
1030.26,1030.14,32.6363,36.1187,195000,-3294.916748046875,39,39
238.47,238.71,40.482,32.209,200000,-1839.6746826171875,40,40
217.03,197.88,19.2965,27.0397,205000,-527.3333129882812,41,41
778.57,867.86,16.2202,28.2225,210000,-1168.864013671875,42,42
440.54,444.35,21.0376,29.6131,215000,-1553.14013671875,43,43
247.97,215.9,82.3661,29.9017,220000,-2663.03271484375,44,44
982.3,982.51,44.9385,37.813,225000,-3512.55908203125,45,45
991.33,990.84,44.5361,37.5293,230000,-3556.119140625,46,46
989.64,989.27,35.498,37.5113,235000,-3766.986572265625,47,47
973.18,1006.95,35.6779,33.6,240000,-3576.249755859375,48,48
302.66,303.68,114.1677,30.4166,245000,-4016.0302734375,49,49
849.07,402.2,149.8815,34.6582,250000,-4396.4775390625,50,50
362.18,324.35,28.4348,32.3196,255000,-2407.174072265625,51,51
142.14,196.96,156.6286,32.126,260000,-4285.9521484375,52,52
228.07,230.75,158.9889,38.3783,265000,-4484.69189453125,53,53
10.23,9.85,151.1347,33.8138,270000,-4954.14208984375,54,54
