Real Sto Return,Running Update Time,Reward Loss,Real Det Return,Itration,Running Env Steps,Running Forward KL,Running Reverse KL
279.53,0,-1489.1217041015625,336.27,0,0,458.0442,274.0584
326.85,1,-1036.9210205078125,331.83,1,5000,454.6377,299.1689
379.79,2,64.90025329589844,362.95,2,10000,445.1132,267.5764
433.65,3,-3450.536865234375,487.62,3,15000,446.0693,241.7364
437.9,4,-4474.27734375,496.57,4,20000,440.0586,227.9241
454.49,5,-6425.72705078125,444.57,5,25000,424.927,221.8157
455.59,6,-6192.71142578125,524.11,6,30000,424.7668,250.067
464.29,7,-8773.169921875,570.0,7,35000,428.1511,271.5186
439.13,8,-9861.873046875,406.58,8,40000,439.3526,287.61
478.33,9,-11506.5146484375,446.95,9,45000,426.902,314.1222
464.71,10,-12269.1953125,457.64,10,50000,422.1435,330.783
522.62,11,-12335.7080078125,586.84,11,55000,424.5483,318.4726
555.74,12,-13408.466796875,480.58,12,60000,417.1485,336.2577
490.33,13,-14521.2744140625,499.69,13,65000,428.6895,313.7834
490.88,14,-16719.185546875,480.96,14,70000,422.2351,351.7708
460.71,15,-18121.146484375,444.46,15,75000,419.1244,340.8779
512.36,16,-17791.330078125,494.05,16,80000,409.7172,343.444
499.0,17,-18029.84765625,558.09,17,85000,411.5645,327.6924
580.99,18,-16109.84765625,486.43,18,90000,399.1515,310.7226
559.13,19,-19488.451171875,592.77,19,95000,405.6671,314.2496
527.52,20,-15453.533203125,539.86,20,100000,407.347,299.529
582.16,21,-21117.0390625,438.22,21,105000,405.3017,348.7289
559.21,22,-19337.38671875,413.83,22,110000,402.9369,311.6804
530.77,23,-21659.93359375,635.73,23,115000,404.546,321.4888
588.5,24,-19600.1484375,663.53,24,120000,398.425,273.1859
706.23,25,-22481.640625,452.41,25,125000,408.4756,289.0918
576.74,26,-26687.7890625,547.45,26,130000,405.6711,321.5645
516.11,27,-23435.130859375,400.87,27,135000,408.4971,278.8594
747.92,28,-24008.087890625,613.65,28,140000,383.8783,304.3419
757.16,29,-25073.865234375,642.31,29,145000,384.0349,290.8793
772.43,30,-25124.83984375,737.08,30,150000,379.5126,279.9279
826.02,31,-26776.349609375,664.14,31,155000,384.1352,314.2121
766.35,32,-24373.8515625,700.17,32,160000,375.935,271.9776
769.47,33,-27447.94921875,692.89,33,165000,380.0819,279.1508
1008.9,34,-28476.12890625,655.22,34,170000,372.7045,273.1099
919.31,35,-26376.173828125,758.59,35,175000,393.6493,292.3149
774.01,36,-28458.462890625,908.81,36,180000,369.1024,267.4167
929.11,37,-26254.296875,1013.04,37,185000,360.5931,248.4602
1099.98,38,-27330.701171875,619.38,38,190000,361.7299,249.6423
1096.4,39,-27768.060546875,663.23,39,195000,368.6512,246.3411
761.27,40,-33008.08984375,715.69,40,200000,362.4747,311.6484
785.32,41,-31061.548828125,650.83,41,205000,373.0057,281.9802
937.32,42,-33576.85546875,606.72,42,210000,355.925,307.5158
787.99,43,-34153.07421875,730.39,43,215000,367.4489,308.8546
1252.43,44,-27975.677734375,727.36,44,220000,354.6658,259.4741
1055.86,45,-30327.45703125,919.16,45,225000,344.0896,282.142
919.12,46,-32261.107421875,856.37,46,230000,353.5552,273.3529
1269.66,47,-29495.892578125,771.9,47,235000,347.1566,247.1378
1137.15,48,-34682.73828125,883.98,48,240000,349.4554,264.7165
850.97,49,-31820.544921875,535.32,49,245000,358.4698,295.6448
1093.3,50,-29488.9375,636.02,50,250000,341.3877,226.1111
1542.47,51,-31059.51953125,915.51,51,255000,347.0267,230.1704
1965.87,52,-26086.482421875,921.89,52,260000,325.4251,216.7039
1611.1,53,-28113.279296875,817.89,53,265000,329.1617,216.5235
1598.69,54,-26348.283203125,914.19,54,270000,328.7082,246.2047
2765.41,55,-25154.2421875,1624.19,55,275000,328.3314,230.247
2476.73,56,-18522.45703125,983.48,56,280000,312.981,171.5186
2301.11,57,-26384.9296875,1471.96,57,285000,311.0854,188.1775
1961.2,58,-25874.802734375,810.88,58,290000,308.7445,201.9266
3203.34,59,-16102.0458984375,2391.61,59,295000,300.9026,116.4205
2982.95,60,-26536.669921875,1387.19,60,300000,326.1936,210.921
2798.25,61,-23258.248046875,973.54,61,305000,317.0949,213.4127
4198.9,62,-20561.421875,2157.16,62,310000,306.8725,151.241
2449.53,63,-26580.376953125,2900.18,63,315000,306.6186,172.7165
4235.33,64,-18207.857421875,4038.75,64,320000,300.4337,145.7706
2125.01,65,-23003.669921875,1042.67,65,325000,302.6447,164.9711
3072.21,66,-26211.01953125,913.42,66,330000,301.2629,184.4075
3596.47,67,-26954.498046875,4471.79,67,335000,303.8094,159.0415
2922.7,68,-30984.560546875,3438.31,68,340000,309.8841,184.9072
3674.2,69,-27384.3984375,1229.94,69,345000,304.8162,162.0076
2322.73,70,-29869.404296875,1401.24,70,350000,309.6523,177.7421
4847.81,71,-21080.482421875,4605.09,71,355000,294.8757,109.9892
3209.44,72,-21893.1796875,2585.18,72,360000,295.0552,112.3378
3460.23,73,-23757.671875,2899.65,73,365000,296.4368,132.7802
4394.43,74,-27441.767578125,4668.39,74,370000,304.7194,141.9083
4184.76,75,-25281.76171875,4422.5,75,375000,298.0958,149.413
2991.8,76,-24989.45703125,3124.44,76,380000,300.9764,124.2073
4222.99,77,-27923.443359375,4976.44,77,385000,299.6613,135.0981
4117.65,78,-26357.4765625,3424.41,78,390000,301.4812,118.6418
3452.22,79,-31836.138671875,2510.97,79,395000,313.1718,163.4531
2120.85,80,-30255.8046875,2353.08,80,400000,304.0601,142.2885
2513.82,81,-34132.38671875,1896.98,81,405000,310.8308,172.3352
3462.45,82,-33536.0234375,1941.38,82,410000,302.3992,171.7873
3783.89,83,-31214.099609375,1331.32,83,415000,299.1453,144.7271
3221.36,84,-30574.416015625,2061.63,84,420000,306.9574,153.0515
3159.72,85,-27337.060546875,1289.66,85,425000,290.2493,109.9749
3914.76,86,-40282.45703125,1843.65,86,430000,311.3485,217.443
3355.75,87,-36424.9921875,2106.08,87,435000,309.2843,180.1528
4795.42,88,-28941.99609375,3208.98,88,440000,293.4913,110.5188
5201.55,89,-32768.48828125,4132.33,89,445000,299.4401,144.0983
2923.97,90,-33091.9140625,3662.77,90,450000,291.2624,128.6865
4697.07,91,-29826.533203125,4695.07,91,455000,290.4713,106.7431
5091.82,92,-26778.04296875,4839.64,92,460000,285.8424,92.6085
3951.87,93,-29406.04296875,5359.78,93,465000,290.5335,99.1384
4433.71,94,-30390.8828125,5324.74,94,470000,298.611,119.35
2780.68,95,-30490.57421875,4421.09,95,475000,299.4532,129.0985
