Running Update Time,Reward Loss,Running Env Steps,Itration,Real Sto Return,Real Det Return,Running Reverse KL,Running Forward KL
0,438.3228454589844,0,0,376.1,454.23,12.1985,49.1368
1,425.253662109375,5000,1,292.53,354.02,16.2544,49.5205
2,373.70452880859375,10000,2,261.3,451.67,15.9638,49.5887
3,747.2557373046875,15000,3,386.05,398.9,18.6642,49.4841
4,2.2600762844085693,20000,4,602.73,854.73,40.7519,48.4763
5,190.66737365722656,25000,5,534.2,612.76,20.4278,48.4079
6,232.38717651367188,30000,6,581.84,867.76,13.5177,48.0186
7,36.39812469482422,35000,7,662.18,688.68,12.8655,48.0574
8,-11.61643123626709,40000,8,1295.43,2022.07,12.6124,47.9437
9,-215.05770874023438,45000,9,1826.29,2345.79,14.9026,47.5788
10,-134.58673095703125,50000,10,1862.74,2123.12,12.7915,46.3625
11,-71.14288330078125,55000,11,1330.53,1988.6,12.1725,45.7924
12,-253.64163208007812,60000,12,911.42,1381.68,12.5267,45.8783
13,-343.9386291503906,65000,13,1584.65,2727.53,12.9733,45.2927
14,-300.337158203125,70000,14,1107.94,2285.77,12.9945,45.2754
15,-406.58563232421875,75000,15,2148.3,2571.53,14.5175,45.5032
16,-543.4947509765625,80000,16,1902.39,2551.62,14.6934,46.0432
17,-463.1763610839844,85000,17,1468.33,2766.1,13.6795,45.4949
18,-458.50079345703125,90000,18,2041.74,2543.34,13.2065,45.2688
19,-689.9852294921875,95000,19,2221.56,2526.77,14.4642,46.3648
20,-885.4058227539062,100000,20,1695.0,2677.97,20.6889,45.4065
21,-978.149658203125,105000,21,2013.05,1794.63,23.0158,45.2755
22,-692.224853515625,110000,22,2644.54,2841.34,15.9319,45.2424
23,-798.4827880859375,115000,23,2360.88,2653.23,20.7593,44.8287
24,-955.4140014648438,120000,24,2423.85,3057.13,26.8386,44.713
25,-849.2449340820312,125000,25,2677.89,3049.76,21.1974,45.0443
26,-748.5651245117188,130000,26,2547.92,2886.52,16.0819,45.63
27,-770.290283203125,135000,27,2836.04,2974.58,14.5608,44.8356
28,-828.4854125976562,140000,28,3182.0,3282.56,17.8289,44.9302
29,-957.42724609375,145000,29,3336.15,3478.13,22.3164,44.6382
30,-917.5098876953125,150000,30,3276.56,3255.06,17.5246,45.0603
31,-882.581787109375,155000,31,3264.6,3100.19,16.8454,44.4497
32,-949.193603515625,160000,32,3346.1,3441.14,17.7674,44.5212
