Running Env Steps,Real Det Return,Running Forward KL,Real Sto Return,Running Reverse KL,Reward Loss,Itration,Running Update Time
0,376.05,74.2895,-41.09,27.1671,12.090682983398438,0,0
5000,478.76,73.1698,-50.01,26.9946,9.786744117736816,1,1
10000,537.01,73.8173,-50.86,28.2911,4.428647518157959,2,2
15000,500.44,72.4893,-24.57,28.5394,-9.842306137084961,3,3
20000,661.01,72.222,38.74,30.1474,-14.797709465026855,4,4
25000,628.16,70.7014,64.2,30.9943,-34.65618133544922,5,5
30000,665.32,72.6406,94.63,33.0758,-40.036163330078125,6,6
35000,744.51,72.4959,162.22,33.0558,-55.78862762451172,7,7
40000,844.72,70.7131,265.01,33.6832,-60.277618408203125,8,8
45000,916.8,70.6518,254.05,33.2835,-68.1379623413086,9,9
50000,784.0,71.8469,232.99,34.031,-83.99224090576172,10,10
55000,766.85,70.2257,233.77,32.6525,-92.72651672363281,11,11
60000,870.31,71.1841,227.58,32.9844,-107.81697845458984,12,12
65000,900.6,69.4017,251.31,32.7807,-116.10466003417969,13,13
70000,1074.06,69.2907,314.03,32.8562,-129.24441528320312,14,14
75000,1030.15,70.3173,281.15,32.1943,-138.76834106445312,15,15
80000,980.78,70.9087,190.0,31.5236,-157.7741241455078,16,16
85000,1001.5,68.4369,212.52,30.7725,-165.0648193359375,17,17
90000,745.82,71.469,243.22,32.2359,-182.2463836669922,18,18
95000,858.22,71.1784,193.98,31.6258,-194.63844299316406,19,19
100000,1047.91,68.5567,261.25,31.3785,-202.82167053222656,20,20
105000,1112.72,68.2773,336.06,30.9781,-213.3349151611328,21,21
110000,1025.49,69.2293,266.37,30.7717,-229.69041442871094,22,22
115000,1092.14,69.9133,274.66,31.4132,-238.2311248779297,23,23
120000,1141.02,68.7217,327.73,30.4707,-250.36329650878906,24,24
125000,912.83,70.3411,217.7,31.3556,-270.58282470703125,25,25
130000,1065.54,69.715,289.0,31.4193,-280.68585205078125,26,26
135000,1043.39,67.6601,313.24,29.5807,-287.47064208984375,27,27
140000,997.46,70.8611,300.75,31.4875,-309.28778076171875,28,28
145000,897.7,68.6237,287.1,30.2428,-316.65875244140625,29,29
