Real Det Return,Running Env Steps,Real Sto Return,Running Reverse KL,Reward Loss,Running Forward KL,Itration,Running Update Time
290.8,0,-52.25,26.8052,42.31205749511719,75.0221,0,0
309.48,5000,-19.56,26.1461,32.84197998046875,74.7928,1,1
535.77,10000,-12.41,27.9605,22.359943389892578,74.8771,2,2
645.44,15000,-10.55,27.7185,12.19698429107666,75.3298,3,3
598.29,20000,35.01,28.8414,3.7265195846557617,73.8225,4,4
417.2,25000,55.81,27.9705,-6.612071990966797,72.6926,5,5
615.41,30000,66.84,29.2645,-26.389259338378906,73.4405,6,6
554.34,35000,75.25,29.0648,-34.47065734863281,73.0351,7,7
612.77,40000,88.73,29.4973,-44.069236755371094,72.7184,8,8
634.27,45000,100.2,29.4838,-58.290924072265625,72.3577,9,9
647.29,50000,75.58,30.3959,-65.7600326538086,73.7314,10,10
642.14,55000,100.51,30.0441,-76.82970428466797,73.5415,11,11
623.05,60000,120.56,31.1195,-90.63536071777344,75.336,12,12
428.6,65000,87.28,30.8261,-100.73988342285156,74.0754,13,13
682.26,70000,122.69,30.7062,-115.2008056640625,73.1554,14,14
456.08,75000,108.0,29.1843,-121.72869110107422,70.9784,15,15
284.78,80000,125.82,30.3622,-132.4914093017578,72.6,16,16
660.34,85000,135.39,29.7386,-142.2480926513672,71.6926,17,17
531.11,90000,113.09,30.112,-157.85009765625,73.8726,18,18
596.55,95000,157.71,30.1841,-169.01760864257812,72.1259,19,19
811.07,100000,142.5,30.4532,-182.25877380371094,72.8245,20,20
518.07,105000,158.18,30.4086,-194.47348022460938,72.7957,21,21
583.68,110000,125.9,30.1924,-210.21914672851562,72.7742,22,22
604.72,115000,108.57,30.0042,-217.75218200683594,71.8759,23,23
421.33,120000,120.82,30.0101,-228.29306030273438,71.3789,24,24
233.63,125000,140.13,30.7989,-247.0792999267578,74.0384,25,25
517.11,130000,216.52,30.3846,-252.4246826171875,72.3737,26,26
490.3,135000,193.29,31.0073,-266.6453552246094,73.5599,27,27
677.0,140000,243.22,30.5684,-283.7024230957031,71.5297,28,28
464.33,145000,147.82,30.7073,-288.3931579589844,71.0033,29,29
695.1,150000,199.53,30.3308,-299.5623779296875,71.1353,30,30
463.3,155000,117.93,30.0776,-316.5204162597656,71.275,31,31
641.9,160000,186.05,28.9272,-311.90008544921875,68.9277,32,32
485.21,165000,140.32,29.8745,-340.8959045410156,71.5391,33,33
767.49,170000,209.67,31.1012,-352.13043212890625,73.2466,34,34
538.64,175000,156.08,30.1471,-366.7115478515625,72.01,35,35
617.61,180000,170.45,31.0725,-383.8539123535156,72.8468,36,36
820.69,185000,254.43,29.0399,-378.69281005859375,68.8211,37,37
918.21,190000,190.41,29.8522,-395.19329833984375,70.4183,38,38
754.63,195000,255.5,30.0483,-397.14508056640625,69.5646,39,39
695.3,200000,210.65,31.1642,-431.31072998046875,72.3547,40,40
923.68,205000,242.11,29.8722,-430.01080322265625,69.6068,41,41
488.09,210000,218.62,30.9618,-460.7486572265625,70.973,42,42
670.67,215000,272.85,30.2598,-470.3822937011719,71.4515,43,43
593.78,220000,172.0,30.7253,-480.9408874511719,73.2305,44,44
753.04,225000,171.95,29.9504,-488.1436462402344,71.1632,45,45
782.86,230000,254.96,30.0828,-513.2005004882812,72.0798,46,46
723.2,235000,278.24,30.1628,-516.2345581054688,70.3298,47,47
926.45,240000,192.52,30.5472,-537.9929809570312,71.6243,48,48
925.45,245000,282.61,30.4483,-548.7416381835938,71.8939,49,49
927.39,250000,349.33,30.7841,-562.8327026367188,71.7362,50,50
908.2,255000,252.01,31.3214,-577.4181518554688,71.381,51,51
791.74,260000,212.05,31.3557,-599.6124267578125,71.0271,52,52
744.79,265000,205.36,30.8377,-609.2205200195312,71.126,53,53
996.51,270000,254.67,30.8319,-617.9422607421875,71.8681,54,54
847.83,275000,315.85,30.5522,-641.6862182617188,71.7605,55,55
614.55,280000,227.97,31.1263,-656.2805786132812,72.2154,56,56
1001.47,285000,301.3,30.301,-673.1670532226562,72.0342,57,57
887.09,290000,359.2,30.4478,-681.3695068359375,69.6314,58,58
830.05,295000,420.55,30.2349,-691.0199584960938,70.3602,59,59
889.67,300000,260.27,30.9461,-729.8475952148438,70.5952,60,60
893.62,305000,246.35,29.0227,-717.921875,69.176,61,61
1133.37,310000,361.47,30.6575,-753.8745727539062,70.6367,62,62
736.79,315000,284.05,29.7884,-738.6535034179688,67.5944,63,63
1005.5,320000,343.56,30.2683,-790.899658203125,71.3668,64,64
788.97,325000,267.02,29.4011,-782.1275024414062,68.7141,65,65
904.92,330000,381.97,30.0087,-812.4950561523438,69.4069,66,66
1003.96,335000,309.66,29.6641,-816.0550537109375,69.265,67,67
533.56,340000,286.13,29.5111,-845.9220581054688,69.8179,68,68
531.34,345000,293.34,29.8404,-841.9134521484375,68.5649,69,69
626.01,350000,335.34,29.4399,-866.224365234375,69.0794,70,70
820.24,355000,251.88,29.6736,-893.3275146484375,70.797,71,71
846.6,360000,326.93,30.2206,-916.8408813476562,70.4391,72,72
951.4,365000,264.49,30.644,-951.6289672851562,72.4034,73,73
1455.28,370000,430.13,29.2236,-918.4907836914062,68.0091,74,74
817.04,375000,237.73,30.6905,-986.0919799804688,71.3859,75,75
886.08,380000,348.24,29.7933,-985.8514404296875,69.5351,76,76
507.87,385000,224.38,30.5706,-1034.8072509765625,72.8034,77,77
472.56,390000,350.01,30.1985,-1032.0509033203125,69.4468,78,78
700.83,395000,383.49,29.5077,-1014.160888671875,67.0882,79,79
886.33,400000,371.72,29.114,-1011.7817993164062,67.2285,80,80
904.22,405000,377.47,30.7483,-1068.9776611328125,68.1965,81,81
1351.52,410000,520.81,28.695,-1054.4864501953125,66.4281,82,82
1419.79,415000,655.99,28.7956,-1075.8038330078125,67.3879,83,83
788.88,420000,422.88,29.6854,-1133.5186767578125,68.4321,84,84
810.96,425000,373.76,28.9844,-1087.4207763671875,66.5456,85,85
1052.13,430000,433.56,29.924,-1197.4989013671875,70.4304,86,86
1182.49,435000,432.14,29.4694,-1164.0904541015625,67.5476,87,87
1039.93,440000,508.92,29.9643,-1234.87646484375,69.5759,88,88
1110.86,445000,541.35,29.6512,-1254.32958984375,69.2048,89,89
749.9,450000,565.51,29.1128,-1247.255126953125,68.3998,90,90
573.83,455000,410.84,29.3164,-1235.6307373046875,67.2588,91,91
1161.83,460000,674.19,30.5091,-1218.91455078125,67.1357,92,92
1208.36,465000,635.1,29.7319,-1308.7796630859375,68.6233,93,93
690.25,470000,314.46,28.8849,-1338.7762451171875,68.5814,94,94
992.54,475000,565.45,30.0476,-1336.8211669921875,68.2071,95,95
1436.04,480000,480.09,29.6167,-1358.175048828125,67.9293,96,96
778.89,485000,264.3,29.1557,-1403.238525390625,68.7778,97,97
915.52,490000,578.27,30.3716,-1345.991943359375,66.6139,98,98
1329.86,495000,777.53,30.3246,-1358.6561279296875,65.9125,99,99
1575.18,500000,534.67,29.3281,-1469.3543701171875,68.3466,100,100
1890.97,505000,754.56,30.2699,-1397.2591552734375,66.163,101,101
1506.9,510000,694.56,28.9414,-1469.1649169921875,67.5349,102,102
1520.58,515000,561.58,29.7288,-1498.531982421875,67.3973,103,103
1919.16,520000,688.49,28.6695,-1449.2962646484375,64.4021,104,104
512.34,525000,253.75,27.8783,-1580.7987060546875,67.5362,105,105
1754.19,530000,468.65,28.4751,-1588.198486328125,67.8142,106,106
1433.84,535000,504.78,29.064,-1569.8514404296875,66.0826,107,107
1494.48,540000,582.76,29.8774,-1543.28662109375,65.2315,108,108
1379.01,545000,717.58,29.0679,-1647.3533935546875,67.3254,109,109
1436.41,550000,726.61,29.914,-1706.891845703125,69.0255,110,110
1192.38,555000,447.17,27.959,-1685.4476318359375,65.9467,111,111
1353.12,560000,498.11,28.5501,-1800.9677734375,69.1341,112,112
2020.63,565000,920.03,32.1971,-1590.207275390625,66.6679,113,113
1131.55,570000,471.94,28.5888,-1791.350341796875,68.4031,114,114
1591.11,575000,801.22,33.5502,-1649.7347412109375,66.3324,115,115
1736.8,580000,682.83,28.9815,-1855.3472900390625,67.4696,116,116
1602.66,585000,717.05,29.6854,-1807.0689697265625,68.2074,117,117
2090.35,590000,882.08,31.2131,-1746.3404541015625,65.5266,118,118
1062.27,595000,456.28,28.6249,-1972.7530517578125,67.2112,119,119
1505.85,600000,789.24,30.9208,-1884.4320068359375,66.7935,120,120
1227.16,605000,830.77,31.5191,-1866.248046875,66.132,121,121
907.78,610000,737.36,29.8889,-1983.3004150390625,66.971,122,122
1698.44,615000,754.04,30.014,-1918.2884521484375,66.0305,123,123
1066.21,620000,684.92,27.5209,-2072.5703125,66.3884,124,124
1673.54,625000,704.99,28.9368,-2052.577880859375,65.5897,125,125
1483.95,630000,891.74,29.9884,-2022.2330322265625,65.7141,126,126
1458.57,635000,729.04,27.6456,-2027.050537109375,64.2322,127,127
797.55,640000,522.33,28.5055,-2268.216796875,68.5491,128,128
1945.98,645000,862.87,28.504,-2081.985107421875,66.0733,129,129
1700.24,650000,998.58,33.1735,-2100.18359375,67.7532,130,130
1817.45,655000,974.82,33.164,-2064.35498046875,67.0308,131,131
1199.17,660000,588.67,26.8586,-2217.0390625,65.0524,132,132
887.54,665000,714.86,28.4164,-2241.86181640625,66.0001,133,133
1976.71,670000,820.78,31.5749,-2166.85888671875,65.975,134,134
1551.08,675000,609.95,27.2604,-2397.738525390625,65.6024,135,135
1540.9,680000,852.12,29.8745,-2343.01220703125,66.0498,136,136
1267.69,685000,845.43,27.8512,-2341.075927734375,66.0413,137,137
1634.91,690000,695.92,28.8689,-2409.029296875,66.013,138,138
1449.85,695000,546.58,27.3953,-2506.32861328125,66.8426,139,139
913.25,700000,555.52,26.9182,-2449.41064453125,65.2928,140,140
2576.59,705000,1281.24,28.5507,-2400.75,64.4236,141,141
1533.57,710000,773.78,26.969,-2455.14404296875,65.2827,142,142
1603.33,715000,698.6,27.9377,-2626.4482421875,65.6785,143,143
932.89,720000,437.29,27.8831,-2673.8974609375,66.9323,144,144
859.49,725000,328.78,27.8966,-2794.19970703125,67.6514,145,145
1063.23,730000,468.92,26.9086,-2807.658935546875,66.2664,146,146
893.01,735000,673.18,28.8451,-2750.154296875,67.3987,147,147
757.36,740000,613.37,28.1813,-2871.31787109375,68.3965,148,148
885.96,745000,576.07,29.0672,-2861.850341796875,67.3858,149,149
728.33,750000,322.36,28.1339,-2931.060546875,67.3591,150,150
1217.12,755000,750.13,29.7858,-2971.5146484375,68.3196,151,151
2220.81,760000,1215.54,35.1804,-2612.78466796875,65.7556,152,152
1000.54,765000,678.03,26.8495,-2888.6728515625,64.6586,153,153
1364.83,770000,901.62,27.7864,-2963.63427734375,65.0482,154,154
2374.16,775000,1451.14,38.3458,-2610.438232421875,69.9645,155,155
1446.61,780000,817.4,29.9004,-2963.331298828125,66.3928,156,156
988.53,785000,492.05,27.7366,-3183.2607421875,67.4823,157,157
1023.11,790000,511.46,27.6151,-3234.100341796875,67.2404,158,158
1091.42,795000,538.87,28.2407,-3226.33544921875,67.0423,159,159
1565.37,800000,889.86,28.3777,-3053.470947265625,64.9565,160,160
1230.03,805000,699.42,28.124,-3454.3701171875,68.0609,161,161
1944.95,810000,1109.56,31.9719,-3164.559814453125,67.2654,162,162
2205.28,815000,1036.05,31.304,-2910.846923828125,64.2654,163,163
1878.82,820000,942.6,29.2606,-3409.495849609375,67.1519,164,164
1541.14,825000,1345.83,31.6681,-3243.447021484375,66.6175,165,165
1425.22,830000,673.96,30.5269,-3357.064453125,66.8004,166,166
1912.11,835000,1314.59,32.7825,-3382.4208984375,67.3117,167,167
2361.17,840000,1247.5,34.5764,-3188.647705078125,66.3862,168,168
1440.47,845000,755.14,30.3634,-3512.8408203125,67.4504,169,169
860.59,850000,529.26,27.9165,-3813.7880859375,68.3151,170,170
2404.7,855000,998.69,30.8058,-3438.998046875,65.1367,171,171
2529.52,860000,1553.7,31.6976,-3440.215087890625,65.8065,172,172
2212.31,865000,1504.13,31.1499,-3597.26611328125,67.2204,173,173
1340.32,870000,540.77,28.1532,-3801.009033203125,67.4913,174,174
2728.58,875000,1842.8,42.575,-3104.75634765625,69.7746,175,175
2381.37,880000,1208.81,28.881,-3689.599853515625,66.3411,176,176
1808.36,885000,1126.19,27.7389,-3826.885986328125,65.9385,177,177
1243.09,890000,557.31,27.5403,-4111.97705078125,67.1213,178,178
1917.9,895000,1593.38,32.4665,-3668.759765625,65.7228,179,179
2005.62,900000,1529.87,32.7182,-3545.81201171875,65.3502,180,180
2430.77,905000,2117.05,39.2653,-3352.662353515625,67.9629,181,181
2570.05,910000,1787.72,34.1143,-3657.4697265625,67.1199,182,182
2701.99,915000,1605.41,35.733,-3784.91357421875,67.1793,183,183
2207.2,920000,1554.48,32.0641,-3870.1982421875,64.6836,184,184
2010.47,925000,1216.25,31.6123,-3815.754150390625,65.6948,185,185
2434.24,930000,1554.54,34.2293,-3768.66064453125,66.8014,186,186
2459.33,935000,1795.63,39.56,-3641.539306640625,68.7418,187,187
2245.88,940000,1369.98,32.8575,-4076.69580078125,66.8228,188,188
2979.11,945000,1594.14,41.159,-3594.590576171875,69.5714,189,189
2230.21,950000,1482.12,31.0071,-4129.11865234375,65.7412,190,190
2051.37,955000,1450.47,30.3337,-4566.39892578125,67.179,191,191
2792.67,960000,1961.71,50.7262,-3959.633056640625,72.6062,192,192
2548.59,965000,1996.67,39.0896,-4090.86181640625,67.7246,193,193
2302.42,970000,1474.49,35.9286,-3841.2880859375,65.958,194,194
1827.51,975000,1361.33,30.3482,-4524.50244140625,66.6989,195,195
2744.23,980000,2177.47,46.9102,-4099.328125,71.8167,196,196
2362.56,985000,1710.32,36.9944,-4437.07275390625,67.9814,197,197
2896.82,990000,1755.01,29.4599,-4512.37841796875,65.2676,198,198
2360.18,995000,1576.58,40.4505,-4507.58349609375,69.5695,199,199
1969.16,1000000,1062.22,35.2235,-4678.02490234375,68.7019,200,200
2238.09,1005000,1922.13,32.8213,-4861.4140625,67.4529,201,201
2211.16,1010000,1289.43,34.4822,-4726.17236328125,68.983,202,202
1729.63,1015000,1458.44,29.6518,-5049.19970703125,68.1117,203,203
1926.3,1020000,1498.04,31.3534,-5006.06494140625,67.0583,204,204
2044.66,1025000,1409.42,36.9544,-4505.92822265625,69.2827,205,205
1374.55,1030000,1358.93,34.5991,-4772.10986328125,67.436,206,206
1959.7,1035000,1418.5,32.0988,-4926.501953125,66.9301,207,207
2292.6,1040000,1139.92,33.1333,-5023.990234375,68.1957,208,208
2274.41,1045000,1810.31,39.3545,-4678.56298828125,68.0492,209,209
2453.78,1050000,1955.77,37.6,-4553.0419921875,68.3596,210,210
1877.51,1055000,1169.89,31.8395,-4972.31591796875,66.513,211,211
1599.78,1060000,1258.02,36.0008,-4755.47998046875,67.1529,212,212
1887.61,1065000,916.81,30.5176,-5172.7841796875,66.5862,213,213
2366.04,1070000,1367.95,36.5532,-4844.73193359375,68.4571,214,214
1718.19,1075000,1430.01,27.7411,-5753.8359375,67.1404,215,215
1654.32,1080000,1304.81,31.7582,-5121.734375,67.0578,216,216
953.3,1085000,820.07,27.6218,-5791.26953125,66.3239,217,217
1825.29,1090000,903.55,28.5592,-5638.25830078125,66.5855,218,218
3037.63,1095000,1511.06,29.5035,-5764.5341796875,65.9946,219,219
1981.92,1100000,717.78,29.9978,-5707.037109375,66.651,220,220
2077.01,1105000,1469.4,31.2702,-5441.00537109375,67.1308,221,221
2259.14,1110000,1534.87,32.6461,-5579.11181640625,66.5656,222,222
2429.93,1115000,1662.01,28.4249,-6324.1142578125,67.607,223,223
2520.38,1120000,1363.46,31.315,-5638.01171875,67.0979,224,224
2863.23,1125000,1771.63,41.0054,-5054.3935546875,69.313,225,225
2758.28,1130000,1619.42,31.1667,-5886.75048828125,67.0438,226,226
2824.08,1135000,2259.76,30.673,-5930.2294921875,66.3175,227,227
2510.63,1140000,1694.92,29.3998,-6377.15087890625,67.2981,228,228
1896.88,1145000,816.5,28.6954,-6721.4501953125,67.4938,229,229
1979.87,1150000,1280.02,32.9211,-5849.1484375,67.6352,230,230
1511.92,1155000,1057.81,29.6997,-6375.2685546875,66.6903,231,231
1640.64,1160000,1078.24,36.2189,-5970.00244140625,67.7702,232,232
2334.63,1165000,2323.81,33.2903,-6009.2412109375,67.4049,233,233
2087.43,1170000,1381.94,29.2079,-6840.96142578125,67.7484,234,234
2444.71,1175000,1580.26,32.6269,-6255.21533203125,67.5636,235,235
3496.5,1180000,1961.88,37.4604,-5911.291015625,68.0484,236,236
2769.99,1185000,1947.56,37.5908,-5723.08544921875,68.479,237,237
2775.29,1190000,2071.58,37.9798,-6245.29443359375,67.7777,238,238
1308.23,1195000,1057.54,30.5176,-6818.38525390625,67.2815,239,239
1908.78,1200000,1105.88,29.6921,-6887.0,67.0891,240,240
3812.0,1205000,2133.9,42.8806,-5562.94140625,69.9604,241,241
2348.94,1210000,1798.38,34.5418,-6049.84423828125,67.2897,242,242
3117.5,1215000,1941.18,36.1132,-6364.19677734375,67.8943,243,243
2346.26,1220000,1655.66,34.336,-6233.15966796875,66.9352,244,244
3776.62,1225000,2057.82,47.9348,-5399.4697265625,72.519,245,245
2370.22,1230000,1857.48,38.9953,-6190.82666015625,67.6681,246,246
3430.97,1235000,1961.1,39.0146,-6409.97021484375,67.9189,247,247
2709.25,1240000,1727.46,42.2947,-6117.10791015625,69.3049,248,248
4004.87,1245000,2508.86,45.2735,-5983.61279296875,71.299,249,249
2887.77,1250000,2025.42,34.8792,-6644.05224609375,68.0108,250,250
3274.99,1255000,2743.88,39.0535,-6289.8046875,69.4385,251,251
4174.79,1260000,3004.13,42.6757,-6135.07568359375,69.24,252,252
3575.07,1265000,2788.53,46.6451,-6276.69189453125,70.9869,253,253
2900.38,1270000,2156.08,31.2483,-7243.71142578125,67.4619,254,254
3593.37,1275000,2431.83,48.7156,-5639.32666015625,73.9103,255,255
3595.55,1280000,2571.72,41.5707,-6218.6640625,69.1432,256,256
2934.75,1285000,2216.34,38.3211,-6321.3251953125,67.0914,257,257
3154.22,1290000,2943.42,50.1377,-5367.06201171875,77.0105,258,258
3149.03,1295000,2655.88,46.8351,-5668.86083984375,71.1631,259,259
2754.11,1300000,2425.15,36.4118,-6722.0869140625,67.4264,260,260
3122.04,1305000,2303.43,53.5232,-5465.47900390625,79.451,261,261
2919.65,1310000,3011.37,43.633,-5865.74853515625,70.7748,262,262
2991.61,1315000,2309.49,36.0197,-7208.03076171875,67.6742,263,263
3081.3,1320000,2378.85,39.883,-6414.17529296875,69.4506,264,264
3462.33,1325000,2136.04,37.3437,-6948.06787109375,67.3476,265,265
3441.35,1330000,2250.72,38.8506,-7021.751953125,68.2702,266,266
3087.63,1335000,2033.76,37.4644,-6752.03759765625,68.1079,267,267
3622.92,1340000,3189.25,39.5667,-6649.1201171875,67.9212,268,268
3896.63,1345000,3119.63,49.2211,-6284.76806640625,72.1124,269,269
3639.18,1350000,2645.45,41.074,-6827.2001953125,69.6886,270,270
3703.6,1355000,2764.59,41.652,-6792.70703125,69.1422,271,271
3244.51,1360000,2610.84,50.3834,-6136.4189453125,72.5964,272,272
