Running Update Time,Real Sto Return,Reward Loss,Running Env Steps,Itration,Running Reverse KL,Real Det Return,Running Forward KL
0,196.96,-1450.634033203125,0,0,22.9997,195.02,34.1174
1,271.98,-1504.66455078125,5000,1,26.8312,269.04,34.3545
2,267.88,-1538.530029296875,10000,2,20.4238,260.73,32.0819
3,309.26,-1460.2633056640625,15000,3,21.6536,311.45,33.3934
4,320.23,-1494.423583984375,20000,4,26.8249,320.71,33.3589
5,314.3,-1521.40625,25000,5,26.2765,313.49,32.2114
6,325.18,-1487.9970703125,30000,6,18.4842,327.74,31.4867
7,316.29,-1546.212158203125,35000,7,18.3219,321.49,31.4994
8,329.1,-1604.7742919921875,40000,8,18.3991,338.14,31.0354
9,330.47,-1670.8502197265625,45000,9,20.1364,344.87,31.5485
10,393.78,-1660.4124755859375,50000,10,17.7684,394.48,31.5459
11,453.35,-1609.330322265625,55000,11,17.5787,452.91,29.7988
12,414.66,-1741.062255859375,60000,12,18.6557,398.34,29.9497
13,435.75,-1829.351806640625,65000,13,17.8765,412.79,29.7106
14,533.53,-1765.4136962890625,70000,14,19.3338,541.45,28.4739
15,631.64,-1769.7423095703125,75000,15,19.7204,678.88,28.0034
16,742.25,-1797.3634033203125,80000,16,19.7646,665.62,28.9639
17,724.49,-1890.0439453125,85000,17,20.5828,729.55,28.5997
18,579.9,-2033.7142333984375,90000,18,27.3964,621.41,28.1938
19,592.43,-1988.5272216796875,95000,19,24.1053,641.73,27.2366
20,833.99,-1940.512451171875,100000,20,30.3874,825.35,27.1157
21,1050.68,-1671.9052734375,105000,21,16.7544,1166.3,26.4297
22,786.0,-1960.438720703125,110000,22,19.6222,717.96,26.3389
23,775.19,-2058.1708984375,115000,23,24.8062,787.13,25.7314
24,957.18,-1961.2655029296875,120000,24,20.1388,987.41,26.0547
25,988.28,-2207.438232421875,125000,25,41.5077,911.98,25.5379
26,850.13,-2126.9052734375,130000,26,18.8815,887.1,25.4935
27,1871.51,-1505.124267578125,135000,27,15.2755,3148.33,23.3163
28,1898.88,-1436.8648681640625,140000,28,14.3328,2358.39,23.5303
29,1348.92,-1708.732666015625,145000,29,16.5754,1604.57,23.291
30,2565.75,-1144.288330078125,150000,30,11.9968,2883.26,24.4167
31,940.78,-2305.495849609375,155000,31,21.3927,942.66,24.6282
32,2179.6,-1733.080078125,160000,32,13.6152,2801.42,24.9476
