Running Forward KL,Running Env Steps,Itration,Reward Loss,Running Update Time,Running Reverse KL,Real Sto Return,Real Det Return
74.8538,0,0,14.767654418945312,0,25.5266,-113.83,503.38
74.6129,5000,1,1.1197030544281006,1,25.0441,-72.45,363.59
73.6611,10000,2,-6.606407642364502,2,26.1145,-56.66,447.41
72.2115,15000,3,-16.96694564819336,3,28.2573,6.32,711.1
72.203,20000,4,-24.282514572143555,4,27.9595,33.68,478.97
71.2526,25000,5,-32.787017822265625,5,28.8936,27.87,644.47
72.1466,30000,6,-47.285030364990234,6,30.9333,76.69,647.25
71.6449,35000,7,-49.80636978149414,7,30.947,81.23,571.89
71.1484,40000,8,-63.0816535949707,8,31.1328,140.12,651.12
73.1175,45000,9,-72.84845733642578,9,31.9025,146.38,552.77
68.3474,50000,10,-87.40631103515625,10,30.6494,202.67,850.16
71.6439,55000,11,-95.55916595458984,11,31.8725,191.45,949.43
70.9701,60000,12,-106.98765563964844,12,32.076,242.07,832.59
69.2954,65000,13,-117.10601806640625,13,31.5137,246.26,781.04
71.9993,70000,14,-129.85986328125,14,32.7322,203.64,840.94
70.6133,75000,15,-143.92137145996094,15,31.9662,198.5,926.87
72.2421,80000,16,-152.91827392578125,16,32.0831,222.62,854.22
73.2198,85000,17,-167.9582061767578,17,33.0221,273.51,886.24
73.582,90000,18,-181.40945434570312,18,31.9354,204.8,904.54
70.7827,95000,19,-194.90745544433594,19,31.562,234.33,903.67
72.2819,100000,20,-208.90328979492188,20,31.4787,178.31,883.93
72.8569,105000,21,-220.01190185546875,21,32.2586,212.29,817.87
72.2364,110000,22,-230.78123474121094,22,31.2463,262.93,963.48
72.5296,115000,23,-241.73101806640625,23,31.8445,225.87,856.2
71.4744,120000,24,-253.49801635742188,24,31.3642,192.42,756.18
73.2211,125000,25,-268.897216796875,25,31.494,172.83,955.35
72.1503,130000,26,-281.1664123535156,26,31.3181,223.83,910.81
72.1281,135000,27,-295.4261779785156,27,31.6766,213.77,935.23
72.6313,140000,28,-309.32562255859375,28,32.1376,234.32,883.91
71.283,145000,29,-320.3490905761719,29,31.2699,197.91,845.01
72.9823,150000,30,-336.74664306640625,30,30.985,228.85,1005.37
73.7588,155000,31,-354.2403259277344,31,31.2709,245.96,981.68
73.216,160000,32,-365.6904296875,32,31.5935,195.97,912.13
71.7586,165000,33,-375.137939453125,33,31.3315,236.09,879.11
71.9808,170000,34,-388.7727966308594,34,30.82,209.53,860.93
72.6026,175000,35,-399.8117980957031,35,31.5202,217.4,957.06
72.7127,180000,36,-415.66107177734375,36,31.5067,236.18,811.03
74.106,185000,37,-430.78253173828125,37,31.1689,241.4,944.55
73.1724,190000,38,-446.27056884765625,38,31.6237,275.9,939.34
72.6835,195000,39,-456.5721130371094,39,31.4251,224.56,967.25
72.4975,200000,40,-471.33056640625,40,31.2451,262.81,989.7
73.3286,205000,41,-480.822998046875,41,31.5736,276.66,993.52
73.7438,210000,42,-497.1273498535156,42,31.703,251.5,920.46
73.0707,215000,43,-512.2271728515625,43,31.0848,197.24,780.33
73.3075,220000,44,-528.602783203125,44,31.4948,283.97,925.16
74.004,225000,45,-541.0057983398438,45,31.3933,243.12,921.74
72.0053,230000,46,-552.4353637695312,46,31.2725,267.49,949.42
73.435,235000,47,-574.1312255859375,47,31.827,231.25,933.08
73.5256,240000,48,-595.468017578125,48,31.527,269.25,892.76
74.3815,245000,49,-602.536865234375,49,31.5489,249.64,951.99
73.646,250000,50,-624.7100219726562,50,31.718,238.92,871.47
73.7488,255000,51,-636.6204833984375,51,31.3564,282.55,756.28
71.8993,260000,52,-640.0762939453125,52,31.5509,276.85,883.69
74.9536,265000,53,-664.8800659179688,53,31.7631,269.72,1004.76
73.2761,270000,54,-686.4381103515625,54,31.6945,241.12,866.38
74.0224,275000,55,-703.1784057617188,55,31.3637,257.44,865.0
73.7595,280000,56,-719.2058715820312,56,31.4795,233.39,981.23
73.3847,285000,57,-728.7875366210938,57,31.7305,269.78,983.42
73.1518,290000,58,-751.3994140625,58,31.7546,298.66,1010.09
73.6091,295000,59,-767.6893920898438,59,31.5442,222.74,840.69
74.2806,300000,60,-781.9315185546875,60,31.7861,294.47,1000.97
