Running Update Time,Real Sto Return,Running Env Steps,Real Det Return,Itration,Running Reverse KL,Reward Loss,Running Forward KL
0,-79.74,0,406.45,0,28.278,39.44597625732422,77.229
1,-43.2,5000,464.6,1,28.0895,32.49240493774414,74.9249
2,-16.02,10000,664.02,2,28.512,24.051820755004883,72.4033
3,53.96,15000,527.89,3,27.3574,9.527219772338867,71.211
4,53.64,20000,623.78,4,28.7736,-1.803589940071106,70.8602
5,80.56,25000,625.0,5,29.139,-8.418377876281738,69.6275
6,120.18,30000,791.23,6,28.7783,-17.590608596801758,69.5431
7,182.55,35000,857.86,7,29.2995,-30.317153930664062,67.9611
8,146.13,40000,663.44,8,29.7902,-45.43115234375,68.7048
9,136.32,45000,727.22,9,29.8382,-54.54872131347656,67.9777
10,216.06,50000,763.96,10,31.1626,-64.62010955810547,68.7863
11,215.7,55000,875.92,11,29.9133,-76.62731170654297,67.2058
12,191.76,60000,1006.58,12,31.0906,-91.43245697021484,69.2104
13,402.72,65000,1350.76,13,28.5942,-104.29593658447266,67.3282
14,242.25,70000,882.87,14,26.7485,-100.94332885742188,63.1189
15,312.77,75000,1199.62,15,28.2562,-115.61573791503906,63.4663
16,296.04,80000,950.46,16,28.5903,-133.02978515625,67.3469
17,306.26,85000,1178.1,17,27.9662,-145.0361328125,65.1666
18,360.75,90000,850.48,18,28.4147,-153.72288513183594,65.8004
19,221.02,95000,974.74,19,25.4825,-160.6553192138672,61.7974
20,443.61,100000,1350.26,20,25.1256,-161.20579528808594,59.9938
21,304.0,105000,1433.03,21,24.9898,-170.40509033203125,58.7782
22,775.47,110000,1487.2,22,23.0112,-165.0597381591797,55.7606
23,520.84,115000,1730.78,23,22.9837,-183.61590576171875,55.8651
24,582.45,120000,1248.32,24,24.4624,-201.88442993164062,57.99
25,601.73,125000,1486.42,25,24.0745,-207.62222290039062,56.8474
26,726.24,130000,1119.3,26,25.4961,-235.4777069091797,60.2066
27,470.6,135000,1134.02,27,23.8177,-239.78016662597656,57.2047
28,726.53,140000,1137.67,28,23.4029,-240.636474609375,55.9354
29,763.62,145000,1666.57,29,21.3387,-184.0264892578125,50.6321
30,821.31,150000,1612.47,30,19.7217,-211.7047882080078,49.8434
31,793.93,155000,1640.23,31,21.3165,-250.76377868652344,52.3061
32,648.52,160000,1694.07,32,21.1618,-255.99655151367188,53.0517
33,821.21,165000,2050.72,33,20.2842,-252.32846069335938,50.9472
34,1151.06,170000,2052.51,34,20.9576,-277.18804931640625,52.425
35,647.58,175000,1174.6,35,23.9118,-326.6569519042969,57.1573
36,815.9,180000,1887.7,36,19.9359,-291.3623352050781,50.8943
37,1514.42,185000,2218.92,37,18.541,-256.25384521484375,47.2274
38,1227.76,190000,2383.24,38,19.1124,-288.5295104980469,49.0565
39,781.46,195000,2142.1,39,19.1255,-319.0576477050781,49.4555
40,670.6,200000,1687.41,40,21.0149,-352.0855407714844,51.3999
41,842.94,205000,2048.75,41,19.59,-356.861083984375,51.8647
42,1284.86,210000,2573.03,42,15.9016,-291.7439880371094,44.4807
43,941.9,215000,1820.09,43,23.4949,-407.63909912109375,55.4799
44,1662.96,220000,2192.08,44,16.2529,-323.3923034667969,44.3999
45,1088.26,225000,2209.5,45,19.3264,-399.8418273925781,51.6013
46,1724.92,230000,2500.97,46,17.626,-377.00286865234375,48.3198
47,1449.12,235000,2594.02,47,14.5082,-304.6912841796875,41.8505
48,1098.11,240000,2377.31,48,14.3041,-331.96722412109375,41.7239
49,1252.94,245000,2019.49,49,14.0098,-361.7475891113281,42.265
50,793.19,250000,1337.33,50,15.5437,-390.7224426269531,43.9155
51,993.15,255000,1950.01,51,15.9171,-408.1332092285156,44.4321
52,1382.29,260000,2495.88,52,12.7516,-303.130859375,39.7133
53,1168.3,265000,2297.56,53,14.3469,-391.0794372558594,43.0229
54,1342.17,270000,2423.81,54,14.2619,-405.05731201171875,42.1206
55,1571.13,275000,2923.67,55,10.7068,-312.3695983886719,36.9899
56,1604.31,280000,1744.27,56,12.2695,-356.0765380859375,41.1709
57,1716.42,285000,2462.28,57,11.2951,-323.1734924316406,39.1734
58,1672.67,290000,2677.72,58,12.4485,-352.7784118652344,39.6522
59,1778.6,295000,2719.01,59,12.2725,-330.36151123046875,39.4487
60,1591.56,300000,2623.7,60,12.4776,-392.7305908203125,41.7155
61,1588.45,305000,2603.48,61,12.5986,-347.28912353515625,39.0637
62,1577.6,310000,2830.0,62,11.5812,-365.7474365234375,39.639
63,2266.32,315000,2942.65,63,13.5458,-371.0684814453125,40.3899
64,1320.92,320000,2259.45,64,17.7891,-558.2210083007812,48.4245
65,1202.36,325000,2086.59,65,14.1047,-512.2523803710938,43.7327
66,2039.2,330000,2994.7,66,12.931,-366.0618591308594,40.091
67,2044.09,335000,2925.75,67,13.7067,-430.3774719238281,43.0033
68,1985.3,340000,2903.66,68,11.7157,-428.83526611328125,40.4519
69,1984.71,345000,2472.15,69,12.6081,-484.7040100097656,41.4701
70,2013.91,350000,2866.74,70,11.359,-430.7105407714844,39.1003
71,2231.51,355000,3110.26,71,12.1688,-445.7698974609375,39.2316
72,1955.5,360000,2680.39,72,11.8844,-510.4080505371094,40.4786
73,1598.22,365000,2798.62,73,12.1802,-541.975830078125,42.2288
74,1850.25,370000,2083.89,74,11.8278,-509.35125732421875,40.598
75,1859.87,375000,3038.0,75,12.5108,-531.5709838867188,41.9749
76,2071.84,380000,2965.69,76,13.3425,-503.82684326171875,41.1719
77,1336.42,385000,2344.58,77,14.5699,-650.4896850585938,44.3529
78,2374.98,390000,3103.55,78,11.6824,-453.572265625,38.0412
79,2460.24,395000,2908.07,79,11.6617,-478.341796875,39.153
80,2013.35,400000,3407.73,80,11.8648,-493.63232421875,38.9101
81,1515.35,405000,2307.22,81,14.7395,-675.8509521484375,45.5701
82,1908.06,410000,2208.1,82,9.9702,-509.7723083496094,37.5918
83,2202.45,415000,2991.22,83,9.9926,-446.8994140625,35.0047
84,2508.11,420000,3129.0,84,10.144,-579.37353515625,37.7716
85,2142.62,425000,3079.31,85,9.8854,-562.6978759765625,38.2499
