Running Reverse KL,Running Forward KL,Running Update Time,Real Sto Return,Running Env Steps,Real Det Return,Reward Loss,Itration
24.0816,39.7122,0,203.75,0,207.69,-79.30543518066406,0
19.6663,38.894,1,201.66,5000,191.46,-73.68637084960938,1
38.5779,36.7533,2,247.73,10000,269.73,8.354697227478027,2
41.9569,39.7822,3,264.33,15000,263.61,-28.91031265258789,3
33.7786,36.7706,4,384.04,20000,506.01,-97.69160461425781,4
34.5177,44.5534,5,1060.31,25000,1059.47,-146.0802764892578,5
39.1347,37.0556,6,241.19,30000,252.36,-144.43817138671875,6
22.3172,39.7818,7,949.7,35000,1026.3,-148.18359375,7
38.7517,37.6928,8,418.91,40000,424.24,-157.30503845214844,8
22.4683,39.6211,9,562.59,45000,538.83,-131.76443481445312,9
44.2629,40.0724,10,388.79,50000,390.62,-173.5569610595703,10
30.2452,44.6726,11,1004.69,55000,998.03,-131.39981079101562,11
21.1236,41.0035,12,1032.81,60000,1042.9,-186.4999237060547,12
34.3786,37.7028,13,190.52,65000,160.47,-194.83595275878906,13
22.6473,40.0564,14,230.51,70000,231.38,-157.6757049560547,14
36.6579,39.2008,15,421.48,75000,420.01,-201.45591735839844,15
18.0469,38.1065,16,540.71,80000,561.11,-180.2064208984375,16
47.5683,38.3913,17,393.99,85000,388.94,-263.9345703125,17
21.5827,38.4066,18,265.44,90000,382.3,-216.03411865234375,18
29.9004,39.0383,19,351.7,95000,422.83,-212.2963409423828,19
22.0506,40.288,20,1348.99,100000,1351.99,-200.541015625,20
20.0311,40.073,21,133.9,105000,134.66,-264.5910949707031,21
34.7567,40.8644,22,976.3,110000,1021.43,-297.454345703125,22
28.34,39.8187,23,389.33,115000,1028.56,-302.89013671875,23
24.6635,39.1182,24,259.4,120000,401.33,-302.5600280761719,24
