Itration,Real Sto Return,Running Forward KL,Running Reverse KL,Real Det Return
0,278.75,37.1347,17.4905,276.78
1,377.17,36.1679,21.5988,386.45
2,320.74,35.9865,26.0841,322.06
3,347.32,34.623,30.744,339.98
4,642.25,32.6571,24.6932,639.51
5,631.98,34.3331,22.8029,613.38
6,578.97,32.9365,13.1352,431.08
7,225.76,34.0045,38.0722,205.43
8,816.89,30.2998,19.9122,706.58
9,2548.77,31.6844,15.3529,2597.44
10,166.0,32.9545,52.341,17.22
11,1149.97,30.926,22.3721,1330.19
12,25.52,46.0686,74.1522,25.59
13,635.68,31.2979,35.3359,656.47
14,908.38,29.8807,22.7798,810.92
15,1005.74,45.492,32.655,1005.77
16,527.0,32.2521,17.4923,473.88
17,939.02,30.8358,16.33,908.94
18,1022.29,44.8158,39.7956,1023.61
19,717.57,31.9028,28.1831,587.11
20,541.19,36.8163,23.7383,597.2
21,40.17,38.9481,52.6727,12.27
22,1007.14,45.6034,44.9781,1006.33
23,1032.88,42.8506,36.1755,1033.01
24,996.68,45.189,39.6328,996.66
25,240.83,38.6272,24.3535,242.54
26,484.7,37.0618,21.6297,572.26
27,295.67,36.606,25.223,295.33
28,1267.25,32.398,22.5704,625.86
29,832.64,30.9807,24.6753,864.75
30,937.48,35.9798,43.8631,1007.33
31,1017.9,45.3338,45.0636,1017.45
32,1559.59,32.2747,19.4608,1634.98
33,1306.19,29.2574,25.6144,998.71
34,2443.99,32.2034,16.6576,2445.03
35,988.39,45.5647,37.185,989.32
36,1000.79,43.8357,31.7796,1000.34
37,1328.89,31.5664,23.0937,1004.42
38,1000.89,35.2498,31.8397,1002.17
39,572.09,32.4299,28.9817,574.87
40,2068.91,31.8594,18.4711,2514.61
41,1084.18,28.7993,23.0753,969.33
42,1161.04,30.6768,23.2393,1185.63
43,2164.96,26.3042,13.4178,2140.33
44,997.67,44.4111,38.503,1000.19
45,1006.94,45.6325,38.3442,1031.27
46,2279.79,28.2256,12.5302,2654.65
47,2656.39,29.7815,14.5044,2633.93
48,2899.34,28.5086,14.7912,2887.05
49,2765.82,29.4575,14.0736,2760.46
50,3046.87,28.0684,14.7545,3011.74
51,3037.9,26.8209,13.2543,3018.92
52,2890.99,27.8644,14.0193,2850.79
53,3024.95,27.9879,14.3121,3151.98
54,2671.76,28.9999,13.672,2630.59
55,2794.56,26.2101,13.0342,2916.1
56,2969.42,28.0028,12.8453,2862.95
57,2963.24,26.3684,13.3284,3080.9
58,1306.58,28.2245,19.7326,1752.0
59,2779.18,24.9635,11.7167,3305.1
60,3055.34,25.131,12.0775,3263.95
61,2463.62,28.0029,15.8301,3042.32
62,3295.97,25.3979,13.285,3278.86
63,3191.36,26.5231,12.491,3216.41
64,3183.93,25.5913,13.2796,3152.37
65,3341.66,25.0413,12.8921,3348.28
66,2240.25,28.2232,19.7883,3267.12
67,3027.74,25.5101,12.527,3226.93
68,2128.65,27.2216,15.6992,3362.99
69,3014.68,26.749,13.4333,3205.83
70,2527.91,27.8364,16.3881,3235.15
71,1860.84,28.2735,23.3628,3394.08
72,3279.76,25.8688,14.0203,3285.75
73,3265.32,26.3183,14.1253,3289.04
74,3354.8,24.4787,12.627,3357.33
75,3249.46,24.9679,13.6306,3292.44
76,3124.64,25.849,13.5246,3284.11
77,3287.62,25.3295,13.8526,3219.02
78,2247.16,26.2592,17.8645,3399.79
79,3328.56,25.3932,13.7254,3271.04
80,2803.82,27.8613,19.7894,3431.89
81,1575.43,27.2123,25.8512,1317.73
82,1304.42,29.906,24.9639,3457.86
83,2926.82,26.8099,12.9789,2896.57
84,835.48,30.7596,29.6763,786.57
85,1674.79,30.3818,19.9867,1618.35
86,1035.11,37.8106,21.2271,1033.81
87,992.45,45.1589,42.8032,992.83
88,818.69,32.8119,20.8952,623.81
