Running Forward KL,Real Det Return,Itration,Running Reverse KL,Real Sto Return,Reward Loss,Running Env Steps,Running Update Time
448.0336,151.38,0,247.9637,266.14,-23890.75390625,0,0
441.6192,294.0,1,286.4178,316.06,-27192.005859375,5000,1
435.5888,344.28,2,329.3729,346.85,-30056.271484375,10000,2
419.7152,389.25,3,271.2777,448.16,-28694.634765625,15000,3
402.9473,410.46,4,282.3201,435.37,-29189.94921875,20000,4
388.8184,471.78,5,246.1185,463.95,-28538.603515625,25000,5
385.9568,393.35,6,290.3679,483.17,-29732.59375,30000,6
387.9179,469.42,7,257.3086,464.62,-31264.380859375,35000,7
374.5858,458.14,8,269.0699,460.71,-33116.51953125,40000,8
366.3506,557.94,9,308.8708,505.01,-35352.51953125,45000,9
379.155,611.41,10,246.3288,494.99,-33321.3671875,50000,10
366.3713,611.89,11,256.7708,596.08,-34331.39453125,55000,11
378.3507,357.41,12,260.0348,514.24,-34745.09375,60000,12
352.9348,639.06,13,251.2645,521.35,-33562.0390625,65000,13
363.6012,495.05,14,257.3619,591.8,-37724.35546875,70000,14
353.9373,829.22,15,259.5763,714.73,-37658.37109375,75000,15
357.264,818.22,16,260.4723,725.03,-37735.51171875,80000,16
361.2575,739.7,17,265.3714,689.1,-38449.8671875,85000,17
349.9487,880.95,18,246.8826,789.5,-36633.5,90000,18
342.8923,892.86,19,253.5897,815.34,-38914.03515625,95000,19
335.0477,854.82,20,234.6958,884.09,-38918.65625,100000,20
341.0547,811.66,21,255.8671,763.18,-44329.421875,105000,21
339.4259,943.23,22,236.7856,879.37,-42174.06640625,110000,22
357.5449,785.75,23,246.6528,897.54,-41845.5,115000,23
337.1402,514.57,24,263.0379,716.32,-45421.86328125,120000,24
356.767,534.49,25,270.0477,825.95,-46768.8671875,125000,25
348.1146,600.82,26,263.1734,743.17,-46204.2578125,130000,26
346.3011,731.36,27,289.2006,1000.61,-50832.07421875,135000,27
321.2093,1390.13,28,276.8387,1037.8,-48327.07421875,140000,28
318.7983,1449.28,29,236.2343,1397.28,-47342.8984375,145000,29
312.5285,3596.58,30,225.2469,1819.39,-44657.36328125,150000,30
351.3999,812.3,31,270.9039,1183.46,-52305.078125,155000,31
295.095,1506.33,32,180.1119,1932.11,-38348.7421875,160000,32
303.5386,1986.34,33,240.5384,1802.81,-44026.40625,165000,33
281.4603,1268.09,34,178.2672,1781.1,-39334.9765625,170000,34
268.8897,3321.43,35,138.1164,2770.98,-28624.873046875,175000,35
303.7312,1738.05,36,215.4896,2362.64,-45435.23828125,180000,36
272.3172,2852.54,37,128.4351,2420.75,-28036.271484375,185000,37
275.9775,2226.97,38,165.0195,2113.65,-38221.921875,190000,38
274.9896,4461.23,39,124.0007,3572.47,-29867.51953125,195000,39
272.9695,1681.96,40,146.297,3172.52,-34117.08984375,200000,40
292.0105,1223.63,41,217.8274,2261.03,-44478.34375,205000,41
307.3261,636.33,42,270.5735,1667.68,-52649.6796875,210000,42
244.1784,3225.7,43,93.549,2728.62,-24422.9921875,215000,43
245.9607,3659.04,44,77.0961,4326.05,-17259.642578125,220000,44
285.7934,812.38,45,200.9241,2809.43,-41777.6328125,225000,45
252.9243,3094.38,46,71.8034,4448.99,-15035.921875,230000,46
262.9689,2199.4,47,113.807,4710.95,-28971.8359375,235000,47
269.4908,1266.79,48,117.8079,3702.13,-25581.0703125,240000,48
254.5688,3436.51,49,57.2022,4449.21,-10563.7568359375,245000,49
250.6842,2000.65,50,62.5388,4338.26,-13704.7216796875,250000,50
251.6986,4704.35,51,61.5334,5122.14,-14829.3759765625,255000,51
258.4489,3914.64,52,75.6287,5001.79,-16578.810546875,260000,52
260.7666,1826.9,53,90.141,3694.62,-21184.30859375,265000,53
277.5921,1726.47,54,120.8747,3749.15,-32387.75390625,270000,54
