Itration,Running Update Time,Reward Loss,Running Env Steps,Running Forward KL,Real Sto Return,Real Det Return,Running Reverse KL
0,0,84.6496810913086,0,32.7336,231.72,234.39,18.1289
1,1,64.48883056640625,5000,30.8274,261.67,263.83,15.8336
2,2,19.90744400024414,10000,30.0429,293.09,288.48,15.3775
3,3,45.92450714111328,15000,27.5363,373.34,404.25,13.1551
4,4,16.21978759765625,20000,26.3779,485.99,496.29,14.2079
5,5,-0.10356307029724121,25000,27.4095,420.99,437.25,14.1381
6,6,-3.8315765857696533,30000,25.7998,483.82,491.28,14.6668
7,7,5.645986557006836,35000,26.2244,594.74,615.45,19.293
8,8,-35.87622833251953,40000,26.6883,386.39,830.07,15.3295
9,9,21.6130428314209,45000,25.8708,647.91,723.38,37.5397
10,10,-14.59118938446045,50000,25.8727,607.47,610.44,28.3195
11,11,-12.208234786987305,55000,26.0455,861.83,987.52,54.2602
12,12,-40.019691467285156,60000,23.8624,724.68,781.8,24.4689
13,13,-38.58253479003906,65000,25.4314,519.54,526.16,52.3038
14,14,-23.77581787109375,70000,24.1544,647.89,593.32,75.7476
15,15,-50.64073944091797,75000,25.15,612.58,616.54,46.2987
16,16,-73.14376831054688,80000,25.2711,615.4,621.72,50.044
17,17,-86.85773468017578,85000,24.5326,667.17,674.55,28.6278
18,18,-78.22848510742188,90000,23.2357,919.21,1103.28,28.9374
19,19,-74.78791046142578,95000,22.5856,1118.39,1326.21,33.6103
20,20,-72.3981704711914,100000,20.8115,1546.37,1430.85,11.8622
21,21,-71.50967407226562,105000,20.6742,1544.84,2682.45,14.7626
22,22,-64.27717590332031,110000,21.5933,2410.35,2580.04,11.3965
23,23,-51.53015899658203,115000,21.3333,2406.06,2854.76,12.3402
24,24,-98.26280975341797,120000,20.4911,1442.71,2217.49,13.3553
25,25,-72.39486694335938,125000,20.5468,2003.69,1886.99,13.5428
26,26,-127.35002899169922,130000,21.9774,1257.2,598.41,14.3317
27,27,-65.01641845703125,135000,20.7724,2311.57,3036.57,12.1025
28,28,-70.3798828125,140000,21.001,2740.42,2855.98,11.6829
29,29,-46.58524703979492,145000,24.0023,2601.01,2657.34,12.8918
30,30,-38.930335998535156,150000,19.5928,2780.93,3004.29,11.6538
31,31,-102.76456451416016,155000,19.8464,2562.1,3137.12,13.2363
32,32,-53.54677963256836,160000,22.1195,1844.96,2859.11,12.6935
33,33,-47.95695114135742,165000,21.8321,2667.44,2972.59,12.7422
34,34,-55.11845779418945,170000,21.2989,2847.32,3026.05,12.5462
35,35,-126.61968231201172,175000,21.3056,1803.75,3136.11,14.5625
36,36,-54.897560119628906,180000,20.768,2909.28,3033.04,11.6232
37,37,-61.48554992675781,185000,20.1394,2940.23,3036.46,11.4469
38,38,-61.222373962402344,190000,20.3748,2975.44,3018.16,12.1457
39,39,-66.2203140258789,195000,20.1823,2768.91,3007.66,11.7582
40,40,-89.2401351928711,200000,19.5203,3080.12,3069.14,13.0081
41,41,-74.35587310791016,205000,20.247,3029.8,3105.71,12.2295
42,42,-63.23695373535156,210000,19.6636,3072.86,3095.45,10.8236
43,43,-62.69970703125,215000,20.6451,3093.53,3085.79,12.0533
44,44,-63.35270309448242,220000,20.0998,3074.76,3083.75,11.4265
45,45,-47.823280334472656,225000,19.766,3104.58,3120.96,10.9798
46,46,-88.1183853149414,230000,20.1733,2331.95,3129.52,28.1302
47,47,-136.84988403320312,235000,19.9311,2411.44,3119.35,12.997
48,48,-69.4090576171875,240000,18.8231,2911.72,3108.46,9.9983
49,49,-96.96123504638672,245000,19.6564,2680.94,3081.54,12.9907
50,50,-53.87401580810547,250000,19.6114,2839.82,3124.7,10.79
51,51,-68.74212646484375,255000,18.8161,3093.92,3166.06,9.826
52,52,-44.96657943725586,260000,17.3284,3193.1,3146.27,9.2933
53,53,-71.84358215332031,265000,19.7604,2969.83,3058.61,10.125
54,54,-58.9051399230957,270000,19.1636,3134.22,3139.27,10.3959
55,55,-91.80061340332031,275000,19.759,2904.13,3094.24,11.4792
56,56,-70.3122329711914,280000,19.8292,1045.95,657.15,11.4107
57,57,-58.98277282714844,285000,19.4047,3136.72,3136.82,10.6576
58,58,-73.56871795654297,290000,19.1064,3120.01,3112.9,10.1286
59,59,-45.85589599609375,295000,18.851,2899.48,3112.95,10.1976
60,60,-141.03668212890625,300000,20.119,2360.2,3179.05,13.2071
61,61,-99.05451202392578,305000,18.2316,2717.34,2478.48,20.0226
62,62,-74.89765930175781,310000,19.6252,3130.36,3118.62,10.5209
63,63,-59.26406478881836,315000,18.678,3237.89,3229.19,10.4084
64,64,-70.513427734375,320000,19.1857,3107.7,3196.73,10.9178
65,65,-69.18610382080078,325000,19.4539,3178.88,3161.14,11.1389
66,66,-70.83365631103516,330000,19.355,3142.94,3153.18,10.6587
67,67,-95.6238784790039,335000,20.3879,2829.73,3188.94,11.425
68,68,-62.13255310058594,340000,18.9818,3212.32,3204.33,10.3093
69,69,-65.21382904052734,345000,18.1881,3208.0,3186.54,10.0495
70,70,-60.750274658203125,350000,17.9934,3227.28,3187.13,9.8067
71,71,-269.8150939941406,355000,23.4177,1286.94,1001.71,23.967
72,72,-310.7576599121094,360000,37.0006,1003.77,1005.37,34.1883
73,73,-367.6114807128906,365000,38.2828,109.06,110.66,96.1601
74,74,-56.71276092529297,370000,17.9567,3135.96,3271.59,10.0639
75,75,-47.804622650146484,375000,17.3476,3282.99,3316.96,10.1705
76,76,-55.95833206176758,380000,16.7334,3269.43,3277.96,9.3537
77,77,-47.306297302246094,385000,17.4442,3155.25,3283.41,9.9509
78,78,-27.693450927734375,390000,16.9227,3248.32,3372.78,10.5415
79,79,-46.577423095703125,395000,15.9432,3196.73,3373.66,9.2115
80,80,-41.824668884277344,400000,16.131,3292.11,3367.84,9.5801
81,81,-80.57460021972656,405000,17.8535,2978.75,3344.95,9.8996
82,82,-74.60820770263672,410000,18.0377,2928.39,3334.4,11.346
83,83,-42.37031936645508,415000,16.8594,3287.09,3279.26,10.5904
84,84,-60.19449234008789,420000,15.9192,3079.65,3356.0,8.3951
85,85,-64.58646392822266,425000,17.2347,3328.24,3327.95,10.6008
86,86,-55.524051666259766,430000,16.0609,3268.31,3329.8,9.7407
87,87,-46.373634338378906,435000,15.2853,3202.58,3328.47,8.9058
88,88,-59.17399978637695,440000,16.7172,3190.0,3309.09,9.5681
89,89,-72.46574401855469,445000,16.161,3337.05,3342.39,9.7436
90,90,-73.48382568359375,450000,15.9254,3239.52,3365.39,9.768
91,91,-64.35033416748047,455000,16.9566,3249.61,3361.4,10.261
92,92,-66.45613861083984,460000,15.9519,3208.74,3370.52,9.83
93,93,-131.6475830078125,465000,15.6184,2177.77,3404.45,10.0503
94,94,-194.24325561523438,470000,16.9685,2528.23,3348.49,11.4254
95,95,-37.71653747558594,475000,16.5567,3256.94,3407.61,9.8436
96,96,-46.72354507446289,480000,15.7863,3385.37,3399.18,10.0413
97,97,-73.73374938964844,485000,16.1183,3237.1,3329.56,9.5017
98,98,-70.09789276123047,490000,15.6747,3225.29,3421.7,9.4151
99,99,-57.49690628051758,495000,15.9846,3284.65,3410.2,9.8474
100,100,-39.967506408691406,500000,15.7114,3309.62,3370.02,9.6112
101,101,-59.70892333984375,505000,15.4195,3387.21,3388.49,9.0705
102,102,-51.633060455322266,510000,15.5002,3268.69,3389.52,9.7817
103,103,-57.18609619140625,515000,15.3129,3376.43,3395.01,9.3075
104,104,-87.21843719482422,520000,15.1416,3170.9,3433.14,9.428
105,105,-65.27367401123047,525000,14.9261,3174.82,3383.02,8.5605
106,106,-73.08834838867188,530000,15.0497,3204.7,3420.56,8.975
107,107,-47.31079864501953,535000,15.4321,2433.86,3386.76,9.4623
108,108,-54.14009094238281,540000,15.4179,3393.74,3411.79,9.5793
109,109,-62.655033111572266,545000,15.268,3136.93,3399.23,9.6199
110,110,-25.742589950561523,550000,15.2301,3430.14,3450.14,9.49
111,111,-181.53126525878906,555000,16.7911,2153.07,3326.7,9.384
112,112,-49.37178039550781,560000,15.1983,3419.91,3429.65,9.8223
113,113,-77.00174713134766,565000,15.4797,3280.94,3407.82,9.8755
114,114,-52.19894790649414,570000,15.014,3308.52,3431.57,9.4169
115,115,-34.93669509887695,575000,16.2023,3191.1,3355.21,9.5438
116,116,-49.21934127807617,580000,15.2918,3402.47,3431.9,9.9488
117,117,-66.02332305908203,585000,14.6108,3392.34,3404.51,8.684
118,118,-64.89494323730469,590000,15.734,3410.15,3414.21,10.1504
119,119,-55.386661529541016,595000,15.069,3413.92,3413.14,9.3408
120,120,-63.616424560546875,600000,15.5432,3349.86,3361.04,8.9275
121,121,-77.13422393798828,605000,15.7325,3374.33,3435.16,9.5729
122,122,-46.7916145324707,610000,15.2847,3398.93,3438.28,9.6186
123,123,-44.02610778808594,615000,15.0992,3293.41,3419.06,8.9017
124,124,-56.049705505371094,620000,15.7791,3268.33,3456.45,9.8833
125,125,-50.53403854370117,625000,14.8451,3422.67,3454.62,8.9025
126,126,-70.32477569580078,630000,15.2493,3356.52,3429.29,8.9941
127,127,-120.90608215332031,635000,16.1132,2754.73,3439.45,9.5003
128,128,-51.86647033691406,640000,15.7439,3441.71,3458.8,9.9448
129,129,-73.88880920410156,645000,15.2888,3277.25,3408.46,8.535
130,130,-86.47024536132812,650000,15.1436,3388.64,3413.43,8.4275
131,131,-55.960655212402344,655000,15.5812,3298.28,3430.79,9.5125
132,132,-149.7178955078125,660000,16.9494,2466.53,3458.97,9.5882
133,133,-32.993106842041016,665000,16.4689,3373.81,3457.47,10.0459
134,134,-51.73355484008789,670000,16.2904,3441.14,3477.54,9.8513
135,135,-79.54898834228516,675000,15.3335,3191.53,3441.36,8.9316
136,136,-71.67184448242188,680000,15.0919,3189.16,3423.8,8.9509
137,137,-132.58299255371094,685000,16.3481,2794.61,3456.95,10.0272
138,138,-57.636199951171875,690000,15.3844,3276.42,3405.79,9.4999
139,139,-78.63282775878906,695000,15.867,3084.19,3459.75,9.1955
140,140,-136.78773498535156,700000,16.5783,3160.85,3454.26,12.1656
141,141,-83.14276123046875,705000,15.8353,3244.94,3433.92,9.5114
142,142,-103.21357727050781,710000,15.9862,2966.23,3465.59,9.3998
143,143,-115.87831115722656,715000,16.0569,3419.72,3428.69,9.9553
144,144,-66.00898742675781,720000,15.1637,3425.65,3453.69,9.3927
145,145,-47.60801696777344,725000,15.8229,3309.33,3452.62,9.9791
146,146,-67.1587905883789,730000,14.1927,3426.37,3439.17,8.9094
147,147,-66.42388916015625,735000,14.5099,3374.8,3372.64,8.8664
148,148,-56.073814392089844,740000,15.9054,3254.66,3479.47,9.9828
149,149,-100.90625,745000,15.8265,3262.56,3422.96,9.8033
150,150,-102.47966766357422,750000,15.7903,2991.93,3486.51,10.0791
151,151,-96.11329650878906,755000,15.9307,3279.11,3476.06,9.5325
152,152,-67.28353881835938,760000,14.3935,3410.55,3407.79,8.462
153,153,-165.0421905517578,765000,16.6643,2982.63,3449.67,13.2458
154,154,-78.7646484375,770000,15.0973,3276.84,3465.86,10.8504
155,155,-71.42564392089844,775000,14.9282,3400.46,3405.71,9.3136
156,156,-114.71382141113281,780000,15.8195,3077.97,3468.11,9.5488
157,157,-79.60432434082031,785000,14.6031,3281.71,3436.44,8.6576
158,158,-95.87055206298828,790000,15.1176,3424.57,3439.46,8.5098
159,159,-79.10093688964844,795000,15.2418,3405.53,3431.64,8.7209
160,160,-103.25431823730469,800000,14.8996,3237.25,3444.88,8.6535
161,161,-92.19124603271484,805000,14.6862,3336.51,3482.29,8.5448
162,162,-83.92438507080078,810000,14.851,3236.63,3436.81,8.3883
163,163,-95.07241821289062,815000,15.1657,3455.74,3464.26,9.2081
164,164,-79.89966583251953,820000,14.823,3300.39,3404.45,8.8464
165,165,-88.1781005859375,825000,14.7683,3260.61,3426.8,8.4028
166,166,-167.01710510253906,830000,16.1591,3333.42,3470.78,12.7436
167,167,-115.25875091552734,835000,15.9343,3205.26,3445.71,9.7523
168,168,-87.2547607421875,840000,15.1479,3411.68,3435.27,9.5638
169,169,-98.97407531738281,845000,15.1436,3387.91,3466.02,9.2873
170,170,-93.32415771484375,850000,15.2356,3240.55,3439.56,9.0951
171,171,-95.08464050292969,855000,14.9014,3296.14,3439.79,8.8192
172,172,-93.44002532958984,860000,15.5802,3167.65,3462.41,9.0697
173,173,-96.36580657958984,865000,14.8768,3275.57,3384.98,8.362
174,174,-99.11965942382812,870000,15.6077,3233.97,3465.09,9.2866
175,175,-120.66325378417969,875000,15.6913,3089.55,3469.49,13.0266
176,176,-105.63555145263672,880000,15.4283,3422.6,3452.0,10.1595
177,177,-155.46820068359375,885000,15.8922,2802.65,3435.56,10.0304
178,178,-101.45098114013672,890000,15.3798,3406.56,3460.81,9.1347
179,179,-120.23928833007812,895000,15.6682,3231.66,3466.05,9.1533
180,180,-105.72650909423828,900000,15.9015,3301.27,3456.33,8.9306
181,181,-133.95350646972656,905000,16.1637,3331.34,3448.22,9.5283
182,182,-84.72251892089844,910000,14.9978,3439.89,3456.13,9.2626
183,183,-135.86228942871094,915000,16.3108,3057.13,3479.94,9.4285
184,184,-212.90882873535156,920000,16.2285,1282.43,271.02,9.6528
185,185,-94.94447326660156,925000,15.1219,3402.58,3436.72,9.3272
186,186,-123.56939697265625,930000,16.0297,3382.44,3404.19,9.0768
187,187,-195.3223114013672,935000,17.1278,3176.91,3420.54,9.2061
188,188,-177.6221923828125,940000,16.7761,2773.28,3435.89,13.2354
