Running Forward KL,Real Sto Return,Running Env Steps,Running Reverse KL,Real Det Return,Running Update Time,Reward Loss,Itration
75.226,-67.66,0,26.5684,731.8,0,16.737348556518555,0
74.3515,-55.12,5000,27.8575,569.11,1,-0.4548877477645874,1
74.4356,-25.87,10000,28.6083,478.02,2,-15.132740020751953,2
74.9662,50.27,15000,30.1005,703.12,3,-25.822460174560547,3
73.1548,66.68,20000,31.5184,633.19,4,-41.65922927856445,4
73.4877,58.63,25000,30.9254,503.98,5,-55.243045806884766,5
74.9705,132.51,30000,32.8863,747.7,6,-67.74066162109375,6
73.2967,141.06,35000,32.2438,590.31,7,-80.8569107055664,7
73.4609,179.43,40000,32.8365,663.43,8,-96.30062103271484,8
73.4433,79.95,45000,32.6536,564.21,9,-107.08839416503906,9
73.9163,179.57,50000,32.4852,328.21,10,-120.52924346923828,10
73.7071,157.01,55000,33.4528,493.96,11,-131.67575073242188,11
73.2073,172.93,60000,32.4693,608.85,12,-142.64459228515625,12
72.4999,151.56,65000,31.4369,817.01,13,-153.72976684570312,13
72.3775,191.7,70000,31.8448,687.54,14,-167.2028045654297,14
74.1555,273.98,75000,33.0448,640.36,15,-181.03799438476562,15
71.3868,154.66,80000,32.2444,845.24,16,-193.61508178710938,16
70.7662,196.06,85000,32.4584,891.01,17,-204.5685577392578,17
73.7262,188.95,90000,31.994,904.34,18,-222.00196838378906,18
72.6774,255.09,95000,32.6063,852.63,19,-233.2910614013672,19
72.4169,202.18,100000,31.656,842.48,20,-246.20518493652344,20
73.6415,274.53,105000,31.8486,965.46,21,-259.1673278808594,21
71.8711,245.33,110000,31.878,828.46,22,-269.3671569824219,22
72.2236,249.4,115000,30.9547,800.15,23,-282.5015869140625,23
70.2393,262.73,120000,30.8107,737.19,24,-291.80389404296875,24
72.3752,257.19,125000,31.4179,760.26,25,-307.62591552734375,25
72.0499,225.68,130000,31.919,793.15,26,-318.4729919433594,26
69.5043,239.4,135000,31.8934,747.7,27,-326.5036926269531,27
73.503,150.71,140000,31.4898,805.17,28,-342.3701477050781,28
75.4288,129.15,145000,33.3925,527.54,29,-362.8614807128906,29
74.7923,121.54,150000,33.9012,392.93,30,-378.2374572753906,30
75.117,107.96,155000,32.357,276.44,31,-392.32879638671875,31
72.9453,6.63,160000,34.4857,488.64,32,-400.4491271972656,32
77.5222,-130.11,165000,40.974,325.41,33,-426.8340759277344,33
75.9574,-259.51,170000,51.8032,-15.97,34,-429.9055480957031,34
73.032,-195.51,175000,32.0512,105.07,35,-432.995849609375,35
73.4695,-73.79,180000,29.5956,219.13,36,-443.1318054199219,36
72.1352,-17.87,185000,29.6436,360.76,37,-457.483642578125,37
72.2744,26.03,190000,29.2411,260.69,38,-474.64996337890625,38
71.4785,108.23,195000,30.9095,387.46,39,-485.94439697265625,39
71.2396,128.62,200000,30.1348,701.09,40,-505.60443115234375,40
73.0778,145.88,205000,30.4555,471.49,41,-525.82373046875,41
72.1019,188.97,210000,30.5159,606.24,42,-540.9899291992188,42
70.6434,197.88,215000,30.8429,745.47,43,-552.1117553710938,43
71.6883,176.34,220000,34.2042,511.73,44,-549.5691528320312,44
72.9132,194.38,225000,30.2592,868.1,45,-577.2470703125,45
72.3653,208.93,230000,29.8168,725.74,46,-591.2593383789062,46
73.1807,170.86,235000,32.0587,609.21,47,-613.7440795898438,47
71.6167,142.8,240000,30.9974,567.09,48,-625.8056030273438,48
72.7696,116.06,245000,32.1663,439.11,49,-644.97119140625,49
71.5322,129.65,250000,30.3665,220.24,50,-654.8349609375,50
73.2508,89.27,255000,30.3034,447.76,51,-675.3680419921875,51
71.9166,162.22,260000,30.7402,482.87,52,-684.480712890625,52
73.5572,120.51,265000,31.5795,568.73,53,-707.1939697265625,53
72.9717,133.58,270000,30.7718,289.55,54,-725.0068359375,54
68.5617,221.63,275000,30.1945,652.21,55,-724.2190551757812,55
73.5548,92.7,280000,31.0548,213.49,56,-764.2689819335938,56
71.4399,82.31,285000,32.9386,562.1,57,-777.6276245117188,57
78.4695,-170.81,290000,58.4928,444.35,58,-842.1810913085938,58
73.2754,-9.05,295000,34.3622,370.04,59,-808.7189331054688,59
70.8821,33.74,300000,39.5711,289.88,60,-837.2236328125,60
72.7464,9.11,305000,30.2402,193.72,61,-828.510986328125,61
70.8149,98.26,310000,29.5626,424.93,62,-837.265380859375,62
72.2403,23.4,315000,31.9018,323.21,63,-867.702880859375,63
69.1754,67.7,320000,28.1989,537.19,64,-864.9708251953125,64
70.2684,73.06,325000,31.5672,334.52,65,-903.162353515625,65
68.587,203.4,330000,29.7399,835.47,66,-914.1626586914062,66
66.7893,222.5,335000,29.5688,359.67,67,-926.8077392578125,67
69.0968,226.21,340000,30.9309,515.72,68,-948.302734375,68
69.1607,259.38,345000,31.7211,676.24,69,-979.5405883789062,69
71.0449,213.27,350000,30.969,673.51,70,-1007.71533203125,70
70.4425,259.74,355000,31.8733,191.0,71,-1015.4639282226562,71
70.8622,141.15,360000,34.0991,520.42,72,-1034.109130859375,72
67.1076,191.8,365000,31.1963,407.97,73,-1032.83740234375,73
68.6124,291.64,370000,31.5679,615.84,74,-1047.7796630859375,74
68.0239,244.7,375000,32.748,790.91,75,-1072.990966796875,75
72.4964,121.93,380000,33.596,647.67,76,-1127.651123046875,76
69.7017,243.78,385000,30.2358,664.0,77,-1135.00537109375,77
67.4186,288.66,390000,29.8816,681.54,78,-1114.3226318359375,78
71.2155,96.55,395000,38.1121,706.89,79,-1178.4310302734375,79
70.9476,88.13,400000,32.7913,442.93,80,-1223.7147216796875,80
72.0089,119.15,405000,31.4119,400.92,81,-1233.6563720703125,81
68.4595,114.17,410000,27.847,590.91,82,-1202.6807861328125,82
65.8743,132.09,415000,28.1141,536.49,83,-1200.435791015625,83
70.2624,173.98,420000,28.1804,505.22,84,-1286.78173828125,84
67.8421,155.99,425000,28.469,645.89,85,-1264.61865234375,85
71.5258,222.06,430000,30.7568,661.02,86,-1347.5089111328125,86
69.8656,223.45,435000,30.7528,783.57,87,-1353.3529052734375,87
69.1539,193.3,440000,31.6734,602.06,88,-1371.7891845703125,88
68.3954,277.48,445000,30.5972,830.79,89,-1387.0501708984375,89
69.8779,185.68,450000,33.3394,768.92,90,-1423.85986328125,90
67.6988,244.51,455000,30.2318,642.96,91,-1456.14794921875,91
67.774,297.45,460000,32.1244,747.13,92,-1459.18115234375,92
70.2707,151.18,465000,31.313,615.23,93,-1490.4034423828125,93
71.1628,225.27,470000,32.5701,689.57,94,-1556.48388671875,94
68.7357,276.93,475000,30.1748,795.59,95,-1549.603515625,95
66.634,320.72,480000,30.766,684.1,96,-1542.2000732421875,96
68.1825,364.59,485000,30.904,894.15,97,-1552.06396484375,97
70.3557,346.36,490000,30.4265,837.15,98,-1650.939697265625,98
70.2069,240.17,495000,31.2205,780.64,99,-1688.940673828125,99
67.1398,368.72,500000,31.4126,699.29,100,-1657.7486572265625,100
68.6116,342.97,505000,31.4572,680.46,101,-1715.3780517578125,101
73.1745,204.16,510000,32.226,461.1,102,-1796.72509765625,102
72.7786,220.33,515000,30.0504,532.24,103,-1789.933349609375,103
69.3197,213.08,520000,30.1222,675.09,104,-1778.1326904296875,104
66.9687,258.46,525000,30.3402,770.19,105,-1763.2889404296875,105
68.9375,190.52,530000,33.1398,665.16,106,-1856.123291015625,106
68.9417,165.7,535000,31.7221,483.25,107,-1889.188720703125,107
70.5047,216.35,540000,30.3306,790.17,108,-1927.8206787109375,108
64.9248,233.57,545000,30.7197,737.02,109,-1850.8009033203125,109
65.3899,349.36,550000,29.0938,860.16,110,-1887.3079833984375,110
65.6966,403.64,555000,29.1763,687.32,111,-1895.3614501953125,111
64.9922,284.9,560000,28.4423,872.15,112,-1948.1103515625,112
64.6722,341.68,565000,28.898,1039.47,113,-1989.6024169921875,113
64.618,347.72,570000,28.8517,804.42,114,-2025.065673828125,114
71.241,181.99,575000,31.7929,560.95,115,-2156.918212890625,115
69.4442,239.75,580000,31.5333,693.0,116,-2194.56494140625,116
69.9764,266.7,585000,31.8681,731.74,117,-2205.68310546875,117
70.3139,339.48,590000,30.2473,504.57,118,-2236.505859375,118
68.5876,268.09,595000,29.1664,421.03,119,-2242.723876953125,119
69.5975,268.4,600000,29.8479,660.83,120,-2305.753173828125,120
70.2993,274.19,605000,31.1131,667.05,121,-2341.293701171875,121
68.9472,162.07,610000,31.9602,501.27,122,-2326.206787109375,122
66.2722,425.92,615000,30.6887,916.41,123,-2327.729248046875,123
65.5928,322.17,620000,29.8559,805.33,124,-2346.07568359375,124
63.1097,416.96,625000,27.7663,1045.74,125,-2321.59765625,125
69.0599,322.24,630000,30.0049,787.53,126,-2467.004150390625,126
69.032,433.88,635000,30.5147,1003.69,127,-2554.54345703125,127
60.9897,564.5,640000,27.2857,1141.4,128,-2369.07861328125,128
64.6477,420.28,645000,29.5593,971.84,129,-2542.51806640625,129
68.3086,226.59,650000,30.2559,565.98,130,-2588.504638671875,130
69.5609,313.73,655000,30.265,868.9,131,-2722.738525390625,131
68.3966,314.56,660000,30.1793,755.2,132,-2713.084228515625,132
69.0693,401.55,665000,30.3753,994.76,133,-2797.432861328125,133
63.7589,306.14,670000,27.0827,831.27,134,-2687.33935546875,134
64.4474,455.02,675000,28.6227,905.12,135,-2785.916015625,135
65.0907,309.2,680000,28.8846,670.43,136,-2823.036865234375,136
68.0646,184.43,685000,31.1672,684.62,137,-2958.01123046875,137
68.1913,219.23,690000,30.6263,708.41,138,-2938.754638671875,138
67.4216,249.16,695000,29.6121,751.87,139,-2964.30859375,139
68.8366,340.21,700000,30.4687,693.17,140,-3052.82275390625,140
64.9364,320.01,705000,27.9118,861.47,141,-3007.581298828125,141
64.6189,348.88,710000,27.7213,966.07,142,-3044.184326171875,142
66.2115,257.8,715000,28.4597,846.72,143,-3143.729736328125,143
66.3517,309.93,720000,28.6882,700.11,144,-3129.74560546875,144
66.8788,290.01,725000,29.3491,554.71,145,-3222.7099609375,145
67.843,290.88,730000,28.9099,486.71,146,-3269.63330078125,146
67.68,326.2,735000,29.5874,661.03,147,-3399.573974609375,147
61.9094,453.94,740000,27.047,884.15,148,-3190.974365234375,148
61.0809,403.65,745000,27.2912,1056.94,149,-3246.628173828125,149
57.0514,702.15,750000,24.8991,1370.88,150,-3035.421630859375,150
63.68,435.85,755000,28.4626,791.3,151,-3407.830078125,151
69.0818,288.23,760000,30.0237,634.1,152,-3616.490966796875,152
66.9533,286.24,765000,29.9703,562.13,153,-3634.794921875,153
67.7817,292.89,770000,29.6219,713.33,154,-3643.930908203125,154
66.9704,302.06,775000,29.5408,723.85,155,-3703.333740234375,155
67.512,246.67,780000,29.0046,629.4,156,-3805.931396484375,156
67.6298,299.41,785000,29.5041,837.49,157,-3860.274169921875,157
62.5456,467.09,790000,27.5915,1141.76,158,-3760.14453125,158
67.7691,361.14,795000,29.8618,753.14,159,-4016.07763671875,159
68.0421,194.02,800000,29.3654,672.56,160,-4014.105712890625,160
68.2767,280.66,805000,29.4311,533.47,161,-4048.533935546875,161
70.7779,252.59,810000,30.9825,547.4,162,-4221.873046875,162
70.6422,-140.4,815000,49.0403,18.15,163,-4283.9853515625,163
68.7649,-73.28,820000,34.739,288.73,164,-4249.33642578125,164
66.7674,97.88,825000,27.6675,497.25,165,-4118.7236328125,165
69.0392,45.34,830000,28.0982,325.43,166,-4224.10693359375,166
68.9994,92.37,835000,29.8179,578.96,167,-4392.01953125,167
65.4935,129.35,840000,28.9688,487.64,168,-4316.724609375,168
68.8345,115.17,845000,42.9536,502.33,169,-4593.6064453125,169
64.6603,255.85,850000,36.0974,673.94,170,-4370.6728515625,170
66.9112,299.28,855000,31.6646,533.0,171,-4454.44091796875,171
73.5626,155.86,860000,34.8724,564.23,172,-4920.173828125,172
63.4909,502.94,865000,28.8183,975.5,173,-4450.77685546875,173
58.7692,762.92,870000,25.3688,1198.02,174,-4115.65478515625,174
65.3915,142.76,875000,45.4579,287.78,175,-4853.1904296875,175
58.9482,404.67,880000,28.1566,1240.5,176,-4411.79443359375,176
69.3644,40.77,885000,38.3463,-93.71,177,-4811.74365234375,177
