Real Sto Return,Running Forward KL,Running Reverse KL,Real Det Return,Itration
308.0,50.2432,15.275,376.14,0
334.52,50.3062,15.6016,424.39,1
455.04,50.0638,15.2078,483.0,2
352.92,49.6003,14.353,370.95,3
458.65,48.0574,13.4261,368.68,4
399.19,48.6575,13.0475,351.7,5
439.04,49.256,15.5649,407.4,6
570.32,49.0851,18.3397,642.05,7
511.13,48.4836,16.0497,481.45,8
497.18,48.8009,13.1023,518.38,9
633.45,48.2896,13.7054,663.45,10
611.03,48.0776,13.4202,642.11,11
670.38,48.2005,20.2506,656.9,12
661.97,48.9861,27.0753,737.3,13
643.83,48.2504,29.0065,672.1,14
755.42,48.0693,27.7514,674.91,15
746.39,48.5152,22.7176,693.16,16
1207.07,47.1622,15.5255,1601.94,17
883.02,47.2098,14.6593,969.65,18
1031.85,46.9625,14.9945,1014.11,19
870.74,46.9783,13.556,1014.86,20
2168.62,46.5814,14.3189,2502.31,21
1153.72,46.6181,13.3776,1256.65,22
778.26,47.9556,20.7515,806.37,23
394.11,48.2894,16.8685,424.14,24
-2.28,55.3302,82.0211,-3.18,25
388.9,52.0912,20.761,714.33,26
-15.06,52.8397,74.2559,-9.37,27
429.39,50.1589,15.0337,372.95,28
383.35,51.2321,33.0037,503.91,29
267.59,50.8683,18.1014,396.67,30
39.2,50.5273,25.125,-0.79,31
134.76,50.2789,18.8282,38.36,32
378.32,50.1433,15.5061,429.58,33
448.84,51.5513,32.3772,-19.82,34
346.65,50.9148,30.6507,351.82,35
625.06,49.9034,18.5749,624.47,36
430.39,50.4229,22.8315,567.38,37
260.27,51.6661,21.636,303.63,38
288.48,51.0779,32.8544,175.43,39
294.25,50.1171,23.8298,469.7,40
301.75,51.1274,61.4558,273.99,41
430.16,50.0802,24.8461,355.0,42
471.38,48.8759,23.3739,589.67,43
624.26,49.3792,18.7054,826.64,44
130.37,50.9473,22.8281,128.59,45
143.43,53.6378,59.4334,151.39,46
169.43,55.8171,42.2989,390.99,47
658.01,49.3484,33.4978,678.87,48
509.34,51.2364,17.1115,901.2,49
880.23,53.8519,49.7794,969.63,50
316.2,52.1582,40.8423,362.96,51
309.8,52.0222,40.5941,306.89,52
728.65,55.0736,46.7243,778.21,53
408.07,49.0917,22.1949,381.44,54
574.58,49.5991,24.0659,580.57,55
1241.9,48.9614,21.3443,1014.11,56
636.98,50.0578,28.9713,816.24,57
678.44,48.946,29.9662,431.16,58
901.0,48.5145,28.2222,873.57,59
1637.4,48.8218,22.4206,1331.09,60
522.56,51.8924,63.4149,447.36,61
1108.71,48.978,32.5495,1129.03,62
530.25,50.1276,25.7275,472.21,63
1039.31,54.9319,40.7562,1042.69,64
381.25,50.7492,34.0652,384.61,65
92.8,52.3778,50.035,80.02,66
115.93,52.8099,85.6547,166.82,67
900.75,54.4119,45.5728,915.14,68
453.54,51.6819,37.4537,427.13,69
1001.84,56.5854,51.136,1002.03,70
499.66,51.1965,83.8528,489.7,71
853.31,53.0081,58.3026,874.96,72
778.52,52.1842,42.9835,1024.57,73
832.9,52.9472,25.6172,1023.9,74
1007.46,55.7886,52.2405,1006.67,75
70.21,55.4098,57.02,66.73,76
959.18,56.0241,47.6348,962.27,77
796.79,54.0949,45.3048,528.01,78
402.16,54.2625,53.3573,285.98,79
958.9,54.3052,35.4215,1043.17,80
1567.23,49.1442,28.6651,1048.06,81
635.78,50.5861,33.961,614.37,82
439.07,49.9203,38.8936,353.96,83
825.24,49.8674,39.5139,926.11,84
328.5,50.8441,19.3015,312.3,85
375.96,51.0209,40.3425,403.38,86
236.9,54.9975,56.0829,97.66,87
392.69,51.5527,33.756,135.53,88
324.62,52.4774,46.1512,270.99,89
-5.87,52.572,65.1042,-5.85,90
1144.99,55.1131,35.9819,1018.81,91
228.94,54.6189,47.409,354.1,92
-3.14,53.8433,55.7502,-3.67,93
748.05,50.6329,34.261,543.57,94
1018.85,56.7731,44.7155,1019.94,95
351.52,52.9521,61.0071,452.11,96
706.22,52.1445,26.0756,1041.45,97
535.85,54.4595,74.4198,772.99,98
19.17,52.6658,43.4533,18.98,99
1022.47,57.6786,62.7983,1023.58,100
988.92,53.469,44.9177,1039.75,101
448.32,50.4147,30.4605,266.73,102
467.83,48.9175,20.3654,545.87,103
1025.69,55.9044,54.339,1025.83,104
1024.71,55.8142,50.2129,1023.46,105
995.75,54.1752,43.2215,1037.45,106
1002.72,55.8609,51.3473,1002.76,107
1017.89,49.7341,38.6816,1021.13,108
1026.58,55.4886,48.6556,1017.77,109
453.16,49.9982,39.858,493.38,110
93.91,53.6034,63.9167,111.61,111
0.83,54.3245,55.6465,0.34,112
1028.26,57.9179,42.3446,1032.87,113
1030.73,55.6568,42.4645,1035.23,114
351.07,54.155,48.1269,240.55,115
50.61,56.2251,176.5294,51.38,116
46.24,54.7857,100.3196,48.68,117
-21.11,57.032,107.4214,-21.17,118
16.76,56.4028,89.5951,171.79,119
1021.0,56.3425,54.3305,1021.31,120
1004.32,57.1008,57.7678,1005.2,121
1007.71,56.421,49.9848,1009.96,122
926.73,55.0245,41.4066,1012.23,123
1024.74,54.8815,37.35,1021.01,124
1012.82,54.822,34.9855,1026.76,125
1039.23,54.973,47.4396,1037.37,126
1037.72,54.3592,60.0809,1005.98,127
1035.1,55.1275,50.7837,1032.27,128
1011.62,51.6986,28.4671,1067.49,129
108.73,53.3888,35.9229,135.67,130
86.37,54.1858,75.586,94.83,131
25.45,56.1075,83.6564,-5.18,132
994.5,56.7169,52.8331,1002.03,133
1010.16,56.6822,51.3774,1014.92,134
988.19,56.1271,44.1464,999.0,135
1025.83,54.9525,43.2885,1025.11,136
1048.37,55.8391,43.4604,1042.5,137
1049.6,54.4917,36.3689,1039.29,138
1044.12,55.3468,48.0548,1037.5,139
1008.75,55.0415,44.5052,1012.09,140
1017.51,55.4896,44.8455,1014.41,141
496.21,54.2802,73.559,451.98,142
353.35,52.7864,63.95,351.7,143
23.82,54.6694,88.6887,21.38,144
322.71,57.9998,51.5243,86.94,145
825.92,52.4319,35.9817,695.91,146
1070.62,54.544,31.2198,1014.93,147
1007.36,54.2599,26.9503,999.25,148
990.07,55.3787,41.3898,997.78,149
963.15,53.4081,24.6324,993.06,150
653.03,51.947,18.3832,940.33,151
803.05,52.463,25.5302,906.78,152
524.57,50.0164,30.0386,1155.17,153
683.18,50.7242,21.1188,803.51,154
319.79,51.9866,45.8458,422.99,155
373.87,51.2645,37.3709,488.95,156
298.34,51.6355,33.9766,335.43,157
362.27,50.4393,202.2555,777.74,158
270.47,53.6079,92.1263,223.14,159
212.31,53.5181,102.6685,141.45,160
356.5,50.8778,43.1905,509.12,161
424.26,50.8026,62.327,379.22,162
399.1,50.5367,48.8733,566.22,163
331.47,47.9413,23.187,399.78,164
945.98,47.4372,19.0109,953.05,165
263.68,49.7557,83.0158,368.09,166
23.66,54.4666,91.7634,19.01,167
127.23,54.7912,195.1255,208.14,168
990.1,56.2199,54.6697,997.44,169
-9.96,53.4562,72.3719,-10.51,170
788.36,53.2375,34.4757,1024.55,171
273.28,53.4516,57.3806,270.24,172
270.24,53.2877,90.0569,262.15,173
1007.04,55.775,38.7897,1009.82,174
971.76,55.9177,56.3983,1011.7,175
661.76,52.901,54.2058,635.38,176
254.85,49.8203,62.0699,269.69,177
323.2,51.6054,27.1551,322.38,178
-1.65,54.696,71.3653,-1.75,179
-5.84,55.4967,100.4072,-6.16,180
429.07,52.4379,35.147,112.86,181
438.54,52.9215,48.5592,333.68,182
15.17,56.3964,84.1391,25.05,183
326.97,54.4574,43.4113,540.08,184
1055.78,53.1457,22.1551,1042.28,185
1082.27,53.2668,24.9359,1046.11,186
375.64,51.1123,86.1882,610.27,187
1055.05,52.3131,36.9485,1039.5,188
894.62,49.4654,39.1472,1028.32,189
558.85,48.6644,40.4827,607.15,190
444.71,51.2494,18.5266,796.6,191
165.8,50.3995,27.8664,185.85,192
309.32,50.6555,46.5808,183.94,193
602.45,48.9932,55.3141,563.8,194
864.24,47.6099,44.7046,926.29,195
614.27,49.0319,41.1684,919.66,196
587.62,49.9415,36.2316,550.03,197
825.85,48.7017,30.6665,1066.26,198
453.3,50.28,36.2232,530.33,199
517.39,49.751,44.2958,1006.94,200
560.23,49.8607,39.4261,522.62,201
468.3,50.2298,43.5848,581.32,202
461.43,50.0504,45.0276,584.0,203
511.17,49.8026,46.4921,590.6,204
560.33,49.0967,24.192,610.04,205
631.2,48.5565,28.7343,860.26,206
551.01,49.0369,32.3674,596.36,207
515.47,49.4541,45.4858,611.67,208
554.73,49.2868,27.4783,632.21,209
680.51,48.8415,30.8062,607.1,210
390.92,50.7041,30.9763,583.77,211
550.18,49.7997,35.7044,591.81,212
441.49,50.7889,38.3517,510.79,213
858.86,47.9428,23.2479,1424.74,214
961.73,49.332,28.2808,1080.56,215
742.7,49.5664,28.8474,514.23,216
1022.31,48.2677,21.8384,1039.53,217
1077.2,48.8135,20.102,805.35,218
1016.62,48.6171,21.2491,1419.96,219
824.85,49.0019,26.1341,655.31,220
1070.05,47.7154,20.7846,940.42,221
928.64,48.0945,19.5596,1244.86,222
834.69,48.0107,17.9555,1275.45,223
808.84,48.7353,16.604,579.77,224
570.05,48.5844,15.8174,699.44,225
753.68,48.5764,20.3785,776.42,226
698.62,47.7788,15.1286,975.27,227
433.5,48.5147,14.5751,565.47,228
703.07,47.9777,16.7368,560.37,229
646.03,48.0243,14.66,672.03,230
1237.39,48.4174,17.8545,778.2,231
813.91,47.3962,14.5608,1427.35,232
1207.79,47.8393,14.7232,1262.92,233
709.42,47.5129,14.347,943.16,234
939.1,47.6456,14.6978,1399.68,235
1089.4,47.5531,13.8849,726.24,236
571.15,46.6189,20.112,1000.44,237
2030.12,47.8787,28.5598,1788.16,238
968.6,47.886,14.2207,1040.83,239
1109.6,47.0657,19.4608,1655.09,240
1153.46,47.5146,15.5593,1326.76,241
483.38,48.1293,14.6656,999.24,242
609.62,48.0956,18.4202,971.39,243
467.78,47.2899,14.8687,221.85,244
1156.98,47.6673,21.9091,1367.45,245
939.29,47.7132,19.4543,1270.39,246
774.17,46.4999,16.8874,653.46,247
718.12,49.1142,36.6609,381.49,248
673.16,48.1267,26.7269,1279.91,249
1550.27,47.6272,27.8691,1194.97,250
798.28,48.0756,33.0706,1432.42,251
611.8,48.2165,28.1277,1014.01,252
1572.65,47.2744,16.075,1447.07,253
914.31,47.6829,20.0542,1267.27,254
999.05,48.5359,30.7879,911.57,255
1110.55,47.5281,15.2992,1483.28,256
1255.3,47.8009,17.151,1490.8,257
