Real Sto Return,Running Env Steps,Real Det Return,Running Update Time,Running Forward KL,Reward Loss,Itration,Running Reverse KL
-229.62,0,-185.0,0,158.4142,24.941862106323242,0,11.6511
34.99,5000,133.19,1,157.9434,-100.20929718017578,1,12.0139
286.34,10000,415.73,2,158.8348,-201.65008544921875,2,13.8063
639.2,15000,1094.31,3,157.9328,-219.68942260742188,3,12.0996
795.09,20000,1678.29,4,157.5492,-75.0571517944336,4,12.2945
1425.1,25000,2067.55,5,157.2232,-174.74984741210938,5,12.52
1226.76,30000,2101.85,6,157.3607,-213.76824951171875,6,12.2161
1431.22,35000,2172.11,7,157.0872,-230.3711700439453,7,12.6336
1874.55,40000,2736.95,8,156.9705,-396.0632019042969,8,14.116
2526.3,45000,3108.55,9,156.2806,-475.9808654785156,9,15.0882
2863.53,50000,3299.11,10,156.5371,-513.7981567382812,10,16.2171
3069.4,55000,3497.39,11,156.6229,-521.4778442382812,11,16.4906
3367.26,60000,3911.45,12,156.07,-555.4791259765625,12,15.6333
3675.84,65000,4281.28,13,156.1788,-619.8619384765625,13,17.0507
4072.67,70000,4654.11,14,155.6556,-654.5294799804688,14,16.3641
4295.03,75000,4899.82,15,155.1993,-729.6226196289062,15,17.6413
4523.1,80000,4936.73,16,155.3318,-768.09326171875,16,16.7441
4935.21,85000,5318.68,17,155.0844,-820.4839477539062,17,16.8057
4918.34,90000,5543.51,18,153.9842,-749.4370727539062,18,14.7795
5334.55,95000,6005.34,19,154.2508,-851.233154296875,19,16.1731
5459.23,100000,5819.88,20,153.7833,-888.2552490234375,20,15.8097
5417.05,105000,6278.82,21,153.4463,-911.1505737304688,21,15.5513
5460.0,110000,6427.16,22,153.0191,-953.8627319335938,22,15.1743
5755.06,115000,6313.61,23,153.0265,-982.6791381835938,23,15.4881
6074.64,120000,6478.58,24,152.9072,-984.7057495117188,24,15.1006
6571.12,125000,6632.94,25,152.4946,-1002.3579711914062,25,15.5756
6363.99,130000,7017.7,26,152.4853,-1091.314697265625,26,16.3125
6598.99,135000,7133.84,27,152.0637,-990.838134765625,27,14.8955
6985.45,140000,7400.83,28,151.6111,-1081.4434814453125,28,15.8764
6778.41,145000,7329.68,29,151.9575,-1114.8486328125,29,15.8361
6947.13,150000,7441.79,30,151.6399,-1147.8599853515625,30,15.8377
7159.63,155000,7600.91,31,151.7179,-1172.7957763671875,31,15.5419
7383.63,160000,8144.65,32,151.1447,-1149.7027587890625,32,16.2699
7428.13,165000,7729.88,33,151.2258,-1202.6474609375,33,14.792
7383.08,170000,7660.67,34,150.8154,-1173.6861572265625,34,14.8055
7881.19,175000,8413.06,35,150.619,-1254.6181640625,35,16.574
7768.45,180000,8510.39,36,150.0597,-1241.959716796875,36,16.1254
7808.3,185000,7938.11,37,150.4878,-1294.484375,37,15.9709
8224.95,190000,8513.42,38,149.7457,-1306.41845703125,38,16.813
7842.71,195000,8707.02,39,150.0121,-1351.1859130859375,39,17.0538
8382.28,200000,8756.14,40,149.3448,-1276.1470947265625,40,16.5003
8285.43,205000,8624.9,41,150.2313,-1384.38671875,41,17.24
8203.5,210000,8597.62,42,148.9716,-1372.87939453125,42,17.8125
8165.04,215000,8490.0,43,148.3245,-1372.822021484375,43,15.9215
8644.67,220000,9106.18,44,148.1085,-1411.789306640625,44,17.2811
8223.95,225000,8598.38,45,149.4004,-1453.3355712890625,45,17.487
8517.02,230000,8990.15,46,148.3782,-1474.95703125,46,16.404
8318.95,235000,8573.62,47,149.4596,-1483.4384765625,47,17.1685
8539.4,240000,8935.59,48,148.7209,-1511.3197021484375,48,17.9357
9013.67,245000,9322.74,49,147.3691,-1504.0230712890625,49,17.1871
9121.41,250000,9551.81,50,148.022,-1496.52880859375,50,16.836
8946.26,255000,9365.75,51,148.7053,-1597.118896484375,51,18.077
9321.67,260000,9902.62,52,146.8316,-1538.7017822265625,52,17.0375
8937.5,265000,9254.61,53,148.6,-1595.0963134765625,53,17.395
8463.88,270000,8701.09,54,146.9903,-1590.1611328125,54,16.3037
9279.14,275000,9915.89,55,147.3089,-1629.1937255859375,55,17.1297
9001.58,280000,9445.85,56,147.9896,-1656.13623046875,56,18.3355
7506.12,285000,9307.31,57,146.7367,-1618.2601318359375,57,16.1835
9493.83,290000,10192.56,58,147.1692,-1653.45166015625,58,17.5622
8796.95,295000,9362.9,59,147.3474,-1692.4490966796875,59,16.5878
9119.95,300000,9870.77,60,146.6662,-1694.0618896484375,60,16.6391
7507.08,305000,8342.65,61,147.0157,-1781.013916015625,61,14.844
8465.41,310000,8963.09,62,146.721,-1770.5379638671875,62,14.5753
7693.93,315000,8965.56,63,146.4301,-1813.1578369140625,63,14.3657
8501.49,320000,9197.57,64,145.5685,-1742.59521484375,64,16.0543
9432.17,325000,9833.07,65,146.6605,-1767.8377685546875,65,17.8038
9315.43,330000,9645.87,66,147.2698,-1858.5643310546875,66,18.5084
9816.15,335000,10312.14,67,146.1875,-1795.6571044921875,67,16.9387
8355.61,340000,9295.94,68,146.3494,-1866.1759033203125,68,14.8654
9645.04,345000,10139.38,69,146.0874,-1849.28466796875,69,18.3706
9573.47,350000,10559.88,70,146.3259,-1868.73486328125,70,18.2
8559.04,355000,10494.3,71,146.1829,-1890.4052734375,71,17.0272
9119.08,360000,9202.66,72,148.0724,-1910.6597900390625,72,17.8438
9723.61,365000,10090.52,73,146.7297,-1915.6751708984375,73,18.4874
8675.13,370000,9697.9,74,146.0924,-1971.9407958984375,74,17.3532
9772.72,375000,10159.85,75,145.0362,-1963.8294677734375,75,16.4747
9489.11,380000,10398.2,76,145.5666,-2006.155517578125,76,16.4723
9901.2,385000,10364.04,77,146.583,-2052.924560546875,77,18.5992
10053.16,390000,10455.63,78,145.5489,-1999.51904296875,78,18.1351
9437.12,395000,10150.26,79,146.4174,-2068.346435546875,79,17.359
9706.51,400000,10582.36,80,145.5262,-2092.842041015625,80,16.6373
9847.34,405000,10571.79,81,145.1295,-2087.708740234375,81,16.949
9972.25,410000,10165.74,82,146.0088,-2102.675048828125,82,18.5215
10023.86,415000,10430.88,83,146.2668,-2163.031005859375,83,18.442
9965.68,420000,10158.03,84,145.6099,-2105.46337890625,84,17.1894
10139.44,425000,10532.49,85,145.9575,-2113.17578125,85,17.7112
9711.02,430000,9969.91,86,145.5544,-2244.7529296875,86,16.4586
9197.02,435000,10399.23,87,144.976,-2233.99658203125,87,16.0734
9959.49,440000,10479.77,88,145.3924,-2225.551513671875,88,17.8173
9897.8,445000,10349.83,89,146.7236,-2297.341552734375,89,19.051
9669.41,450000,9935.53,90,147.1773,-2307.60791015625,90,19.4703
9590.16,455000,10520.04,91,145.4067,-2258.35888671875,91,16.3892
10104.84,460000,10190.89,92,145.5038,-2305.15771484375,92,17.7154
8786.33,465000,9325.91,93,147.5408,-2473.2666015625,93,17.877
10231.9,470000,10682.6,94,145.5411,-2348.049072265625,94,19.4589
9924.84,475000,10329.96,95,146.1605,-2453.92138671875,95,20.0959
8427.18,480000,8806.09,96,144.5647,-2420.863037109375,96,17.1609
9692.65,485000,9761.38,97,146.2586,-2427.020751953125,97,18.3157
9507.52,490000,10266.9,98,144.5268,-2475.540771484375,98,16.6395
8901.4,495000,9059.16,99,148.4215,-2641.976806640625,99,20.2291
10282.76,500000,10573.34,100,145.1947,-2481.719482421875,100,19.6494
10367.62,505000,10694.73,101,144.5132,-2527.70751953125,101,17.0584
10475.88,510000,10880.96,102,144.3968,-2496.210693359375,102,18.7488
10364.91,515000,10881.55,103,144.4615,-2527.927978515625,103,17.733
10377.63,520000,10947.53,104,144.7181,-2527.683837890625,104,18.3218
10343.62,525000,10779.28,105,145.081,-2613.3193359375,105,18.3409
10404.65,530000,10775.46,106,144.1395,-2555.946044921875,106,18.2396
10410.34,535000,10974.37,107,144.3307,-2624.666748046875,107,17.9803
9098.92,540000,9787.33,108,146.9552,-2700.739013671875,108,17.8381
9845.5,545000,10858.37,109,144.3355,-2663.2197265625,109,17.736
9924.83,550000,10484.86,110,144.2329,-2717.1103515625,110,15.3848
10289.28,555000,10619.74,111,144.7476,-2698.81884765625,111,18.4534
10464.77,560000,10846.53,112,145.6869,-2738.1787109375,112,19.9947
10238.01,565000,10879.25,113,144.7172,-2721.58056640625,113,16.6936
10637.65,570000,11070.85,114,143.957,-2755.657470703125,114,18.0114
10557.24,575000,11024.77,115,144.6825,-2839.49755859375,115,19.5298
10587.23,580000,10974.88,116,144.4028,-2797.045654296875,116,18.5819
10053.12,585000,10980.79,117,143.8563,-2858.966796875,117,17.3277
10667.26,590000,11194.77,118,143.8883,-2814.162109375,118,17.9883
10483.61,595000,10938.39,119,143.5497,-2845.53515625,119,17.3718
10337.94,600000,10735.52,120,144.7899,-3015.877197265625,120,18.3349
9663.87,605000,9803.18,121,145.6968,-3069.199462890625,121,17.8356
10407.07,610000,10951.86,122,145.0484,-2994.867431640625,122,18.5886
10504.88,615000,11010.33,123,144.3159,-3001.673583984375,123,18.1485
10605.72,620000,10953.47,124,143.8242,-2967.39013671875,124,17.4568
10362.37,625000,10848.55,125,143.7281,-2965.402099609375,125,16.8723
10635.88,630000,10862.12,126,144.8078,-3040.321533203125,126,18.1788
10374.68,635000,10697.25,127,145.5459,-3108.856689453125,127,18.514
10529.58,640000,10962.07,128,143.6366,-3029.14697265625,128,17.1662
10562.69,645000,11216.54,129,144.3694,-3118.60693359375,129,17.6966
10726.77,650000,11178.87,130,144.5073,-3043.975830078125,130,18.4212
10698.79,655000,11070.03,131,144.8489,-3082.64599609375,131,18.4273
10447.34,660000,10690.09,132,145.0233,-3188.2685546875,132,19.4424
10507.33,665000,10817.32,133,144.4453,-3218.317138671875,133,17.751
10243.09,670000,10602.3,134,146.2712,-3257.138671875,134,18.8103
