Running Reverse KL,Real Det Return,Real Sto Return,Itration,Running Forward KL
25.882,367.69,-113.08,0,75.204
26.1267,401.17,-88.03,1,73.9918
26.7783,428.83,-51.88,2,73.963
26.3774,503.71,-21.4,3,72.8604
27.3848,645.23,6.85,4,73.0544
30.6588,647.77,29.28,5,72.5763
29.4327,739.69,92.85,6,72.1686
30.638,807.84,74.49,7,72.4441
30.986,822.93,136.28,8,72.4576
32.2268,805.98,130.82,9,71.882
32.0652,979.23,236.34,10,72.6548
32.1955,704.83,164.02,11,72.0876
31.9878,916.79,176.43,12,71.5828
30.8591,824.51,252.57,13,69.7292
31.35,986.28,235.43,14,70.113
30.6671,963.72,257.23,15,70.1729
31.9452,961.86,239.63,16,73.1273
31.177,953.19,195.33,17,71.4702
32.1174,892.19,308.81,18,71.1309
31.5777,952.12,250.04,19,71.3753
31.5066,881.49,271.62,20,72.4536
31.2085,881.39,266.13,21,70.1742
31.4345,812.92,221.03,22,72.2202
31.3867,748.69,161.6,23,71.3114
30.9798,866.24,215.8,24,70.2419
31.2225,766.02,204.46,25,70.8572
31.093,849.04,225.12,26,70.6474
31.5018,832.44,206.18,27,72.8767
31.228,944.53,247.36,28,71.0495
30.9207,908.65,284.07,29,71.079
31.2516,761.27,209.8,30,71.9488
30.8516,847.28,209.81,31,71.1061
30.6083,1017.57,286.45,32,71.3748
30.6951,935.75,303.89,33,70.6985
31.1482,823.21,271.09,34,71.9226
31.0739,871.04,333.54,35,70.3926
31.0237,907.77,273.55,36,71.3998
31.3393,847.56,264.73,37,71.9896
30.7863,1021.39,375.51,38,69.029
31.2931,966.72,272.36,39,69.9097
30.4244,1066.59,304.78,40,69.0919
31.6376,983.43,353.46,41,70.1801
30.3863,1086.79,376.65,42,68.9372
31.4539,981.74,340.21,43,71.3392
31.1719,943.28,318.61,44,71.3818
30.5131,993.5,313.5,45,69.8371
30.4512,1040.1,336.44,46,68.566
29.9703,996.55,368.95,47,67.5907
30.8626,982.91,360.03,48,69.2552
30.0951,1049.39,307.35,49,68.3181
30.2216,836.48,295.55,50,69.6537
30.763,1009.34,279.52,51,71.2564
29.8304,1029.93,316.71,52,67.8616
29.5643,976.58,328.86,53,67.4538
30.182,983.72,323.02,54,69.6068
30.1323,1003.1,272.73,55,69.9943
30.0278,1035.9,391.37,56,68.5045
29.9847,967.18,357.59,57,68.0176
30.56,871.93,367.83,58,70.6249
30.6083,981.28,356.45,59,70.0543
29.3482,1063.38,480.9,60,66.246
30.6461,975.48,340.39,61,70.6152
29.311,1010.68,397.96,62,67.6122
29.245,1076.88,430.5,63,66.7873
29.1075,1110.4,418.48,64,65.9172
30.3777,1022.04,357.74,65,69.4305
29.1908,1057.44,272.84,66,66.8414
29.8397,1092.88,394.34,67,68.9956
29.9052,880.25,362.14,68,68.5941
29.8104,1080.79,390.08,69,67.8047
30.9412,1048.75,449.09,70,71.7963
29.636,1036.6,317.1,71,68.2323
30.159,1003.28,304.5,72,69.228
29.5731,1055.83,313.46,73,67.9318
29.9928,1042.26,465.21,74,67.1246
29.4017,1085.22,438.37,75,67.1371
30.26,988.84,373.29,76,70.0286
30.041,1030.57,448.65,77,68.4118
27.3941,1175.26,630.3,78,64.2199
29.6457,1094.97,382.23,79,68.1004
29.4926,1026.54,386.92,80,67.7781
27.7051,1072.41,460.96,81,65.4623
29.9985,1047.69,366.1,82,70.5101
27.7411,995.72,449.3,83,65.1278
30.0291,1043.1,509.03,84,68.5933
27.0665,993.47,402.23,85,63.3942
30.0882,1160.48,388.87,86,69.9773
28.2405,1338.45,464.82,87,65.895
29.0408,1220.27,455.48,88,66.2683
28.8878,1083.55,570.81,89,67.1136
27.6385,1079.31,475.09,90,65.1826
27.4779,1001.47,515.37,91,64.7483
29.3698,1058.35,372.58,92,68.0059
27.1934,991.72,585.05,93,63.845
27.4187,1155.5,563.55,94,64.5407
27.4296,1330.45,784.33,95,63.5331
28.1743,1100.94,405.87,96,66.6146
27.7558,1175.18,645.59,97,64.7997
27.5756,1052.63,483.05,98,65.2935
25.6109,1666.11,901.61,99,62.0196
27.5691,1359.45,527.25,100,64.8709
27.8285,1215.38,612.66,101,65.7922
26.8902,1105.46,806.65,102,63.4972
26.4103,1966.77,919.57,103,62.8079
24.9718,1523.84,739.97,104,60.0477
26.8179,1485.22,619.59,105,63.7404
25.1392,1149.75,926.25,106,61.2185
24.9247,1301.88,812.77,107,60.8635
26.797,1668.87,1118.87,108,63.5601
