Running Reverse KL,Running Forward KL,Running Env Steps,Reward Loss,Real Sto Return,Real Det Return,Itration,Running Update Time
17.7908,32.4236,0,298.237060546875,128.44,212.75,0,0
29.3636,31.4871,5000,133.471435546875,259.06,250.86,1,1
21.8791,29.4363,10000,-62.88254165649414,286.68,288.87,2,2
19.0233,29.9629,15000,-84.09611511230469,299.34,278.07,3,3
23.3945,28.5424,20000,-48.667598724365234,299.03,398.01,4,4
47.1984,30.3743,25000,-67.78173065185547,315.88,298.42,5,5
30.7929,27.372,30000,-143.74635314941406,411.71,417.46,6,6
21.5054,28.2816,35000,-195.6911163330078,350.45,358.47,7,7
29.7741,28.2732,40000,-207.58642578125,475.25,498.21,8,8
33.2878,28.4093,45000,-269.8138122558594,448.02,435.51,9,9
32.9022,29.0625,50000,-303.4527893066406,580.85,602.15,10,10
31.0621,29.0425,55000,-346.7878723144531,540.7,564.83,11,11
28.7722,27.7519,60000,-383.617431640625,656.65,626.45,12,12
23.9779,28.0502,65000,-138.22178649902344,800.64,830.41,13,13
32.908,28.7726,70000,-350.2813415527344,725.89,722.5,14,14
28.8896,28.9418,75000,-485.76177978515625,637.36,633.89,15,15
57.2308,28.6913,80000,-382.9382019042969,646.98,663.91,16,16
30.8536,28.5242,85000,-602.6175537109375,705.18,641.47,17,17
22.4635,28.5191,90000,-510.52374267578125,860.52,648.51,18,18
26.201,28.8332,95000,-581.5673217773438,933.5,755.24,19,19
25.5582,29.1371,100000,-634.1927490234375,1015.66,926.99,20,20
27.4309,28.8118,105000,-366.5158996582031,1366.41,1134.29,21,21
18.6809,27.8423,110000,-291.158447265625,2236.37,2704.92,22,22
19.5672,28.2512,115000,-549.4028930664062,1258.12,2394.43,23,23
24.9349,28.9601,120000,-708.5283813476562,887.49,880.29,24,24
21.5035,28.6092,125000,-585.067626953125,1243.44,1785.24,25,25
19.3873,28.2628,130000,-699.2592163085938,935.17,953.49,26,26
22.2635,27.8796,135000,-759.8572998046875,1308.2,1038.43,27,27
23.1455,28.3174,140000,-889.045166015625,1158.92,2729.12,28,28
19.0702,28.2377,145000,-738.2405395507812,1365.18,2056.23,29,29
28.0972,28.4385,150000,-801.6639404296875,1118.38,2510.74,30,30
18.2804,27.8802,155000,-569.35302734375,1836.42,1927.19,31,31
17.7202,27.299,160000,-562.6156616210938,1977.35,2803.82,32,32
18.1771,28.2243,165000,-620.8318481445312,2036.62,3004.89,33,33
21.7494,28.0784,170000,-545.7465209960938,1623.43,2691.66,34,34
19.949,27.9598,175000,-695.8467407226562,1324.45,2968.21,35,35
38.3463,28.3965,180000,-936.6133422851562,1189.05,1450.73,36,36
17.9546,27.7132,185000,-723.0753173828125,1923.69,2236.94,37,37
18.1081,27.7031,190000,-591.3882446289062,2177.96,2810.09,38,38
17.2213,28.4251,195000,-790.5694580078125,1050.71,1074.28,39,39
18.4257,28.5149,200000,-730.4228515625,2037.29,3110.84,40,40
19.8532,28.0848,205000,-435.49005126953125,2535.36,2934.65,41,41
29.9149,28.5377,210000,-954.06689453125,1263.56,1950.38,42,42
19.9601,28.712,215000,-545.616943359375,2614.05,2908.93,43,43
20.5583,28.5136,220000,-1156.280029296875,1271.62,1941.86,44,44
17.4466,28.1935,225000,-713.5594482421875,2131.54,3067.88,45,45
22.9083,28.4264,230000,-979.741943359375,1408.34,3211.65,46,46
18.3803,27.936,235000,-792.8052978515625,2314.02,3063.05,47,47
17.8298,28.2082,240000,-1017.8328857421875,2138.23,3088.23,48,48
19.1387,28.5205,245000,-502.2958068847656,2998.11,2928.88,49,49
18.9312,28.4875,250000,-1009.3552856445312,2457.46,3116.5,50,50
15.4358,28.5314,255000,-1181.1402587890625,1017.63,1168.39,51,51
16.5175,28.3049,260000,-826.0447387695312,1928.34,3197.75,52,52
17.309,27.9595,265000,-811.3511962890625,2454.46,3028.17,53,53
15.5787,28.2177,270000,-1122.674560546875,1636.04,3161.75,54,54
20.3018,28.3813,275000,-923.0748901367188,2702.7,3049.68,55,55
17.893,28.2697,280000,-1374.9903564453125,1325.66,3160.41,56,56
21.2521,28.3685,285000,-1065.4559326171875,1823.43,3204.29,57,57
15.6483,28.2302,290000,-1117.1190185546875,1582.69,3161.46,58,58
18.3637,28.1009,295000,-841.2617797851562,2927.85,3069.27,59,59
14.1903,27.8684,300000,-1047.3447265625,1977.34,3166.0,60,60
16.4163,28.1406,305000,-1399.286865234375,1414.16,3230.3,61,61
16.1367,27.9574,310000,-1317.239013671875,2051.17,3091.3,62,62
19.1947,27.8881,315000,-1420.5810546875,1937.6,3076.74,63,63
17.1515,28.033,320000,-1332.591796875,1843.92,3246.53,64,64
16.2906,28.0673,325000,-1101.8232421875,2586.79,3095.62,65,65
15.8735,27.7036,330000,-1044.0662841796875,2406.12,3114.86,66,66
17.973,28.3305,335000,-1281.87890625,1792.01,3083.21,67,67
17.8166,27.6741,340000,-1213.1591796875,2595.36,3072.42,68,68
17.6792,27.5009,345000,-1187.183349609375,2431.45,3125.24,69,69
24.4559,27.8289,350000,-976.1734619140625,2940.11,3073.61,70,70
34.2406,28.5484,355000,-2097.05712890625,1423.65,3279.72,71,71
19.4238,27.6551,360000,-1647.0794677734375,1942.02,3107.86,72,72
29.8709,28.0447,365000,-1482.9278564453125,2237.03,3190.26,73,73
38.1817,28.4634,370000,-1835.0545654296875,1820.82,3244.87,74,74
18.2773,28.5925,375000,-1172.1844482421875,2562.24,3182.5,75,75
27.416,28.4384,380000,-1352.5750732421875,2866.24,3115.46,76,76
18.9706,27.6382,385000,-1019.0541381835938,2969.11,2945.47,77,77
21.5036,29.8218,390000,-718.7213134765625,3110.5,3068.53,78,78
33.1094,28.1656,395000,-2133.0439453125,1501.83,3312.34,79,79
19.5395,28.8849,400000,-978.739501953125,2872.48,2972.73,80,80
19.3226,28.6042,405000,-1048.4248046875,3153.83,3068.88,81,81
17.3973,28.456,410000,-1944.7066650390625,1785.74,3274.44,82,82
17.6243,28.286,415000,-1548.03857421875,2190.03,3259.93,83,83
25.3288,29.1429,420000,-1006.5237426757812,2856.54,3216.05,84,84
19.1048,28.4348,425000,-1539.821533203125,2778.84,3169.7,85,85
22.8707,29.014,430000,-1348.4595947265625,2895.57,3189.8,86,86
21.3291,28.3686,435000,-1096.41943359375,3101.0,3081.54,87,87
20.5831,28.6347,440000,-910.7942504882812,3189.37,3139.19,88,88
21.0083,28.6501,445000,-1082.7359619140625,2759.94,3181.46,89,89
16.5813,28.1241,450000,-1946.1348876953125,1535.92,3233.9,90,90
17.7769,28.5243,455000,-1297.222900390625,2917.16,3196.42,91,91
18.1539,28.4168,460000,-1158.043212890625,3113.81,3230.29,92,92
17.9249,28.0906,465000,-1273.095703125,2587.06,3231.07,93,93
39.6811,28.1616,470000,-1817.2064208984375,2214.83,3288.69,94,94
15.0776,27.7421,475000,-2269.717529296875,1536.69,3053.77,95,95
