Running Env Steps,Itration,Running Forward KL,Reward Loss,Real Sto Return,Real Det Return,Running Update Time,Running Reverse KL
0,0,158.4883,-32.2620849609375,-232.85,-10.97,0,11.4393
5000,1,158.2938,-90.58049011230469,-38.91,54.9,1,11.7269
10000,2,158.3514,-119.17117309570312,95.6,476.52,2,12.1258
15000,3,158.2155,-159.62838745117188,240.93,702.31,3,12.9437
20000,4,158.1913,-222.17916870117188,332.7,739.3,4,13.3282
25000,5,157.9639,-219.98622131347656,516.76,969.52,5,13.2041
30000,6,158.1061,-237.6805419921875,602.03,931.94,6,13.9129
35000,7,158.1694,-263.35400390625,797.02,1200.2,7,14.3477
40000,8,157.5606,-277.2224426269531,810.5,1110.29,8,13.6072
45000,9,157.6959,-286.98486328125,980.01,1893.76,9,14.1456
50000,10,157.0542,-327.0198059082031,1530.63,2539.9,10,13.1433
55000,11,157.2435,-388.90838623046875,2279.86,3175.69,11,14.6987
60000,12,156.7777,-478.1982421875,2865.94,3344.83,12,16.9807
65000,13,157.2602,-523.9160766601562,3401.34,3898.29,13,19.2468
70000,14,157.1218,-549.9390258789062,3592.21,4142.69,14,19.0724
75000,15,157.1413,-610.1468505859375,3763.47,4225.48,15,19.9908
80000,16,156.6861,-632.70849609375,3948.1,4429.94,16,20.2392
85000,17,157.0805,-650.1353759765625,4053.59,4443.15,17,20.0312
90000,18,157.0237,-657.836181640625,4156.48,4690.4,18,19.5478
95000,19,156.5397,-677.44287109375,4321.69,5006.06,19,18.862
100000,20,156.5504,-714.7809448242188,4466.38,4931.92,20,19.8213
105000,21,156.8401,-717.9742431640625,4628.95,5132.67,21,19.7508
110000,22,156.2913,-718.647216796875,4753.41,5301.29,22,18.7966
115000,23,156.2756,-742.3231201171875,4846.25,5520.18,23,18.4407
120000,24,155.875,-766.0140380859375,5122.89,5649.32,24,19.0711
125000,25,155.9318,-815.6283569335938,5193.94,5644.16,25,18.8866
130000,26,155.3491,-748.066650390625,5224.04,5721.08,26,17.1422
135000,27,155.3534,-762.4383544921875,5444.35,5912.68,27,17.6425
140000,28,155.5457,-798.0284423828125,5614.12,6046.45,28,17.9058
145000,29,154.8977,-787.5576171875,5676.1,6218.34,29,17.3867
