Real Sto Return,Itration,Running Forward KL,Running Reverse KL,Real Det Return
316.03,0,450.3487,243.3242,224.01
364.24,1,413.1248,303.3739,354.98
383.56,2,427.9206,308.4876,369.06
420.0,3,431.181,264.3334,514.02
452.68,4,413.43,249.655,568.71
404.02,5,424.4065,258.5353,409.0
435.73,6,415.7002,289.5299,507.6
506.76,7,409.4371,266.5894,535.59
497.68,8,398.3821,260.3905,487.19
481.02,9,394.4115,264.138,480.44
497.21,10,403.803,313.0428,468.88
497.12,11,405.4672,294.4523,460.39
569.08,12,383.2987,257.7856,626.07
576.4,13,373.5744,241.2711,571.89
611.45,14,391.8843,258.3991,583.39
526.0,15,392.1054,270.6644,475.53
546.68,16,390.1103,263.6335,583.73
670.87,17,374.1727,268.0878,565.0
700.1,18,388.5857,250.9643,653.87
644.38,19,385.8436,270.5727,776.88
692.84,20,370.1536,263.7124,581.85
595.6,21,372.342,266.3774,539.62
598.41,22,371.8989,268.9209,555.49
706.78,23,372.9228,253.3525,830.66
792.38,24,358.4496,248.772,694.75
824.81,25,358.3453,247.3035,768.14
1052.73,26,350.7137,226.9359,1520.45
948.33,27,358.9724,229.3404,1126.46
721.72,28,382.2509,255.5083,606.04
884.57,29,371.6472,253.2129,1076.64
1031.85,30,353.2579,245.222,710.37
854.7,31,351.8618,263.7019,853.72
839.08,32,380.8601,244.8536,914.57
902.46,33,371.9884,241.5979,780.8
1006.28,34,350.1713,255.8017,733.89
1325.58,35,354.2627,241.4746,937.42
1261.52,36,356.0759,268.5198,1569.11
1462.22,37,358.9729,238.1392,1363.52
1647.0,38,370.1063,259.3707,3088.2
1431.24,39,359.5879,234.1029,2383.86
1632.64,40,338.6455,187.9367,2211.01
1769.97,41,350.2216,203.5531,3219.28
1936.1,42,363.0065,239.4693,2415.83
1457.4,43,358.6785,225.8532,1879.13
1935.75,44,345.5924,193.6047,762.99
2671.01,45,330.2528,186.8306,1282.26
1683.05,46,334.6723,226.0627,1624.89
1432.92,47,347.05,206.8411,1499.75
1621.51,48,327.9285,208.863,1320.88
2094.92,49,335.9709,197.4966,1758.41
1971.85,50,318.0972,198.7892,1596.6
1558.47,51,330.322,219.1176,1505.99
2453.13,52,328.3436,183.6881,1125.01
