Running Env Steps,Running Forward KL,Real Det Return,Running Reverse KL,Reward Loss,Itration,Real Sto Return,Running Update Time
0,49.0616,358.1,12.8356,144.1646728515625,0,369.06,0
5000,49.9249,260.6,19.0023,49.99649429321289,1,321.38,1
10000,49.4546,418.11,14.794,145.5705108642578,2,429.16,2
15000,49.8562,363.87,21.6266,231.34962463378906,3,373.21,3
20000,48.9149,420.32,19.6792,184.8470916748047,4,503.63,4
25000,49.3023,508.66,24.1856,170.41883850097656,5,470.7,5
30000,47.9401,1320.23,22.6825,104.4940185546875,6,726.14,6
35000,48.0386,1761.56,17.8113,13.043254852294922,7,763.51,7
40000,48.2954,980.01,65.4106,14.750361442565918,8,764.18,8
45000,47.9311,838.62,43.9337,21.167888641357422,9,786.39,9
50000,47.686,992.64,37.0219,44.65223693847656,10,871.18,10
55000,47.1755,859.82,41.3717,55.0946159362793,11,750.69,11
60000,47.2988,954.5,56.6856,36.286293029785156,12,746.71,12
65000,47.84,762.84,15.8729,16.68578338623047,13,724.69,13
70000,47.4909,943.63,17.453,-0.8690357208251953,14,775.36,14
75000,46.8659,817.87,22.1183,-36.34376907348633,15,790.81,15
80000,46.9752,827.83,16.0007,-34.386558532714844,16,758.9,16
85000,47.1829,958.33,18.9893,-56.65582275390625,17,801.27,17
90000,47.1191,1015.28,18.7939,-53.924293518066406,18,896.6,18
95000,47.7541,965.85,18.7895,-63.85409927368164,19,840.08,19
100000,46.6509,1081.54,13.0584,-59.74777603149414,20,944.32,20
105000,47.2128,1025.85,14.9268,-87.2556381225586,21,900.06,21
110000,47.2277,1082.88,15.5224,-89.602783203125,22,949.7,22
115000,45.6252,1711.21,12.6075,-92.50043487548828,23,1242.51,23
120000,46.0748,2283.64,16.2497,-101.96946716308594,24,1201.19,24
125000,46.8968,2297.49,24.9769,-92.16773223876953,25,1341.78,25
130000,45.5631,1210.3,12.9916,-88.84627532958984,26,2138.72,26
135000,45.8774,1397.11,16.5911,-103.81018829345703,27,1897.02,27
140000,45.4003,1057.97,14.271,-114.4055404663086,28,2163.89,28
145000,45.8255,1834.94,15.8907,-108.98355102539062,29,1830.52,29
150000,45.6224,2784.59,12.9382,-118.31016540527344,30,2627.32,30
155000,45.5031,2641.37,12.8137,-141.17831420898438,31,2449.39,31
160000,45.6503,787.17,13.3045,-158.83493041992188,32,1050.2,32
165000,45.1712,2752.04,13.5552,-131.3406219482422,33,2705.43,33
170000,44.9748,2778.91,13.4246,-137.6948699951172,34,2388.38,34
175000,44.8844,2955.63,13.026,-153.5341796875,35,2571.26,35
180000,44.9308,2909.53,13.361,-167.3793487548828,36,2338.99,36
185000,44.3498,3105.52,13.5226,-158.09161376953125,37,2930.92,37
190000,44.5964,3051.8,14.0135,-173.19656372070312,38,2909.72,38
195000,44.5951,3368.21,15.7092,-179.78636169433594,39,3354.14,39
200000,44.922,3216.92,15.994,-185.98699951171875,40,3409.14,40
205000,44.6671,3407.98,15.2905,-193.75408935546875,41,3314.94,41
210000,43.9598,3566.99,15.8186,-198.89456176757812,42,3279.66,42
215000,44.1279,3393.73,15.9786,-195.47637939453125,43,3297.61,43
220000,43.9345,3633.35,14.0508,-213.7100372314453,44,3351.27,44
225000,43.9669,3256.39,19.0156,-237.0332489013672,45,3233.21,45
230000,43.2644,2612.13,14.0792,-221.97970581054688,46,3311.54,46
235000,42.9499,3731.91,14.2808,-218.7456817626953,47,3606.49,47
240000,43.3226,3732.97,15.2964,-221.0989532470703,48,3711.07,48
245000,42.6543,3816.07,13.9774,-228.0557098388672,49,3786.83,49
250000,43.0988,3868.2,16.3225,-235.03610229492188,50,3806.59,50
255000,41.9856,3796.53,14.7696,-214.1654815673828,51,3670.68,51
260000,42.3668,3980.61,16.7822,-221.2039794921875,52,3858.0,52
265000,42.2657,4006.4,17.5802,-214.16151428222656,53,3940.81,53
270000,42.1953,3962.54,17.0493,-232.5362091064453,54,3921.97,54
275000,42.5635,4163.42,17.0674,-238.79054260253906,55,4075.71,55
280000,43.9093,4165.61,18.8381,-255.83106994628906,56,4108.36,56
285000,42.686,979.13,18.6318,-261.8854675292969,57,4050.45,57
290000,45.0896,4206.44,21.7483,-278.0248107910156,58,4160.37,58
295000,42.6459,4202.15,18.378,-254.47341918945312,59,4153.43,59
300000,42.8811,4318.46,18.3837,-279.49749755859375,60,4241.3,60
305000,43.375,4317.66,17.6119,-311.8014221191406,61,4238.42,61
310000,44.823,4297.24,21.0092,-288.8721923828125,62,4249.51,62
315000,43.8839,4555.38,20.4407,-269.18780517578125,63,4412.79,63
320000,43.346,4494.96,19.6971,-280.1441955566406,64,4328.73,64
325000,44.7009,4492.79,19.9629,-298.2958984375,65,4295.92,65
330000,44.769,4413.25,21.1307,-305.2069396972656,66,4358.87,66
