Running Reverse KL,Running Forward KL,Running Env Steps,Real Sto Return,Itration,Real Det Return,Running Update Time,Reward Loss
261.2935,464.7154,0,336.55,0,286.2,0,-1558.774169921875
260.6833,438.4164,5000,318.32,1,301.97,1,-2924.797607421875
265.6696,432.7444,10000,347.03,2,346.2,2,-5227.2060546875
250.8711,422.1486,15000,392.0,3,430.07,3,-6148.216796875
255.8222,425.9123,20000,421.1,4,423.59,4,-7189.66259765625
290.8485,424.1535,25000,403.2,5,346.27,5,-7421.00732421875
277.0207,410.2257,30000,423.27,6,345.03,6,-8788.5537109375
284.3299,426.8588,35000,419.11,7,362.08,7,-10796.7509765625
260.4978,416.9957,40000,494.63,8,494.61,8,-10970.640625
259.7298,412.4489,45000,489.38,9,396.18,9,-9277.9619140625
259.5682,414.125,50000,450.05,10,350.5,10,-13742.3447265625
254.5689,412.1407,55000,421.45,11,362.56,11,-14750.4765625
247.6308,411.144,60000,507.46,12,449.92,12,-13242.44140625
250.382,404.2739,65000,571.59,13,609.92,13,-14112.236328125
231.6552,390.3778,70000,635.68,14,550.66,14,-14649.5673828125
247.6309,405.1793,75000,600.61,15,605.95,15,-16154.6083984375
241.3024,393.1233,80000,646.77,16,533.35,16,-15582.4091796875
249.2289,390.7223,85000,571.02,17,650.97,17,-15311.5400390625
241.3648,383.5883,90000,557.63,18,502.97,18,-17786.248046875
245.9664,389.411,95000,565.72,19,501.71,19,-16274.7724609375
247.1622,382.4659,100000,671.37,20,502.39,20,-18280.255859375
236.1271,377.6272,105000,663.08,21,625.77,21,-15998.5498046875
238.3275,376.7112,110000,611.61,22,726.6,22,-18780.865234375
241.9933,377.5289,115000,615.63,23,517.81,23,-16915.716796875
225.9784,380.6579,120000,672.03,24,575.76,24,-18476.052734375
232.3745,373.4897,125000,726.74,25,622.92,25,-18160.68359375
226.948,364.4456,130000,721.35,26,635.45,26,-18394.47265625
223.8372,379.8998,135000,770.68,27,761.32,27,-20374.3515625
247.8533,386.3837,140000,742.77,28,654.23,28,-21116.1015625
242.0214,381.3991,145000,805.17,29,745.45,29,-20428.47265625
238.9709,370.6412,150000,737.48,30,785.02,30,-21266.763671875
241.6603,364.6051,155000,769.09,31,598.81,31,-21788.337890625
234.0046,385.8446,160000,723.3,32,631.53,32,-21195.05859375
228.6423,360.2284,165000,750.1,33,610.66,33,-22132.92578125
218.2461,366.8419,170000,827.54,34,661.02,34,-22729.88671875
221.1405,357.941,175000,890.31,35,829.23,35,-21535.05859375
206.3085,354.6006,180000,911.91,36,873.72,36,-23947.490234375
208.2701,337.5986,185000,907.99,37,754.0,37,-24745.57421875
187.2145,338.7871,190000,1231.24,38,1089.27,38,-22583.6484375
216.8851,339.3972,195000,1014.07,39,683.54,39,-25591.525390625
191.5998,330.8577,200000,1150.17,40,1052.59,40,-24770.244140625
198.913,333.1533,205000,1148.64,41,816.18,41,-26262.205078125
197.7092,322.0216,210000,1053.7,42,906.5,42,-26754.91796875
218.4811,334.975,215000,1289.63,43,1015.32,43,-25595.11328125
143.9135,304.9074,220000,2088.89,44,1306.56,44,-20665.8359375
160.6013,304.8542,225000,1946.23,45,2489.05,45,-21101.560546875
208.797,333.9696,230000,2133.48,46,1798.21,46,-27333.154296875
201.0618,327.3825,235000,1842.13,47,1571.58,47,-25815.7734375
142.3867,313.7795,240000,2609.54,48,1584.59,48,-18220.919921875
163.9555,306.2868,245000,2484.85,49,1655.68,49,-21223.966796875
204.0903,323.6222,250000,1849.25,50,1775.24,50,-24625.796875
130.1181,292.5088,255000,2233.08,51,2009.65,51,-16933.388671875
155.0094,307.2611,260000,2019.34,52,1440.83,52,-19821.29296875
203.4352,318.1652,265000,1703.28,53,1018.4,53,-28354.607421875
142.6044,299.7796,270000,2219.44,54,2048.86,54,-19615.69140625
177.4719,313.2499,275000,1644.32,55,1460.18,55,-24666.185546875
136.225,299.687,280000,3024.35,56,1878.73,56,-17802.490234375
115.0696,288.7011,285000,3316.0,57,2232.29,57,-16199.8974609375
150.2596,307.3269,290000,2444.35,58,2044.99,58,-22951.560546875
176.0446,307.527,295000,2203.89,59,2144.79,59,-24196.197265625
142.8652,301.1129,300000,3915.72,60,2836.38,60,-21243.41015625
259.8006,335.7664,305000,1025.12,61,605.46,61,-37039.203125
176.8581,309.9653,310000,1587.43,62,1121.51,62,-29026.298828125
113.384,291.0017,315000,4249.72,63,2124.94,63,-15969.7734375
184.9595,306.3098,320000,2156.46,64,959.0,64,-31085.234375
249.7227,335.7206,325000,1147.06,65,892.07,65,-39215.26171875
218.4257,315.037,330000,1395.32,66,1024.21,66,-36884.42578125
272.7121,335.349,335000,1153.75,67,832.26,67,-41524.33203125
235.7763,331.6092,340000,1662.12,68,1054.96,68,-37808.80078125
143.6185,295.7452,345000,2938.57,69,759.49,69,-25575.248046875
148.2498,312.5195,350000,2908.69,70,1030.55,70,-26918.306640625
114.2309,290.1622,355000,4587.68,71,1711.55,71,-22056.65625
108.5956,292.1618,360000,4064.53,72,2313.87,72,-17211.73046875
116.8758,294.1456,365000,3595.73,73,1256.4,73,-22090.1796875
116.7393,296.3874,370000,4397.89,74,1548.65,74,-24392.6171875
170.3008,309.8521,375000,3535.65,75,804.41,75,-34631.0390625
134.6061,299.4939,380000,3065.75,76,818.67,76,-30234.80078125
169.8107,309.4258,385000,3079.95,77,960.07,77,-34399.1953125
107.0034,286.1261,390000,3674.28,78,942.45,78,-23834.6953125
125.115,293.4754,395000,3979.96,79,3477.5,79,-29960.439453125
161.1522,302.8854,400000,2690.09,80,790.83,80,-36836.28125
93.3148,280.4055,405000,4439.75,81,2090.2,81,-26763.4453125
120.0056,291.1429,410000,4381.59,82,1884.88,82,-30291.890625
87.4107,274.8366,415000,3986.91,83,1660.27,83,-23710.646484375
86.589,270.9698,420000,4721.4,84,3330.36,84,-25141.916015625
138.9054,278.6087,425000,4616.3,85,3906.06,85,-31846.154296875
95.0768,284.3642,430000,4858.0,86,4084.85,86,-26166.470703125
86.0059,272.2939,435000,5039.54,87,3193.65,87,-27371.294921875
100.8967,277.2716,440000,4778.03,88,3534.82,88,-30248.2421875
101.4651,273.9777,445000,4466.28,89,3417.25,89,-32268.26953125
88.6504,273.33,450000,4803.21,90,4105.47,90,-32150.693359375
84.3759,276.2359,455000,4879.73,91,1092.24,91,-30876.947265625
87.3947,272.738,460000,4940.99,92,4190.46,92,-30749.6484375
90.299,276.0863,465000,4756.16,93,3499.63,93,-32997.3984375
82.5818,274.0329,470000,4664.96,94,3142.99,94,-31429.626953125
93.4572,285.2513,475000,3831.12,95,966.06,95,-35582.9453125
108.0099,279.0963,480000,4449.71,96,3045.52,96,-38842.33984375
135.8745,289.0353,485000,3540.3,97,3408.57,97,-41178.4765625
83.848,276.2434,490000,4322.93,98,4095.16,98,-35063.86328125
91.5891,279.5779,495000,3928.11,99,1291.24,99,-38847.453125
100.8408,279.1504,500000,3730.83,100,3134.42,100,-39543.625
