Running Env Steps,Real Det Return,Running Reverse KL,Itration,Running Update Time,Reward Loss,Running Forward KL,Real Sto Return
0,219.51,19.3624,0,0,35.59522247314453,32.0553,223.44
5000,294.31,34.967,1,1,52.9483757019043,30.3831,297.66
10000,330.34,16.7326,2,2,26.031217575073242,30.2649,323.25
15000,239.71,17.2474,3,3,18.436893463134766,30.9237,238.81
20000,549.79,31.565,4,4,31.989328384399414,28.6788,488.97
25000,580.61,46.9126,5,5,20.072471618652344,26.5748,565.85
30000,711.1,31.2815,6,6,8.521615982055664,24.6804,894.97
35000,365.02,31.92,7,7,1.3072974681854248,26.5874,423.62
40000,883.18,22.4002,8,8,-2.78959059715271,26.8352,827.47
45000,621.14,30.5584,9,9,37.14032745361328,27.4795,618.13
50000,2989.3,13.2531,10,10,30.660017013549805,23.1016,2748.15
55000,1029.14,16.5182,11,11,-28.951269149780273,25.9331,867.27
60000,531.88,21.8135,12,12,-81.6225357055664,29.1525,552.71
65000,285.34,17.9283,13,13,6.871004581451416,29.6506,319.49
70000,704.37,14.2547,14,14,-41.852745056152344,23.0906,1503.94
75000,387.46,35.1063,15,15,-58.00630187988281,26.3495,362.98
80000,539.51,24.1511,16,16,-41.321128845214844,26.5887,737.6
85000,1341.07,12.4662,17,17,-33.26442337036133,24.6063,1540.32
90000,1654.06,12.2071,18,18,-27.2061824798584,25.4414,1088.54
95000,485.07,39.7515,19,19,-48.19486999511719,25.9013,474.84
100000,298.46,101.3347,20,20,-28.510791778564453,31.5835,292.0
105000,559.12,19.8484,21,21,-99.51721954345703,32.0192,523.58
110000,215.28,32.7574,22,22,-122.11266326904297,31.2805,213.35
115000,9.33,62.9523,23,23,-168.06495666503906,31.5316,9.73
120000,604.83,28.1259,24,24,-149.3144073486328,26.2747,487.35
125000,252.23,26.7698,25,25,-134.27066040039062,32.1215,265.72
130000,1016.76,24.8416,26,26,-190.30657958984375,36.4592,1012.54
135000,1007.54,35.5701,27,27,-193.44326782226562,37.6539,192.35
140000,1007.94,35.1244,28,28,-226.76670837402344,37.8004,1008.18
145000,649.9,43.2011,29,29,-121.54740142822266,28.8462,702.25
150000,111.48,39.3375,30,30,-235.89483642578125,36.5599,113.75
155000,212.89,30.843,31,31,-230.21817016601562,33.8249,295.78
160000,1002.01,82.1585,32,32,-252.732666015625,34.4322,724.57
165000,369.96,54.7637,33,33,-266.09039306640625,31.5563,371.45
170000,744.32,30.7599,34,34,-259.2317810058594,31.722,742.36
175000,1017.6,39.9857,35,35,-283.8228454589844,36.4205,1018.14
180000,102.2,54.424,36,36,-238.4736785888672,35.1415,98.57
185000,1003.15,51.0832,37,37,-315.09051513671875,40.3174,1003.24
190000,992.53,44.1747,38,38,-322.134033203125,37.6832,992.41
195000,992.73,48.5321,39,39,-333.9806823730469,37.6915,992.42
