Real Sto Return,Running Env Steps,Running Update Time,Itration,Reward Loss,Real Det Return,Running Forward KL,Running Reverse KL
187.45,0,0,0,-1363.6397705078125,185.3,32.7184,17.9256
227.93,5000,1,1,-1226.8387451171875,246.14,30.9863,16.3106
284.73,10000,2,2,-1263.7249755859375,300.99,30.1374,16.1353
284.91,15000,3,3,-1190.63916015625,286.11,30.1902,16.0196
344.7,20000,4,4,-1314.9256591796875,349.13,28.8063,14.7984
347.58,25000,5,5,-1354.3206787109375,353.82,28.8569,17.1154
492.71,30000,6,6,-716.4539184570312,523.44,28.0884,13.3954
642.3,35000,7,7,-728.1372680664062,675.98,27.6227,14.5765
731.14,40000,8,8,-773.4148559570312,789.46,26.7776,14.7837
674.44,45000,9,9,-766.0172729492188,688.8,27.029,14.3276
676.68,50000,10,10,-999.6187133789062,635.01,25.5456,12.0735
730.66,55000,11,11,-877.2140502929688,723.16,25.877,12.3341
785.56,60000,12,12,-940.3046264648438,997.22,26.8749,12.7955
436.74,65000,13,13,-1186.0260009765625,247.78,25.2033,11.7829
743.34,70000,14,14,-922.7157592773438,789.61,25.4208,13.5608
841.9,75000,15,15,-886.1622314453125,741.07,25.6632,13.5958
884.08,80000,16,16,-950.5199584960938,404.0,24.8352,12.6077
864.25,85000,17,17,-1727.7568359375,657.8,25.7017,16.1258
889.81,90000,18,18,-1162.5657958984375,898.28,24.9306,13.322
954.23,95000,19,19,-1313.7452392578125,970.52,25.2273,12.5883
941.08,100000,20,20,-1205.932861328125,1737.57,25.5191,13.6207
1046.59,105000,21,21,-1235.4473876953125,2233.62,25.042,13.0383
1251.1,110000,22,22,-1067.1671142578125,2905.51,24.2996,12.4481
1724.76,115000,23,23,-1119.01513671875,3124.82,23.9715,12.1559
2477.04,120000,24,24,-858.0093994140625,2930.81,24.1778,13.955
2237.55,125000,25,25,-835.99072265625,2574.78,23.0765,13.0378
1471.63,130000,26,26,-1083.24365234375,3061.77,23.8397,13.2843
1673.37,135000,27,27,-1396.2550048828125,3082.89,24.1599,13.1881
1963.78,140000,28,28,-1150.814697265625,1731.29,23.737,12.4589
3266.62,145000,29,29,-561.0582885742188,3278.65,24.3367,16.1742
1803.03,150000,30,30,-1204.155517578125,1628.59,24.0938,12.6331
3106.8,155000,31,31,-688.2888793945312,3175.46,22.1885,15.3055
2039.88,160000,32,32,-1234.3336181640625,3134.64,24.1116,12.4844
2606.6,165000,33,33,-1011.9847412109375,3281.92,22.1853,13.2693
2352.66,170000,34,34,-1424.563720703125,1716.6,23.0848,12.4913
2192.62,175000,35,35,-1095.4903564453125,3288.19,23.742,13.1511
2693.78,180000,36,36,-774.8280029296875,3317.81,22.3858,14.9976
3148.55,185000,37,37,-873.0177001953125,3374.75,22.0025,13.2018
2574.79,190000,38,38,-1093.0162353515625,3374.94,22.6563,12.7153
2164.35,195000,39,39,-1299.69140625,3195.13,24.0946,13.9665
3086.06,200000,40,40,-668.8206787109375,3346.16,22.7805,15.3018
2674.25,205000,41,41,-678.53369140625,3159.92,21.8417,13.0045
3293.99,210000,42,42,-640.999267578125,3346.29,22.9955,16.5521
2601.05,215000,43,43,-1204.698974609375,3409.55,23.1212,13.1911
2166.13,220000,44,44,-1592.994384765625,3434.41,22.0404,11.7903
1890.88,225000,45,45,-1338.4749755859375,401.2,23.8337,13.6734
2819.52,230000,46,46,-1215.348388671875,3378.92,21.8366,13.5384
2828.48,235000,47,47,-1115.0169677734375,3377.86,23.4761,13.9288
1411.69,240000,48,48,-1208.5623779296875,1075.97,21.5763,18.758
3314.84,245000,49,49,-840.1019287109375,3294.36,22.9233,15.3749
3096.78,250000,50,50,-1009.0323486328125,2958.67,21.8314,13.3364
2975.21,255000,51,51,-1252.208740234375,3249.94,23.3527,14.7893
2498.86,260000,52,52,-1249.363037109375,2721.06,22.9939,13.4144
2755.08,265000,53,53,-1063.4644775390625,2751.85,21.8172,11.6858
2776.12,270000,54,54,-1210.5555419921875,2976.32,24.5883,16.7578
2819.48,275000,55,55,-1245.3656005859375,2783.93,24.8137,15.8674
3211.88,280000,56,56,-1001.1566772460938,3189.49,21.7398,15.6338
3289.72,285000,57,57,-865.6966552734375,3279.2,20.9772,14.4756
3282.21,290000,58,58,-936.43603515625,3233.59,23.6652,16.9836
1281.19,295000,59,59,-2803.74853515625,1010.36,26.1445,29.0017
2880.84,300000,60,60,-1453.3140869140625,2935.83,22.4728,12.2023
2647.08,305000,61,61,-1075.16015625,3386.65,25.1592,17.781
133.5,310000,62,62,-3467.812744140625,125.19,31.3353,182.8399
805.34,315000,63,63,-2527.251708984375,774.16,25.4811,32.2317
578.93,320000,64,64,-2973.514404296875,806.98,25.3746,16.5413
782.53,325000,65,65,-2584.781982421875,538.51,25.9703,40.8994
320.85,330000,66,66,-2876.56689453125,367.83,29.5076,45.29
355.2,335000,67,67,-2468.4560546875,363.24,28.7521,44.911
346.91,340000,68,68,-3116.677001953125,345.19,28.8383,42.3499
86.21,345000,69,69,-3997.7451171875,38.98,30.1917,34.8528
985.43,350000,70,70,-3348.61767578125,987.04,36.1091,45.2115
1011.08,355000,71,71,-3342.812744140625,1011.29,38.5536,39.2572
1019.06,360000,72,72,-3482.891845703125,1027.37,33.9733,38.9791
1038.07,365000,73,73,-3504.2421875,1038.79,34.7727,35.3264
800.34,370000,74,74,-3569.2333984375,854.76,32.6391,23.9847
1173.01,375000,75,75,-3424.510986328125,1217.68,33.502,21.1958
1377.12,380000,76,76,-3074.050537109375,1454.66,31.7848,17.6146
1269.26,385000,77,77,-2769.25244140625,1424.01,31.1544,17.8683
406.08,390000,78,78,-3701.676025390625,696.69,29.4382,23.2932
