Itration,Running Forward KL,Running Env Steps,Running Reverse KL,Running Update Time,Real Sto Return,Reward Loss,Real Det Return
0,439.1749,0,321.7101,0,281.81,432.7201843261719,245.88
1,448.3551,5000,270.6648,1,305.57,-297.841552734375,280.71
2,430.8155,10000,278.1133,2,337.33,-452.76690673828125,379.15
3,422.9019,15000,258.4438,3,342.49,-1041.8653564453125,218.53
4,439.8685,20000,267.417,4,398.22,-508.7094421386719,383.57
5,443.8701,25000,292.7004,5,342.39,-900.8207397460938,328.0
6,424.7213,30000,289.7933,6,309.77,-1351.064208984375,277.32
7,429.9798,35000,275.3477,7,313.58,-1562.0064697265625,307.17
8,439.0333,40000,259.7652,8,379.0,-1892.9571533203125,317.97
9,423.0813,45000,267.7982,9,401.88,-1976.23486328125,405.18
10,409.7349,50000,247.7167,10,415.0,-2083.03271484375,396.46
11,433.2368,55000,254.5349,11,455.05,-2366.040771484375,394.48
12,437.9903,60000,265.0229,12,474.39,-2291.172119140625,374.11
13,426.211,65000,262.0474,13,479.49,-2654.787109375,456.38
14,411.1973,70000,241.8393,14,533.6,-2835.785888671875,569.93
15,420.242,75000,262.4996,15,490.1,-3093.010009765625,581.59
16,424.7662,80000,244.5944,16,554.33,-3369.326171875,511.9
17,402.1622,85000,254.6901,17,568.59,-3437.650146484375,572.19
18,409.698,90000,268.9308,18,534.38,-3405.849853515625,703.0
19,400.6974,95000,254.0551,19,565.05,-3537.67724609375,618.32
20,398.2082,100000,248.5143,20,651.8,-3525.16748046875,631.35
21,410.7226,105000,265.8636,21,509.31,-3490.62353515625,457.8
22,399.7561,110000,269.5326,22,575.82,-3700.079345703125,439.69
23,408.1145,115000,251.8195,23,571.05,-3758.0546875,471.39
24,424.9609,120000,287.5644,24,589.0,-4229.23486328125,522.95
25,400.4213,125000,255.3184,25,539.85,-4082.897216796875,472.81
26,397.6581,130000,265.1779,26,766.92,-4546.68017578125,549.18
27,408.6414,135000,256.1604,27,569.66,-4336.57177734375,585.7
