Running Forward KL,Reward Loss,Real Det Return,Real Sto Return,Itration,Running Env Steps,Running Update Time,Running Reverse KL
32.1742,375.1231994628906,216.13,206.92,0,0,0,20.9835
28.4473,312.80877685546875,298.52,288.89,1,5000,1,14.4481
28.9422,291.223388671875,344.89,338.42,2,10000,2,15.2212
29.6723,334.5957336425781,377.77,366.49,3,15000,3,19.9607
28.6005,402.2539367675781,414.58,410.3,4,20000,4,13.8202
28.2832,243.03033447265625,440.87,458.12,5,25000,5,12.9072
29.1062,227.8062286376953,381.68,373.16,6,30000,6,27.5925
26.6765,184.33734130859375,437.78,484.27,7,35000,7,31.7707
26.1109,189.0646514892578,512.32,510.07,8,40000,8,48.55
25.2223,57.86273193359375,1048.1,744.95,9,45000,9,26.7164
25.306,43.25225830078125,752.88,749.37,10,50000,10,51.8404
23.8549,-108.97921752929688,542.48,1032.64,11,55000,11,68.7987
23.4309,-22.285762786865234,2015.24,1346.6,12,60000,12,37.682
23.2396,-27.88100814819336,975.15,915.56,13,65000,13,48.3339
21.0885,122.8443603515625,2648.39,1625.2,14,70000,14,74.4401
20.8185,74.17842864990234,2893.29,1650.1,15,75000,15,40.3877
21.9445,-25.565624237060547,3180.34,1584.05,16,80000,16,35.2411
20.4339,-79.20433807373047,2403.05,2564.71,17,85000,17,35.1137
19.6455,-34.43800735473633,3169.13,2571.98,18,90000,18,17.9921
21.1351,-42.399837493896484,1100.5,1800.75,19,95000,19,28.6417
21.6428,-68.92627716064453,1634.56,1835.14,20,100000,20,35.354
20.0088,-76.17948913574219,2021.48,2600.81,21,105000,21,18.9639
20.3156,-109.23938751220703,3274.81,2315.17,22,110000,22,25.5803
21.5754,-138.523681640625,1057.74,1895.2,23,115000,23,25.9537
21.756,-171.2478790283203,1061.6,1636.22,24,120000,24,31.2994
19.2668,-126.14088439941406,3325.09,2906.59,25,125000,25,15.9292
20.2506,-176.4945068359375,3202.82,2282.73,26,130000,26,23.163
19.4305,-124.87620544433594,3268.81,3053.34,27,135000,27,13.9528
19.7359,-68.87135314941406,3264.59,3265.42,28,140000,28,13.9807
19.9441,-249.30584716796875,2031.2,2685.05,29,145000,29,17.6048
20.0781,-146.9333038330078,3394.23,2978.61,30,150000,30,15.7502
20.4966,-237.32945251464844,3305.11,2322.92,31,155000,31,18.1474
20.1208,-88.96204376220703,3347.69,3079.94,32,160000,32,13.6411
