Running Reverse KL,Reward Loss,Real Det Return,Real Sto Return,Running Forward KL,Running Update Time,Running Env Steps,Itration
19.1628,-462.8410339355469,3436.21,2946.58,19.9771,70,350000,70
32.8383,-1804.5062255859375,1875.91,1837.49,22.4472,71,355000,71
15.8251,-726.9829711914062,3438.62,2854.32,20.1069,72,360000,72
13.6302,-451.4564514160156,3357.66,3156.51,20.7226,73,365000,73
14.41,-506.761962890625,3379.01,3168.3,20.3296,74,370000,74
12.5906,-447.84539794921875,3389.0,3117.16,20.2101,75,375000,75
38.296,-1346.658203125,3414.32,2830.71,20.9566,76,380000,76
20.3277,-959.3338012695312,3424.1,3380.98,21.2779,77,385000,77
12.3402,-952.3082275390625,3419.97,2595.98,20.7776,78,390000,78
37.1192,-1488.825439453125,3373.37,2582.51,20.8722,79,395000,79
30.7583,-954.4313354492188,3357.96,3337.04,20.4776,80,400000,80
13.5607,-478.18902587890625,3402.6,3381.12,20.9928,81,405000,81
13.9216,-746.37744140625,3417.32,2784.23,21.3089,82,410000,82
35.0803,-1280.358154296875,3448.2,2658.11,20.5381,83,415000,83
14.0445,-1057.7850341796875,3426.71,2801.78,20.9734,84,420000,84
12.1037,-774.4345092773438,3396.65,2757.51,20.5562,85,425000,85
42.3489,-1940.5550537109375,3193.98,2255.68,21.8684,86,430000,86
24.8368,-973.7692260742188,3461.05,2939.18,20.3067,87,435000,87
19.9547,-695.1956176757812,3452.55,2762.34,20.4186,88,440000,88
25.8505,-1378.7760009765625,3383.47,2927.84,21.1453,89,445000,89
22.7555,-1279.0614013671875,3433.7,2753.26,21.4388,90,450000,90
14.2397,-515.44287109375,3458.95,3184.07,19.8533,91,455000,91
30.8416,-911.5147094726562,3443.56,2844.9,20.0582,92,460000,92
27.1666,-1242.43212890625,3372.42,2574.92,20.6983,93,465000,93
17.3953,-968.2515258789062,3461.68,2807.55,20.0936,94,470000,94
14.6632,-1025.49560546875,3372.58,3167.37,20.4173,95,475000,95
66.5766,-2784.757568359375,2573.57,2512.49,22.3843,96,480000,96
