Running Env Steps,Itration,Reward Loss,Running Update Time,Running Reverse KL,Running Forward KL,Real Sto Return,Real Det Return
0,0,-1232.0517578125,0,16.2331,31.4869,206.95,198.47
5000,1,-1476.8453369140625,1,18.3576,31.5577,241.95,231.44
10000,2,-1253.5008544921875,2,49.7819,29.9543,298.78,294.71
15000,3,-721.8078002929688,3,92.0406,27.2131,369.14,367.5
20000,4,-1057.04736328125,4,36.1408,29.3068,156.91,150.69
25000,5,-970.266357421875,5,36.0222,25.1952,515.87,595.11
30000,6,-1031.475830078125,6,37.1749,26.8893,609.19,537.09
35000,7,-1279.7972412109375,7,64.0411,26.4798,656.41,717.03
40000,8,-1074.1424560546875,8,44.6988,24.797,772.47,826.77
45000,9,-1003.358154296875,9,46.3801,25.495,1038.44,1049.36
50000,10,-1020.3195190429688,10,45.1274,24.9962,702.94,1054.25
55000,11,-1042.9794921875,11,20.5089,25.3879,897.04,1017.36
60000,12,-703.6009521484375,12,36.8623,25.627,916.07,861.06
65000,13,-369.8442077636719,13,18.5504,24.115,1558.54,2278.73
70000,14,-1135.3717041015625,14,15.5568,25.3004,1264.18,1202.4
75000,15,-1210.2471923828125,15,15.1921,23.8131,1303.33,2051.15
80000,16,-840.3728637695312,16,12.8034,23.4128,1500.46,920.17
85000,17,-1476.3070068359375,17,16.4019,24.4199,1672.83,756.93
90000,18,-499.36297607421875,18,12.3656,21.961,2930.6,2846.05
95000,19,-830.66748046875,19,14.4566,21.3933,1479.37,3299.55
100000,20,-743.7261962890625,20,13.6231,20.6939,1564.86,2015.64
105000,21,-982.3341064453125,21,19.3776,21.3132,2126.68,3094.14
110000,22,-924.6162109375,22,12.015,21.9575,2515.45,1224.66
115000,23,-1056.909423828125,23,13.6127,20.8137,1559.27,3154.26
120000,24,-173.74903869628906,24,12.1899,20.1617,3096.12,3338.87
125000,25,-206.53604125976562,25,15.8414,22.6789,3320.14,3341.86
130000,26,-344.271240234375,26,12.8385,20.615,3065.39,3328.88
135000,27,-494.9429626464844,27,20.6172,19.095,2555.53,3242.57
140000,28,-279.1184997558594,28,13.7952,20.3511,3215.95,3356.05
145000,29,-270.3620910644531,29,13.0496,20.2103,3076.54,3315.91
150000,30,-240.52850341796875,30,13.5646,20.1694,3203.86,3173.3
155000,31,-407.9703063964844,31,13.3308,20.3535,3182.35,3387.72
160000,32,-972.5678100585938,32,15.251,20.4805,2627.65,3361.49
165000,33,-486.0829162597656,33,12.6759,20.5871,2693.19,3416.99
170000,34,-1753.7774658203125,34,22.1975,22.031,1472.29,3377.37
175000,35,-1365.4853515625,35,21.6276,20.3818,2434.18,1064.21
180000,36,-324.4671325683594,36,14.8948,19.0295,2755.51,3475.46
185000,37,-1114.043701171875,37,17.7525,20.8184,2451.04,3474.82
190000,38,-1809.2442626953125,38,36.0454,21.4845,1361.67,1027.11
195000,39,-449.18487548828125,39,14.1237,21.3685,3264.76,3436.84
200000,40,-398.9081115722656,40,13.8454,20.2012,3309.19,3453.76
205000,41,-106.98701477050781,41,12.8669,18.8841,2994.11,3513.21
210000,42,-783.2378540039062,42,15.2199,19.6843,3263.53,3483.42
215000,43,-1150.728271484375,43,17.75,18.2804,1924.46,3506.79
220000,44,-215.7441864013672,44,13.1094,19.4321,3477.57,3504.99
225000,45,-296.9676513671875,45,13.1428,20.1149,3468.16,3514.11
230000,46,-172.48927307128906,46,15.5834,20.7851,3532.6,3582.16
235000,47,-334.57110595703125,47,11.9191,18.4337,3310.39,3480.24
240000,48,-396.47222900390625,48,12.0708,19.0409,3448.59,3508.7
245000,49,-345.9565124511719,49,12.2019,17.9853,3453.62,3515.69
250000,50,-248.09593200683594,50,11.1695,18.264,3473.32,3527.11
255000,51,-231.79153442382812,51,13.4046,20.0925,3477.18,3528.72
260000,52,-266.80523681640625,52,11.2228,18.053,3434.83,3506.31
265000,53,-361.67974853515625,53,11.6095,19.5723,3389.92,3471.73
270000,54,-214.97227478027344,54,12.4953,18.6079,3509.9,3585.05
275000,55,-376.5574951171875,55,11.5782,18.1822,3285.43,3468.77
280000,56,-381.54876708984375,56,11.4142,18.2069,3391.48,3457.66
285000,57,-259.0910339355469,57,12.0705,18.7225,3426.92,3518.93
290000,58,-248.23915100097656,58,10.0151,16.467,3437.75,3512.5
