Real Det Return,Reward Loss,Running Forward KL,Itration,Running Update Time,Running Env Steps,Running Reverse KL,Real Sto Return
361.25,40.22627639770508,75.6589,0,0,0,26.5893,-73.89
435.59,30.964258193969727,74.2442,1,1,5000,26.5163,-33.97
633.57,18.42711067199707,75.3541,2,2,10000,27.3095,-22.92
499.6,15.679361343383789,74.7043,3,3,15000,28.0587,20.69
514.28,1.3742055892944336,74.9252,4,4,20000,29.5093,51.05
655.69,-10.221467971801758,73.92,5,5,25000,30.5717,50.21
578.53,-21.29939079284668,74.2928,6,6,30000,29.4836,113.37
742.4,-29.990657806396484,72.316,7,7,35000,31.9751,161.98
705.58,-45.70006561279297,73.6743,8,8,40000,31.556,126.25
526.81,-54.01197052001953,72.8301,9,9,45000,30.8148,151.83
640.96,-62.93924331665039,71.7484,10,10,50000,32.7384,146.39
541.26,-79.19245910644531,71.6194,11,11,55000,32.8547,165.18
682.26,-89.41930389404297,69.9576,12,12,60000,31.4097,156.73
800.35,-100.9836196899414,73.4039,13,13,65000,33.2117,257.92
753.03,-109.18309020996094,71.4996,14,14,70000,33.9184,173.42
618.34,-121.29315948486328,70.3357,15,15,75000,31.726,234.11
763.64,-138.0284881591797,72.2213,16,16,80000,33.676,192.63
797.42,-149.5967559814453,71.7902,17,17,85000,32.2134,230.49
791.28,-160.3575439453125,71.0465,18,18,90000,30.7956,212.39
779.44,-166.6994171142578,69.7436,19,19,95000,31.7505,213.19
726.6,-181.58731079101562,69.7097,20,20,100000,31.7161,195.64
802.73,-196.8950958251953,71.2558,21,21,105000,30.9494,222.28
755.5,-197.47059631347656,70.7178,22,22,110000,33.6911,187.01
975.16,-213.81118774414062,69.9959,23,23,115000,31.4747,195.55
822.0,-229.16490173339844,70.9437,24,24,120000,31.9748,225.54
707.94,-237.69427490234375,69.2134,25,25,125000,31.1221,228.76
823.75,-251.09872436523438,71.6545,26,26,130000,31.7741,254.05
903.95,-268.4848937988281,70.2255,27,27,135000,31.6224,295.48
779.49,-275.89208984375,69.5028,28,28,140000,30.085,255.54
918.89,-289.3238525390625,70.7807,29,29,145000,31.3736,274.14
853.18,-294.53363037109375,69.8611,30,30,150000,30.2384,234.87
779.4,-311.89599609375,70.6229,31,31,155000,31.0274,290.9
984.03,-319.9152526855469,68.4881,32,32,160000,30.6387,302.82
854.43,-340.60125732421875,69.8207,33,33,165000,30.467,233.75
745.15,-351.6089782714844,70.9124,34,34,170000,31.2448,287.96
938.85,-359.2550048828125,68.7214,35,35,175000,29.9995,355.67
1031.77,-371.8735656738281,70.949,36,36,180000,31.1738,387.75
1047.3,-383.5958251953125,68.9799,37,37,185000,30.6939,259.67
892.77,-391.8474426269531,67.1756,38,38,190000,29.9467,326.21
993.39,-417.8210754394531,69.475,39,39,195000,30.6661,270.93
967.05,-427.72174072265625,69.1636,40,40,200000,30.2447,237.4
922.19,-439.3394775390625,70.0957,41,41,205000,29.7126,428.81
1055.56,-436.2188415527344,67.4822,42,42,210000,29.0885,365.53
1019.51,-465.5821838378906,70.198,43,43,215000,30.3855,333.48
1203.05,-477.9363098144531,70.3634,44,44,220000,29.8886,469.77
1051.54,-475.08209228515625,66.6367,45,45,225000,28.7634,339.35
1035.11,-493.2900390625,67.0009,46,46,230000,28.4686,409.21
1181.29,-515.9175415039062,68.9667,47,47,235000,29.8329,451.59
1204.15,-534.8716430664062,68.2777,48,48,240000,29.4079,425.29
1048.75,-541.4002685546875,68.8366,49,49,245000,29.7963,364.13
1167.19,-547.7077026367188,67.0262,50,50,250000,28.9047,446.03
1021.87,-550.6275634765625,64.7188,51,51,255000,28.3406,515.15
1233.57,-580.7582397460938,68.1308,52,52,260000,29.5499,408.04
1098.73,-602.1513671875,67.5227,53,53,265000,29.2854,373.9
1134.91,-601.3990478515625,67.6187,54,54,270000,29.3946,428.79
1184.16,-582.5631713867188,64.3772,55,55,275000,27.5096,474.87
1076.76,-635.0618896484375,68.2734,56,56,280000,29.3721,531.51
1204.6,-654.876953125,68.5369,57,57,285000,29.5243,445.5
1097.69,-666.2711181640625,67.6209,58,58,290000,29.9006,299.87
1492.98,-680.6387329101562,66.8962,59,59,295000,28.9076,526.08
1252.94,-692.0988159179688,66.9306,60,60,300000,28.989,449.47
1516.81,-689.1497802734375,64.6993,61,61,305000,28.327,562.39
1175.09,-734.6898193359375,67.4823,62,62,310000,29.4433,590.53
1159.11,-746.8892822265625,68.637,63,63,315000,28.809,516.8
1427.1,-745.8030395507812,67.0585,64,64,320000,28.9557,648.08
1369.27,-737.6399536132812,63.9976,65,65,325000,27.3556,623.02
1280.54,-701.4432983398438,62.5637,66,66,330000,26.2792,556.34
1362.73,-784.7962646484375,65.5439,67,67,335000,27.9288,670.98
1276.16,-822.176513671875,67.5948,68,68,340000,28.5812,567.88
1326.04,-807.7802124023438,65.1989,69,69,345000,28.4804,625.95
1058.47,-807.8828735351562,64.0047,70,70,350000,26.6554,501.04
1420.39,-820.2569580078125,63.7875,71,71,355000,27.3313,807.7
1541.01,-836.7854614257812,63.5768,72,72,360000,27.2382,473.18
1401.48,-823.6943969726562,62.7316,73,73,365000,27.0385,722.52
1708.8,-888.2540893554688,64.2822,74,74,370000,27.29,549.52
1855.46,-829.605224609375,61.1346,75,75,375000,26.1659,810.55
1841.61,-829.0975952148438,60.4201,76,76,380000,24.4909,827.91
1927.07,-802.81396484375,60.6164,77,77,385000,26.1949,1018.69
2232.89,-739.552490234375,59.8768,78,78,390000,29.6237,1257.94
2106.66,-864.4568481445312,59.8854,79,79,395000,24.6035,1372.96
2375.64,-903.7347412109375,62.3141,80,80,400000,26.6717,1031.21
2424.46,-858.2177124023438,61.1603,81,81,405000,27.6659,1313.88
1975.47,-825.023193359375,59.513,82,82,410000,26.9544,1164.24
2134.32,-927.8740234375,60.6112,83,83,415000,25.7603,1067.77
2338.03,-842.7426147460938,59.4951,84,84,420000,26.8316,1288.79
2386.45,-875.2634887695312,61.0742,85,85,425000,26.4086,1115.76
2157.52,-973.4076538085938,61.0968,86,86,430000,25.4291,1353.6
2568.38,-945.0293579101562,59.944,87,87,435000,26.4939,1415.81
2516.45,-1012.48046875,60.8176,88,88,440000,25.8915,1603.43
2222.35,-966.0674438476562,60.5273,89,89,445000,25.3922,1076.73
2489.67,-903.4766845703125,60.2121,90,90,450000,29.0231,1634.04
2170.97,-899.8878173828125,59.7836,91,91,455000,27.7905,1775.47
2396.7,-959.6246337890625,59.7504,92,92,460000,27.7759,1377.64
2339.27,-1067.164306640625,60.8511,93,93,465000,26.6618,1597.89
2665.47,-969.2929077148438,60.5789,94,94,470000,29.4556,1700.24
2408.7,-1051.8028564453125,60.5413,95,95,475000,26.9415,1813.27
2732.98,-1041.133544921875,60.0946,96,96,480000,27.2418,1547.87
2698.08,-997.9578247070312,58.6892,97,97,485000,28.0641,1913.21
2475.0,-1055.0009765625,60.9611,98,98,490000,28.9008,1857.58
2467.84,-1013.432373046875,58.7246,99,99,495000,28.6535,1672.69
2510.79,-1079.009033203125,58.9908,100,100,500000,26.3595,1586.9
1909.91,-1135.0606689453125,59.8099,101,101,505000,27.2384,1273.9
2428.83,-1087.5609130859375,60.0281,102,102,510000,29.4389,1696.69
2782.16,-1064.9368896484375,58.2054,103,103,515000,27.8937,2025.4
2248.61,-1088.12646484375,58.4987,104,104,520000,25.3274,1585.41
2521.3,-1271.3734130859375,60.335,105,105,525000,24.9959,1919.44
2651.48,-1213.7276611328125,59.7637,106,106,530000,25.965,1719.07
2459.37,-1063.599609375,62.1063,107,107,535000,33.3296,1976.82
2607.4,-1270.6805419921875,61.0768,108,108,540000,27.235,1842.01
2098.32,-1214.569091796875,60.1848,109,109,545000,27.6745,1132.35
2357.52,-1299.2730712890625,60.7705,110,110,550000,26.528,2048.11
2755.07,-1117.4691162109375,58.952,111,111,555000,29.2189,2013.69
2760.46,-1189.3944091796875,58.678,112,112,560000,27.7486,1847.92
2811.74,-1280.1854248046875,59.9771,113,113,565000,25.4264,1792.27
2762.45,-1210.38671875,59.8254,114,114,570000,28.6734,2240.48
2753.83,-1227.038818359375,59.3544,115,115,575000,28.247,1972.79
2683.37,-1349.8177490234375,59.9249,116,116,580000,26.4489,1813.09
3081.47,-1341.39306640625,59.619,117,117,585000,25.3314,2018.32
