Running Forward KL,Real Sto Return,Reward Loss,Running Reverse KL,Itration,Running Env Steps,Running Update Time,Real Det Return
48.547,486.18,95.46223449707031,12.9565,0,0,0,504.06
49.1853,316.13,21.653905868530273,22.7805,1,5000,1,465.97
48.9771,371.51,-32.76824951171875,26.369,2,10000,2,374.69
49.4248,398.72,-68.12834930419922,35.647,3,15000,3,380.06
49.6889,501.51,18.766536712646484,22.341,4,20000,4,407.91
49.1721,520.64,48.969627380371094,23.2271,5,25000,5,380.46
46.9058,969.56,93.9991455078125,17.6094,6,30000,6,1171.2
47.9155,608.9,59.94480895996094,13.22,7,35000,7,649.53
47.8112,810.84,-133.38662719726562,29.4185,8,40000,8,777.98
47.5403,934.28,-164.24363708496094,39.423,9,45000,9,982.2
47.742,670.6,-161.8345489501953,43.938,10,50000,10,894.74
47.6538,826.89,-100.79814147949219,31.7266,11,55000,11,971.12
47.5714,839.52,-155.51959228515625,36.1758,12,60000,12,928.48
47.539,844.92,-118.26004028320312,34.4359,13,65000,13,1050.18
47.0375,940.93,17.873794555664062,21.1561,14,70000,14,806.99
47.2029,909.81,-154.97560119628906,32.3689,15,75000,15,989.45
46.8971,1206.42,-37.24777603149414,25.9306,16,80000,16,1169.32
46.5375,987.96,2.1423697471618652,28.2974,17,85000,17,1086.52
45.9468,1199.2,-20.76864242553711,14.1622,18,90000,18,1115.16
46.841,1115.83,5.382269859313965,21.6632,19,95000,19,1308.92
46.8353,1141.73,1.4145970344543457,19.895,20,100000,20,1203.87
46.6497,1057.24,-58.808265686035156,26.7328,21,105000,21,1183.12
47.232,1020.88,-44.799537658691406,30.709,22,110000,22,1017.4
46.502,1095.7,-64.10646057128906,23.4059,23,115000,23,1332.5
46.4956,1095.32,-46.25701904296875,16.4859,24,120000,24,1029.0
46.5688,1132.15,-33.14557647705078,19.5524,25,125000,25,995.57
45.9658,1192.69,-79.53435516357422,32.1582,26,130000,26,1207.8
46.7685,1056.18,-75.98036193847656,18.5573,27,135000,27,1111.51
46.3302,1030.86,-132.990234375,33.7409,28,140000,28,1010.37
46.407,1101.11,-135.16351318359375,23.2335,29,145000,29,1097.54
47.0601,1230.87,-144.90721130371094,22.9762,30,150000,30,1207.01
46.4101,1125.9,-115.2801513671875,25.4965,31,155000,31,1162.3
47.1933,987.8,-130.04771423339844,28.1786,32,160000,32,984.11
46.9966,1082.95,-82.5267105102539,21.3797,33,165000,33,1086.89
