Running Env Steps,Reward Loss,Real Det Return,Real Sto Return,Itration,Running Forward KL,Running Reverse KL,Running Update Time
0,-639.086181640625,400.85,259.48,0,437.0302,260.0679,0
5000,-1815.5296630859375,279.83,288.35,1,418.991,279.4002,1
10000,-2604.12109375,348.25,296.95,2,441.4621,260.5962,2
15000,-3374.55712890625,419.65,408.74,3,422.2501,233.5616,3
20000,-5856.107421875,575.98,362.62,4,421.5371,255.3028,4
25000,-5293.4365234375,352.39,355.71,5,439.5997,269.8009,5
30000,-5850.3564453125,404.2,392.62,6,428.8098,264.7964,6
35000,-8491.1982421875,391.59,455.59,7,404.3252,257.6686,7
40000,-10127.626953125,451.44,399.47,8,428.1316,265.3695,8
45000,-11517.2431640625,394.91,407.77,9,425.2798,262.0425,9
50000,-12592.5361328125,344.57,395.32,10,435.0929,270.9546,10
55000,-13810.29296875,425.24,481.44,11,403.4573,264.6144,11
60000,-17676.158203125,536.19,442.18,12,410.2141,264.2529,12
65000,-16643.177734375,464.24,458.82,13,403.8418,257.5201,13
70000,-16935.2265625,429.27,493.86,14,404.6705,257.0096,14
75000,-19377.5703125,420.92,454.78,15,412.4323,265.74,15
80000,-21241.232421875,391.19,444.0,16,419.061,275.5453,16
85000,-21365.833984375,437.19,516.89,17,408.3274,248.4999,17
90000,-23907.353515625,442.43,511.23,18,418.834,270.1917,18
95000,-23713.724609375,561.13,556.33,19,408.5437,258.867,19
100000,-23975.611328125,521.07,531.12,20,400.608,249.9066,20
105000,-24796.306640625,472.37,527.47,21,388.0074,255.094,21
110000,-27360.162109375,551.35,520.66,22,408.5568,265.2161,22
115000,-27719.576171875,562.75,554.09,23,407.9144,256.0436,23
120000,-29925.99609375,612.03,518.89,24,402.7418,263.6501,24
125000,-31024.265625,663.22,627.31,25,408.2299,281.3189,25
130000,-31497.548828125,615.58,632.88,26,411.6106,246.826,26
135000,-32465.830078125,593.75,600.1,27,388.3775,257.4089,27
140000,-31847.400390625,636.86,626.17,28,392.9615,255.7028,28
145000,-31677.974609375,656.65,689.97,29,394.7865,256.929,29
150000,-35531.12890625,731.06,747.93,30,409.0158,263.0845,30
155000,-35285.16015625,623.64,687.73,31,402.0309,275.0225,31
160000,-36911.4140625,621.04,658.68,32,403.4913,286.2139,32
165000,-37958.2578125,652.97,729.85,33,405.5083,291.5974,33
170000,-39334.37890625,724.68,651.85,34,402.3744,272.2445,34
175000,-40743.390625,536.21,604.16,35,420.0188,272.3447,35
180000,-40608.94921875,599.66,679.37,36,401.459,258.3896,36
185000,-40907.45703125,624.88,687.42,37,393.4935,253.1859,37
190000,-40644.5390625,607.51,619.28,38,396.6399,254.9838,38
195000,-41581.15234375,541.61,732.55,39,389.1174,248.5346,39
200000,-40297.65625,701.32,737.11,40,386.9696,236.298,40
205000,-41721.90234375,576.37,797.89,41,398.1318,255.0968,41
210000,-44951.51953125,725.73,749.14,42,392.4571,258.7391,42
215000,-42045.24609375,621.35,772.36,43,380.2642,242.0323,43
220000,-44800.5546875,597.9,808.91,44,383.8036,241.7007,44
225000,-43437.3828125,899.19,1032.5,45,389.9157,239.4881,45
230000,-42430.30078125,796.55,971.72,46,387.0841,229.3554,46
235000,-43425.03515625,751.57,851.38,47,385.3816,229.1173,47
240000,-43937.796875,659.01,910.85,48,401.7282,233.7765,48
245000,-40867.37890625,708.79,1231.92,49,374.4476,215.0601,49
250000,-40977.328125,711.36,1290.14,50,382.4795,210.6468,50
255000,-45304.5,786.38,956.18,51,377.6426,231.9354,51
260000,-42062.1015625,755.04,2026.09,52,377.5943,213.2393,52
265000,-41193.46875,748.66,1580.01,53,354.395,204.1033,53
270000,-43075.37890625,809.94,1028.85,54,363.6357,221.5834,54
275000,-40445.50390625,730.3,1311.89,55,354.7336,199.1401,55
280000,-43014.06640625,817.77,1651.74,56,365.0262,203.9887,56
285000,-40898.2109375,983.96,1951.87,57,357.1746,191.4388,57
290000,-35399.24609375,789.08,1628.41,58,335.0623,171.4215,58
295000,-39077.6640625,848.09,1672.23,59,349.4685,185.4662,59
300000,-42741.85546875,908.14,1848.9,60,350.9761,184.7205,60
305000,-47434.93359375,822.29,2051.37,61,362.763,201.7199,61
310000,-44477.1171875,912.19,1289.84,62,352.2533,198.9169,62
315000,-37978.33203125,880.37,1591.31,63,338.9774,176.333,63
320000,-36548.375,754.69,2412.27,64,336.9009,165.6612,64
325000,-28377.267578125,776.5,1972.13,65,326.9257,139.1668,65
330000,-36229.640625,999.88,2640.26,66,332.7613,165.9009,66
335000,-50940.96484375,822.0,1505.15,67,361.3909,237.376,67
340000,-53814.078125,696.71,1294.16,68,369.1922,250.0314,68
345000,-49161.4921875,714.04,1012.8,69,356.2869,219.5098,69
350000,-37650.1953125,792.87,3141.49,70,333.1135,165.4729,70
355000,-42123.65234375,733.18,2087.06,71,347.7445,183.5758,71
360000,-37068.94921875,733.21,2095.91,72,334.3145,160.949,72
365000,-37896.359375,752.21,2155.33,73,331.1671,167.9209,73
370000,-32482.599609375,764.27,3052.7,74,331.9457,139.9794,74
375000,-39979.92578125,794.67,2385.97,75,338.5616,160.2186,75
380000,-28809.685546875,1040.91,3648.37,76,325.9253,124.7829,76
385000,-40337.83984375,719.51,2409.13,77,332.0063,159.2556,77
390000,-27072.005859375,722.23,3991.89,78,317.6869,122.7884,78
395000,-32865.0234375,836.82,2624.19,79,327.0221,136.3026,79
400000,-30318.826171875,1035.81,2304.22,80,319.778,128.0009,80
405000,-29426.31640625,1691.32,4416.16,81,316.0125,126.0697,81
410000,-32815.65234375,1243.95,2798.79,82,326.2853,126.9879,82
415000,-23252.9375,982.31,3931.92,83,317.1969,111.7999,83
420000,-30202.2421875,1109.97,4445.8,84,320.8006,123.8208,84
425000,-26352.66015625,1017.07,3929.96,85,314.4259,112.9836,85
430000,-35030.0859375,963.85,4427.42,86,321.2918,133.4241,86
435000,-40646.20703125,2016.15,2952.7,87,333.4136,149.2219,87
440000,-40030.83984375,3071.28,4640.05,88,322.4241,139.616,88
445000,-33579.3828125,1437.65,3860.91,89,326.3461,123.6355,89
450000,-31063.23828125,3745.15,4784.67,90,314.2572,108.8152,90
455000,-39918.37109375,1677.65,3651.5,91,322.8044,130.7484,91
460000,-36975.40625,2180.69,3416.15,92,316.8871,123.3987,92
465000,-49934.58984375,1123.28,3208.88,93,343.7749,178.4084,93
470000,-40840.7734375,1672.53,2752.58,94,323.4283,134.8221,94
475000,-38535.2734375,1201.34,4316.34,95,322.3776,136.9182,95
480000,-38281.96875,3142.94,4346.4,96,325.3028,117.9055,96
485000,-39394.77734375,1312.74,3133.41,97,317.957,116.8183,97
