Running Forward KL,Real Det Return,Reward Loss,Itration,Real Sto Return,Running Env Steps,Running Reverse KL,Running Update Time
33.3719,188.8,308.300537109375,0,198.43,0,22.8667,0
30.6774,76.42,299.3125305175781,1,287.64,5000,89.7331,1
29.821,315.17,383.8991394042969,2,301.39,10000,41.3544,2
31.5507,358.85,388.21112060546875,3,352.81,15000,77.1565,3
26.8027,454.69,457.7380676269531,4,690.07,20000,80.439,4
29.3485,451.33,196.74839782714844,5,686.04,25000,24.0517,5
26.3386,1658.96,122.79126739501953,6,1393.83,30000,21.0308,6
26.0172,1353.71,98.67548370361328,7,1557.85,35000,31.9368,7
26.0382,2307.01,59.01990509033203,8,2384.69,40000,13.5857,8
24.7953,2995.75,78.68296813964844,9,2181.9,45000,16.1345,9
25.1174,3025.11,-53.494232177734375,10,1346.79,50000,16.6839,10
25.3959,2600.21,15.223098754882812,11,2607.88,55000,15.2586,11
26.1714,3050.25,120.73727416992188,12,3030.11,60000,19.2938,12
25.4051,3030.84,19.774791717529297,13,1294.52,65000,14.9295,13
24.4857,3145.06,48.803321838378906,14,3124.9,70000,17.1316,14
23.7096,3137.89,40.69148254394531,15,2273.1,75000,13.5648,15
23.9101,1761.19,-84.8104248046875,16,2067.97,80000,21.4128,16
24.5255,999.54,-270.170654296875,17,1027.18,85000,37.0276,17
26.9808,420.57,-453.7116394042969,18,525.82,90000,38.0643,18
25.1865,2781.57,3.2768890857696533,19,2937.29,95000,19.2523,19
25.8696,1200.01,-265.3602600097656,20,1403.76,100000,26.8914,20
25.181,2998.75,-23.131511688232422,21,2882.23,105000,16.0549,21
24.8515,1650.23,-262.6462097167969,22,1478.28,110000,24.0046,22
23.432,1425.15,-129.7481231689453,23,2072.35,115000,15.6039,23
24.7935,2732.12,-138.2779083251953,24,2764.12,120000,21.469,24
25.7174,3204.86,28.833892822265625,25,3162.68,125000,20.1764,25
27.3472,1416.82,-288.26678466796875,26,1864.34,130000,15.7946,26
38.6496,995.6,-595.800537109375,27,993.31,135000,33.1526,27
32.2365,272.24,-732.9074096679688,28,270.23,140000,22.6151,28
38.6415,981.83,-637.9639282226562,29,980.78,145000,48.0081,29
36.6518,980.55,-670.9829711914062,30,980.33,150000,47.0459,30
39.5043,996.01,-738.503662109375,31,994.09,155000,40.0547,31
26.4384,2496.35,-299.8870544433594,32,1786.27,160000,19.1034,32
26.637,2751.54,-270.7033996582031,33,2719.57,165000,17.407,33
39.5466,985.19,-892.8468627929688,34,930.52,170000,38.7892,34
37.7726,1026.87,-926.58349609375,35,1027.15,175000,29.9672,35
38.3843,1048.71,-1058.2579345703125,36,1049.07,180000,32.4571,36
28.2559,531.53,-740.4143676757812,37,617.74,185000,20.5218,37
37.3442,998.25,-1088.5804443359375,38,996.88,190000,34.1589,38
37.057,1010.5,-1154.03759765625,39,1010.25,195000,35.5733,39
36.0659,1033.96,-1208.03369140625,40,1034.89,200000,31.2633,40
39.5696,999.05,-1278.7098388671875,41,999.19,205000,36.716,41
26.9935,2850.08,-229.55877685546875,42,2870.88,210000,19.3713,42
26.9619,1668.82,-933.1571044921875,43,1671.09,215000,22.3003,43
39.1616,1020.93,-1451.3636474609375,44,1020.92,220000,32.5597,44
26.3145,2889.67,-212.71615600585938,45,2938.88,225000,19.4558,45
26.4621,2903.46,-271.6463623046875,46,2926.07,230000,19.0075,46
25.6633,2852.73,-257.3163757324219,47,2884.65,235000,17.5717,47
25.7923,2916.42,-191.0240478515625,48,2945.31,240000,18.491,48
25.5376,2972.63,-316.7933044433594,49,2973.73,245000,16.803,49
25.4491,2891.26,-277.53973388671875,50,2930.96,250000,17.3859,50
25.733,3154.65,-188.53318786621094,51,3143.89,255000,19.2199,51
24.8682,3045.51,-267.6235656738281,52,3027.55,260000,17.0824,52
24.4901,3146.54,-157.16171264648438,53,3161.18,265000,16.7391,53
24.7157,3204.77,-201.88291931152344,54,3179.94,270000,16.5517,54
23.5291,3196.83,-192.4216766357422,55,3173.88,275000,17.0019,55
24.4622,3181.46,-173.35353088378906,56,3153.0,280000,16.6856,56
24.7889,3174.69,-280.5502014160156,57,3173.72,285000,17.7387,57
24.9556,3126.07,-270.24591064453125,58,3127.39,290000,18.11,58
25.5203,3167.13,-279.4415588378906,59,3152.92,295000,18.6736,59
25.9446,3161.3,-307.0572814941406,60,2815.2,300000,19.5249,60
25.9631,3134.86,-280.4670715332031,61,2563.92,305000,19.2444,61
25.8949,3100.36,-326.37939453125,62,1912.77,310000,18.9172,62
