Running Reverse KL,Running Env Steps,Itration,Running Update Time,Running Forward KL,Reward Loss,Real Sto Return,Real Det Return
10.3445,625000,125,125,20.1789,-725.557861328125,2899.96,2948.96
9.6712,630000,126,126,19.3037,-639.3695068359375,2791.73,3013.97
12.0865,635000,127,127,20.7325,-850.6900024414062,2812.21,2941.37
10.1083,640000,128,128,20.8003,-824.1448974609375,2906.37,2914.87
10.2541,645000,129,129,20.4487,-814.3259887695312,2644.68,2845.77
10.1227,650000,130,130,19.8154,-692.3907470703125,2922.21,2985.17
14.2671,655000,131,131,20.4112,-866.9259643554688,2832.25,2930.51
10.0543,660000,132,132,20.4477,-805.3756103515625,2903.81,2902.67
9.9174,665000,133,133,19.9862,-720.216064453125,2905.64,2964.34
10.766,670000,134,134,20.0003,-868.5164184570312,2825.05,2909.8
10.1424,675000,135,135,20.1027,-805.8507080078125,2859.26,2950.22
13.8752,680000,136,136,19.9707,-782.5711669921875,2974.97,2983.39
10.2527,685000,137,137,20.0608,-775.0228881835938,2981.02,2959.48
10.3311,690000,138,138,19.631,-692.458984375,2883.06,2977.8
9.4085,695000,139,139,19.5095,-758.4678955078125,2921.13,2983.47
10.0034,700000,140,140,20.3559,-911.8560791015625,2777.51,2904.57
9.9652,705000,141,141,20.3593,-849.6703491210938,2819.46,2901.74
9.6605,710000,142,142,19.422,-768.6322631835938,2978.87,2948.04
9.7748,715000,143,143,19.4168,-749.6144409179688,2969.07,2989.22
9.5036,720000,144,144,19.3728,-769.591552734375,2932.33,2948.5
9.1339,725000,145,145,18.848,-634.6565551757812,2896.19,2961.47
13.9115,730000,146,146,20.268,-1015.0814819335938,2784.31,2968.83
9.6957,735000,147,147,19.3827,-777.8955688476562,2698.15,2970.68
10.3102,740000,148,148,19.9788,-822.8489379882812,2958.97,2948.87
9.0599,745000,149,149,18.9876,-760.43115234375,2994.72,2975.44
9.6951,750000,150,150,19.5346,-759.575927734375,2864.92,2962.71
8.6115,755000,151,151,18.6857,-673.7904052734375,2938.71,2999.91
11.4796,760000,152,152,18.8683,-859.3734130859375,2815.48,2942.83
9.4806,765000,153,153,19.5684,-907.9857788085938,2879.12,2974.2
10.3922,770000,154,154,20.0106,-856.9178466796875,2637.06,2888.23
9.212,775000,155,155,18.6598,-688.7274780273438,2932.1,2959.36
9.3782,780000,156,156,19.0631,-731.9602661132812,2512.1,3036.02
9.7605,785000,157,157,19.0803,-890.06591796875,2887.05,2954.29
8.9754,790000,158,158,18.9899,-749.2337036132812,2876.46,2972.18
8.9501,795000,159,159,18.4995,-653.0211181640625,2684.05,3086.82
9.4612,800000,160,160,18.8186,-663.3062744140625,3061.73,3021.07
9.806,805000,161,161,18.5026,-735.8679809570312,2939.82,3043.08
9.061,810000,162,162,18.4686,-753.9776000976562,2998.93,2991.25
8.8131,815000,163,163,18.5698,-712.1919555664062,2982.51,3039.06
9.3105,820000,164,164,18.7767,-722.1432495117188,3050.31,3029.27
8.9133,825000,165,165,18.2516,-740.3448486328125,3047.27,3085.11
8.3851,830000,166,166,17.8855,-591.7743530273438,3035.61,3118.88
9.2864,835000,167,167,18.0768,-754.18408203125,2909.69,3151.27
8.1865,840000,168,168,17.9769,-612.0439453125,3122.87,3136.12
10.1084,845000,169,169,19.0489,-634.060302734375,3161.98,3194.96
9.1234,850000,170,170,18.2905,-674.4464111328125,3073.8,3091.73
13.1275,855000,171,171,17.8484,-603.3220825195312,2979.0,3199.24
9.1436,860000,172,172,18.1095,-672.401123046875,3031.65,3156.27
9.8027,865000,173,173,17.7326,-695.8841552734375,2800.94,3186.96
9.9207,870000,174,174,19.186,-913.7789916992188,2363.6,3173.14
10.7202,875000,175,175,18.7714,-820.447021484375,2993.72,3107.91
9.1193,880000,176,176,18.1729,-575.4058837890625,3031.38,3149.04
13.3638,885000,177,177,19.0086,-970.9366455078125,2450.69,3215.63
9.083,890000,178,178,17.6712,-442.39263916015625,3152.72,3187.9
8.8474,895000,179,179,17.9645,-545.2106323242188,2975.48,3193.41
8.508,900000,180,180,17.8677,-608.4759521484375,2937.71,3104.62
9.0574,905000,181,181,18.0851,-717.6480102539062,3043.02,3118.34
12.9848,910000,182,182,19.8559,-1448.5277099609375,2096.41,3157.41
8.9478,915000,183,183,18.1372,-679.3678588867188,3147.03,3187.52
10.8842,920000,184,184,18.6138,-685.3175048828125,2822.19,3094.02
8.1666,925000,185,185,17.8325,-771.2479858398438,3017.22,3129.3
8.4228,930000,186,186,17.8117,-665.7041015625,3124.75,3135.01
8.8494,935000,187,187,17.7203,-721.416259765625,3127.2,3131.7
8.6198,940000,188,188,17.6463,-694.6975708007812,3017.65,3123.21
9.3116,945000,189,189,18.078,-642.0420532226562,3058.91,3181.8
9.0667,950000,190,190,18.0134,-648.5931396484375,3154.44,3189.05
9.0792,955000,191,191,18.0268,-711.1585693359375,2886.42,3237.36
8.8367,960000,192,192,17.9782,-828.5614013671875,3084.72,3220.45
8.8268,965000,193,193,17.3936,-620.406494140625,3194.67,3241.53
9.061,970000,194,194,18.1435,-656.6098022460938,2843.32,3219.47
8.4035,975000,195,195,17.1067,-651.0117797851562,3173.09,3209.22
10.8841,980000,196,196,18.4474,-1119.8197021484375,2604.81,3126.8
8.3362,985000,197,197,17.6521,-731.5709838867188,3026.88,3229.91
8.7476,990000,198,198,17.5721,-822.2389526367188,3008.58,3189.49
15.9209,995000,199,199,17.3284,-804.9998168945312,3071.16,3238.52
