Running Reverse KL,Running Env Steps,Itration,Running Update Time,Running Forward KL,Reward Loss,Real Sto Return,Real Det Return
11.8557,0,0,0,31.3327,670.8016967773438,204.7,221.98
19.6194,5000,1,1,30.481,637.5411987304688,239.85,237.67
41.1587,10000,2,2,29.5732,440.9502258300781,342.19,378.16
23.631,15000,3,3,30.9791,470.0346374511719,380.73,344.75
16.0472,20000,4,4,31.2439,201.0329132080078,484.23,659.12
15.1508,25000,5,5,28.8444,311.1889953613281,625.82,1050.37
12.7208,30000,6,6,29.2709,255.48184204101562,956.76,1050.93
42.7633,35000,7,7,28.7975,203.59542846679688,908.56,1605.19
12.2254,40000,8,8,29.7665,300.9406433105469,873.16,1050.55
15.8192,45000,9,9,32.8394,66.7342758178711,1099.06,1036.5
14.2311,50000,10,10,28.653,220.36038208007812,1407.19,1042.07
13.5256,55000,11,11,29.9279,177.3262939453125,1280.83,1041.2
15.4237,60000,12,12,32.3704,1.7550526857376099,1174.21,1041.87
13.5691,65000,13,13,30.2587,41.97527313232422,1387.7,1044.64
15.1317,70000,14,14,32.3333,-67.90914154052734,1146.19,1039.79
13.9444,75000,15,15,30.7065,2.0437734127044678,1302.26,1042.87
14.0937,80000,16,16,30.1281,-62.58818054199219,1316.37,1042.51
14.723,85000,17,17,30.0066,-60.91350173950195,1268.91,1045.28
14.9087,90000,18,18,32.2612,-242.13397216796875,1077.79,1039.19
13.9037,95000,19,19,29.8834,-141.1591339111328,1343.51,1043.58
13.7735,100000,20,20,30.0304,-130.75282287597656,1471.18,1043.31
14.9601,105000,21,21,31.9402,-340.6625671386719,1119.43,1042.63
14.7458,110000,22,22,31.41,-335.5853271484375,1201.12,1041.44
14.3112,115000,23,23,31.3594,-279.5234069824219,1334.44,1038.37
13.8468,120000,24,24,29.9113,-367.01708984375,1259.3,1039.06
13.5919,125000,25,25,29.4657,-173.14813232421875,1451.96,1040.31
13.7965,130000,26,26,29.9044,-294.9402160644531,1373.4,1042.06
14.1344,135000,27,27,31.6145,-409.8183288574219,1280.98,1040.52
14.0665,140000,28,28,30.8439,-301.6839294433594,1511.65,1046.58
20.2685,145000,29,29,29.8168,-282.7594299316406,1504.09,1055.87
13.5322,150000,30,30,30.2932,-378.11053466796875,1478.51,1098.92
13.8524,155000,31,31,29.0903,-206.6868133544922,1891.66,1547.39
13.613,160000,32,32,30.5806,-365.2908935546875,1642.28,1079.84
13.6592,165000,33,33,29.797,-365.2312316894531,1495.01,1079.07
13.5019,170000,34,34,30.3315,-451.75982666015625,1588.69,1058.49
13.2539,175000,35,35,29.9329,-428.98077392578125,1694.29,1327.68
12.908,180000,36,36,28.9547,-372.4814758300781,1806.79,1131.94
12.9491,185000,37,37,29.2198,-509.8787841796875,1794.74,1160.09
12.5579,190000,38,38,28.8691,-474.9078063964844,1830.19,1630.56
12.2238,195000,39,39,28.5026,-498.466064453125,1855.07,1648.49
12.3364,200000,40,40,29.3284,-589.0729370117188,1678.02,1429.5
13.1802,205000,41,41,29.1747,-535.874755859375,1887.62,1555.72
12.931,210000,42,42,29.2036,-595.230712890625,1862.01,1612.34
12.729,215000,43,43,29.0728,-618.548095703125,1799.25,1554.93
12.0227,220000,44,44,27.6137,-568.2708129882812,1982.85,1771.16
12.654,225000,45,45,28.7617,-657.625244140625,1890.32,1732.42
11.871,230000,46,46,28.3714,-657.26708984375,1784.84,1757.04
12.4566,235000,47,47,28.7616,-712.5921630859375,1926.6,1743.15
12.0535,240000,48,48,28.8723,-742.5252685546875,1731.91,1699.86
11.4498,245000,49,49,27.3859,-726.6056518554688,1919.78,1729.09
11.8573,250000,50,50,28.233,-750.583740234375,1943.88,1804.78
11.8574,255000,51,51,28.1181,-763.4736328125,1949.53,1793.2
11.7631,260000,52,52,27.9126,-794.3135375976562,1919.67,1852.8
11.6804,265000,53,53,27.1496,-737.4815673828125,2088.17,1956.36
11.4743,270000,54,54,27.4662,-756.2113037109375,2035.09,1851.87
11.4567,275000,55,55,27.6488,-800.4912719726562,2032.63,1834.89
11.0003,280000,56,56,26.7065,-729.4690551757812,2066.51,1855.4
11.38,285000,57,57,27.5299,-821.4219360351562,2037.72,1831.16
12.11,290000,58,58,27.5208,-804.6206665039062,2129.49,1998.46
11.5858,295000,59,59,27.3406,-824.0326538085938,2081.24,1855.29
11.7276,300000,60,60,27.5515,-856.957763671875,2052.25,1925.32
11.3324,305000,61,61,26.3002,-761.6179809570312,2199.11,2039.22
11.4384,310000,62,62,26.864,-835.9598388671875,2153.86,1958.23
11.6701,315000,63,63,25.8138,-725.84716796875,2248.85,2094.74
11.3853,320000,64,64,24.8774,-630.0072631835938,2204.73,2232.88
11.509,325000,65,65,27.045,-864.7199096679688,2206.83,2082.84
11.4479,330000,66,66,24.729,-638.522705078125,2451.81,2124.15
12.1399,335000,67,67,25.2545,-716.0010375976562,2382.83,2181.32
11.3887,340000,68,68,25.4072,-753.4849853515625,2240.95,2156.44
11.7514,345000,69,69,25.6941,-782.1356811523438,2284.5,2147.4
11.6612,350000,70,70,25.0008,-751.8388671875,2404.93,2193.57
12.3396,355000,71,71,25.7391,-746.092529296875,2413.41,2250.53
11.7296,360000,72,72,24.9822,-719.955322265625,2357.06,2288.71
12.6018,365000,73,73,25.7744,-768.123046875,2393.01,2240.3
11.8674,370000,74,74,24.2402,-655.348876953125,2459.76,2358.59
11.4688,375000,75,75,24.1577,-710.4736328125,2526.09,2441.59
12.0003,380000,76,76,24.1811,-659.8670654296875,2569.78,2436.73
12.5286,385000,77,77,25.8663,-824.994384765625,2444.84,2330.33
11.2133,390000,78,78,23.6697,-743.7041015625,2556.93,2457.93
11.3409,395000,79,79,23.6199,-658.7257080078125,2605.7,2568.58
12.1428,400000,80,80,23.594,-622.9716186523438,2612.6,2605.26
11.7626,405000,81,81,23.6422,-688.4035034179688,2665.69,2559.55
11.6437,410000,82,82,23.0324,-601.9959716796875,2517.06,2606.96
11.964,415000,83,83,24.1132,-676.8373413085938,2653.99,2592.78
11.7551,420000,84,84,23.3989,-663.37841796875,2705.22,2632.24
12.3672,425000,85,85,23.4638,-575.7604370117188,2753.62,2724.49
12.5976,430000,86,86,23.515,-753.4056396484375,2733.6,2690.71
11.6057,435000,87,87,23.092,-651.4261474609375,2763.07,2693.46
12.133,440000,88,88,24.0036,-743.5966796875,2664.61,2578.1
11.8911,445000,89,89,24.1839,-726.0130004882812,2717.48,2691.83
12.3361,450000,90,90,23.3871,-807.9404296875,2730.99,2674.26
11.8471,455000,91,91,23.475,-684.2731323242188,2670.64,2677.22
12.2783,460000,92,92,22.7681,-628.712158203125,2805.32,2776.47
11.2751,465000,93,93,22.9737,-680.8786010742188,2708.48,2744.3
12.1673,470000,94,94,23.603,-753.5787353515625,2726.62,2709.43
11.9233,475000,95,95,23.0507,-678.0811157226562,2792.98,2760.8
11.3497,480000,96,96,22.4813,-669.26611328125,2854.69,2810.03
11.4214,485000,97,97,22.2854,-655.4077758789062,2795.78,2866.13
11.8367,490000,98,98,22.8535,-715.0782470703125,2778.82,2784.52
12.2721,495000,99,99,22.5132,-681.3922729492188,2816.54,2834.02
11.0586,500000,100,100,22.0318,-675.44970703125,2734.47,2817.26
10.4619,505000,101,101,20.8116,-723.8516235351562,2361.02,2857.4
11.23,510000,102,102,22.4389,-716.6259765625,2664.14,2857.29
11.5833,515000,103,103,21.8861,-764.8804321289062,2775.25,2812.43
11.3859,520000,104,104,22.4601,-718.9732666015625,2877.53,2853.09
11.7197,525000,105,105,22.2149,-674.5158081054688,2614.98,2901.17
11.4752,530000,106,106,22.4629,-721.005126953125,2674.25,2843.01
14.6035,535000,107,107,22.587,-1005.1885986328125,2563.86,2789.76
10.9607,540000,108,108,21.7568,-695.6858520507812,2814.58,2897.08
11.2006,545000,109,109,22.0058,-699.4320068359375,2884.78,2889.34
11.2518,550000,110,110,21.7611,-714.8430786132812,2921.89,2924.56
10.6315,555000,111,111,21.0789,-760.4788818359375,2570.05,2908.82
11.3915,560000,112,112,21.7205,-769.5475463867188,2528.82,2860.53
11.0581,565000,113,113,21.4709,-765.713134765625,2759.03,2835.26
10.4274,570000,114,114,20.43,-733.1087646484375,2919.86,2908.75
11.8429,575000,115,115,21.0713,-802.8220825195312,2833.91,2867.82
10.4745,580000,116,116,20.7477,-709.114501953125,2884.74,2939.82
11.3086,585000,117,117,20.8833,-689.720703125,2863.23,2959.76
10.5419,590000,118,118,20.4521,-695.9923706054688,2684.02,2940.67
10.7506,595000,119,119,21.2442,-787.7371215820312,2456.54,2870.18
9.9646,600000,120,120,20.3253,-726.5232543945312,2929.56,2941.38
9.7877,605000,121,121,20.4393,-749.5723266601562,2855.05,2931.23
12.3517,610000,122,122,21.2376,-915.7564697265625,1746.85,2917.59
11.9122,615000,123,123,21.0289,-875.2127685546875,2635.9,2913.56
10.705,620000,124,124,20.5156,-758.9962158203125,2922.27,2920.4
