Itration,Reward Loss,Running Update Time,Real Sto Return,Real Det Return,Running Env Steps,Running Forward KL,Running Reverse KL
0,15.636883735656738,0,-43.17,262.73,0,74.2558,25.7971
1,5.538352012634277,1,-38.96,273.88,5000,73.3854,24.1664
2,-12.459807395935059,2,18.61,520.04,10000,71.1978,25.6544
3,-23.4298038482666,3,-7.73,428.37,15000,72.5068,25.6471
4,-37.9647331237793,4,19.18,445.49,20000,70.8638,26.259
5,-53.65503692626953,5,49.94,416.53,25000,68.3515,27.1582
6,-62.19656753540039,6,66.81,278.57,30000,70.1814,27.748
7,-77.08241271972656,7,75.74,525.51,35000,67.8351,28.7853
8,-87.47676086425781,8,110.13,691.07,40000,68.3076,29.2219
9,-97.72116088867188,9,171.87,737.68,45000,65.7687,27.8765
10,-107.90049743652344,10,160.25,671.96,50000,66.6428,28.2905
11,-124.61626434326172,11,113.53,313.7,55000,69.9583,30.4424
12,-131.93765258789062,12,159.19,413.32,60000,64.6114,27.3276
13,-146.6137237548828,13,199.44,529.28,65000,68.3462,29.3064
14,-161.0607147216797,14,152.89,578.19,70000,67.2133,29.2232
15,-160.4281005859375,15,275.77,917.44,75000,63.4076,27.4856
16,-180.26693725585938,16,273.74,877.26,80000,65.393,28.4509
17,-179.93295288085938,17,213.63,1066.57,85000,61.2248,26.786
18,-195.4288330078125,18,421.07,746.01,90000,62.4208,27.2404
19,-218.90670776367188,19,335.91,509.17,95000,65.6572,27.9818
20,-227.49423217773438,20,379.99,1014.99,100000,64.1195,27.9788
21,-227.32272338867188,21,350.89,1184.19,105000,62.3395,26.7019
22,-229.2235565185547,22,447.58,892.17,110000,59.9045,25.6691
23,-203.6070098876953,23,704.02,1495.49,115000,57.7433,24.5632
24,-266.26348876953125,24,275.53,963.56,120000,63.4383,26.5461
25,-255.75086975097656,25,692.44,1025.51,125000,61.3457,25.6654
26,-259.6392517089844,26,508.62,1082.02,130000,59.408,24.5588
27,-291.7152099609375,27,566.72,1045.99,135000,61.6287,25.9678
28,-281.95843505859375,28,694.22,1320.53,140000,61.5769,25.5288
29,-252.37387084960938,29,1301.18,2150.1,145000,57.926,26.1723
30,-247.5356903076172,30,1147.92,2079.86,150000,60.3255,28.7791
31,-313.4415283203125,31,829.56,1271.11,155000,59.8979,24.8309
32,-293.26123046875,32,1001.68,1914.94,160000,59.299,25.4208
33,-283.7657470703125,33,1235.46,1355.28,165000,59.476,25.9806
34,-292.87530517578125,34,1702.12,2087.83,170000,59.4696,26.2338
35,-316.317138671875,35,974.18,1233.81,175000,58.8036,24.4079
36,-372.8593444824219,36,1166.26,1501.23,180000,61.6476,25.3261
37,-232.1368408203125,37,1946.41,2914.09,185000,55.6861,28.4336
38,-266.5388488769531,38,2002.52,3200.22,190000,57.2091,27.53
39,-278.7615051269531,39,1552.63,2104.11,195000,56.7801,25.6591
40,-223.39585876464844,40,2398.28,3123.58,200000,59.6673,36.6848
