Real Det Return,Itration,Running Reverse KL,Reward Loss,Running Env Steps,Running Update Time,Running Forward KL,Real Sto Return
482.19,0,259.4338,-5432.61328125,0,0,450.3239,320.8
272.47,1,291.9738,-5583.50732421875,5000,1,449.969,284.7
413.86,2,309.8065,-5951.85693359375,10000,2,437.5492,399.05
445.96,3,265.2587,-5589.5283203125,15000,3,434.2347,400.67
466.57,4,271.0579,-6167.9248046875,20000,4,435.666,416.23
549.23,5,263.131,-6298.74462890625,25000,5,433.6516,446.24
434.12,6,277.3858,-6398.19287109375,30000,6,422.3681,450.47
418.01,7,259.2504,-6645.69482421875,35000,7,432.2343,456.26
499.89,8,252.5824,-6793.1357421875,40000,8,435.5608,457.49
518.56,9,254.5533,-7428.64990234375,45000,9,431.6656,470.77
599.85,10,273.2548,-7585.12744140625,50000,10,436.2616,530.63
502.85,11,265.4051,-7847.345703125,55000,11,442.7051,447.6
505.83,12,247.7057,-8065.5615234375,60000,12,439.4233,517.87
506.58,13,244.1203,-7847.6396484375,65000,13,449.5225,464.24
574.23,14,264.2837,-8498.19140625,70000,14,439.9216,543.79
519.07,15,243.1053,-7901.33154296875,75000,15,433.2349,506.2
493.81,16,267.7667,-8341.880859375,80000,16,433.023,513.52
581.43,17,273.4338,-8612.0810546875,85000,17,433.3319,564.1
655.59,18,240.3941,-8127.123046875,90000,18,440.8249,634.09
571.8,19,255.5552,-8633.765625,95000,19,436.3848,592.95
681.97,20,238.2187,-8844.9609375,100000,20,420.1811,668.81
627.21,21,239.2114,-8612.6044921875,105000,21,421.3696,668.76
614.23,22,244.0539,-9345.5673828125,110000,22,426.0483,647.96
642.84,23,246.018,-9452.3974609375,115000,23,433.7857,587.03
485.11,24,237.2472,-9460.1826171875,120000,24,422.8503,679.11
557.33,25,231.8947,-9479.021484375,125000,25,421.9484,678.34
592.46,26,247.1017,-9624.7470703125,130000,26,435.5237,659.21
562.0,27,237.5399,-10158.126953125,135000,27,421.7009,640.54
562.05,28,234.3866,-10080.2646484375,140000,28,407.7453,744.86
608.39,29,229.185,-10338.21484375,145000,29,422.4208,690.38
622.21,30,238.9948,-10516.498046875,150000,30,424.9381,746.79
622.73,31,228.122,-10539.5615234375,155000,31,411.1122,742.25
552.98,32,240.2111,-10733.751953125,160000,32,427.5301,836.62
494.54,33,236.5037,-10901.9755859375,165000,33,401.1488,747.57
549.33,34,245.8324,-10979.919921875,170000,34,404.4539,883.28
524.13,35,256.4894,-11490.7822265625,175000,35,407.7578,713.09
552.91,36,233.3328,-10709.791015625,180000,36,394.8164,1073.88
546.4,37,250.3761,-11558.2939453125,185000,37,414.1495,862.08
559.96,38,237.8793,-11252.0185546875,190000,38,403.4467,985.91
667.16,39,223.9438,-10337.728515625,195000,39,379.8613,1158.71
693.21,40,226.4136,-10856.4091796875,200000,40,373.8134,933.88
704.8,41,226.1558,-10811.6015625,205000,41,387.2211,1165.87
978.75,42,215.4922,-10321.3095703125,210000,42,385.1124,1310.83
957.67,43,217.8309,-10709.634765625,215000,43,378.0654,1284.88
880.89,44,219.108,-10964.8408203125,220000,44,381.1661,1180.07
813.06,45,193.3932,-9579.41015625,225000,45,368.0453,1470.37
1341.82,46,200.0002,-10180.43359375,230000,46,381.4894,1552.93
1234.8,47,219.8209,-11126.5673828125,235000,47,371.0475,1451.86
1011.82,48,192.8967,-10124.404296875,240000,48,368.4404,1656.69
1465.06,49,214.6484,-10944.703125,245000,49,385.839,1114.8
828.87,50,213.0452,-10544.6494140625,250000,50,375.3197,967.05
1165.37,51,230.448,-11381.2353515625,255000,51,384.8867,1425.0
1025.47,52,201.0648,-10584.46875,260000,52,364.8956,1174.76
763.15,53,233.8689,-11305.765625,265000,53,380.234,1117.72
1370.95,54,179.4731,-9426.4619140625,270000,54,363.0488,2130.36
2162.09,55,181.3232,-9907.2783203125,275000,55,358.0414,2125.57
1172.84,56,147.9997,-6962.6943359375,280000,56,337.6898,2415.54
4175.19,57,177.3659,-9063.30859375,285000,57,350.6223,2921.67
1395.05,58,143.8812,-6720.52880859375,290000,58,330.9106,2313.78
2259.27,59,182.3882,-9119.2158203125,295000,59,353.0701,2319.46
2931.14,60,147.6495,-6076.18212890625,300000,60,329.4785,3233.39
4225.75,61,154.3251,-6260.09619140625,305000,61,328.6037,3665.35
4057.29,62,139.86,-5543.2900390625,310000,62,320.3997,4120.97
5059.47,63,141.4999,-6779.591796875,315000,63,328.3578,3126.6
1457.43,64,163.8881,-7928.21875,320000,64,334.8301,2711.31
4857.07,65,147.1004,-7140.66796875,325000,65,332.38,3199.88
5055.95,66,138.3126,-5451.11376953125,330000,66,325.101,4685.43
1892.38,67,147.3026,-6306.42138671875,335000,67,330.534,3207.01
5143.95,68,128.8793,-6283.68017578125,340000,68,328.4902,4403.69
4723.73,69,137.1142,-5883.8232421875,345000,69,330.1664,3736.13
3511.87,70,140.2129,-7001.4365234375,350000,70,330.7648,3907.88
4658.7,71,135.0342,-6777.921875,355000,71,326.4069,4574.26
1582.88,72,142.5877,-6574.33056640625,360000,72,324.416,4381.2
3349.43,73,138.4244,-6977.00390625,365000,73,325.7073,4159.75
5164.27,74,137.3847,-6581.55419921875,370000,74,317.0217,4489.99
3893.35,75,126.8709,-6688.85595703125,375000,75,311.0146,4588.35
4186.4,76,137.8573,-8078.36328125,380000,76,315.6599,4390.73
4992.16,77,134.9082,-7279.76025390625,385000,77,313.3063,4638.5
3382.31,78,131.7666,-7201.068359375,390000,78,317.0964,4998.71
3843.09,79,121.609,-7445.0302734375,395000,79,312.4346,4230.53
4374.3,80,141.9,-9401.3623046875,400000,80,320.4408,3039.05
